Sl. No.,Nature of Property,Number of Cases in Which Property - Stolen,Number of Cases in Which Property - Recovered,Percentage of Recovery (Cases),Value of Property (Rs. in lakh) - Stolen,Value of Property (Rs. in lakh) - Recovered,Percentage Recovery (Value)
1,Communication & Electricity Wire,7818,2982,38.1,2359.4,767.6,32.5
2,Cattle,6272,3345,53.3,1675.3,920.3,54.9
3,Cycle,4385,2333,53.2,118.2,63.1,53.4
4,Motor Vehicles,150839,40363,26.8,98540.7,34506.9,35
5,Motor Vehicles - Motor Cycle & Scooter Etc.,122115,32533,26.6,32505.4,10900.9,33.5
6,Motor Vehicles - Motor Car/Taxi/Jeep,20965,5078,24.2,40228.1,12929,32.1
7,Motor Vehicles - Other Motor Vehicles,7759,2752,35.5,25807.2,10677,41.4
8,Fire Arms,263,100,38,159.2,60.6,38
9,Explosives/explosive Substances,105,33,31.4,97.1,26.5,27.3
10,Electronic Components,19777,6077,30.7,25287.6,5185.7,20.5
11,Cultural Property Including Antiques,799,192,24,2893.5,290.7,10
12,Other Kinds of Property Stolen,300904,111495,37.1,527393.6,80716.2,15.3
13,Total,491162,166920,34,658524.6,122537.7,18.6
