Sl. No.,Category,State / UT,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
1,State,Andhra Pradesh,8369,4851,1429,542,363,77,0,0,0,117,104,7,765,482,168,9793,5800,1681
2,State,Arunachal Pradesh,100,32,8,46,5,0,0,0,0,0,0,0,6,0,0,152,37,8
3,State,Assam,1031,143,27,191,37,7,35,3,0,33,3,3,32,13,2,1322,199,39
4,State,Bihar,4523,565,78,384,69,5,0,0,0,23,10,1,340,29,1,5270,673,85
5,State,Chhattisgarh,2019,566,0,153,53,0,0,0,0,0,0,0,120,57,0,2292,676,0
6,State,Goa,409,167,18,35,11,1,0,0,0,24,10,2,2,2,0,470,190,21
7,State,Gujarat,7363,1948,1589,821,164,118,24,4,2,103,29,19,649,519,63,8960,2664,1791
8,State,Haryana,9603,2115,429,1969,492,75,7,5,2,317,95,27,759,223,19,12655,2930,552
9,State,Himachal Pradesh,149,57,8,163,92,18,0,0,0,28,20,1,18,9,3,358,178,30
10,State,Jammu & Kashmir,431,147,23,331,111,12,0,0,0,65,16,3,110,25,3,937,299,41
11,State,Jharkhand,1610,335,37,143,37,0,0,0,0,0,0,0,89,22,4,1842,394,41
12,State,Karnataka,8504,2872,751,992,250,35,0,0,0,116,42,1,860,380,1,10472,3544,788
13,State,Kerala,1171,526,56,137,42,1,4,2,0,33,20,0,109,54,0,1454,644,57
14,State,Madhya Pradesh,10487,2399,541,640,155,22,39,9,1,96,39,4,190,68,27,11452,2670,595
15,State,Maharashtra,15325,4802,1220,3020,971,237,31,20,5,647,196,37,218,60,38,19241,6049,1537
16,State,Manipur,518,15,15,49,4,4,0,0,0,0,0,0,9,3,3,576,22,22
17,State,Meghalaya,106,11,0,51,8,0,0,0,0,1,0,0,75,1,0,233,20,0
18,State,Mizoram,11,5,2,16,5,4,0,0,0,0,0,0,13,2,1,40,12,7
19,State,Nagaland,109,13,7,96,25,8,0,0,0,7,1,0,37,4,0,249,43,15
