Sl. No.,Rank,Number of Victims Killed - in Terrorist/ Extremists Operations,Number of Victims Killed - in Dacoity Operations or Other Raids,Number of Victims Killed - by Riotous Mobs,Number of Victims Killed - by Other Criminals,Number of Victims Killed - on Border Duties,"Number of Victims Killed - in
Accidents",Number of Victims Killed - Total,Number of Victims injured - in Terrorist/ Extremists Operations,Number of Victims injured - in Dacoity Operation Or Other Raids,Number of Victims injured - By Riotous Mobs,Number of Victims injured - By Other Criminals,Number of Victims injured - On Border Duties,"Number of Victims injured - in
Accidents",Number of Victims injured - Total
1,Constables,90,2,7,37,0,384,520,64,27,1232,413,3,360,2099
2,Head Constables,28,0,2,6,0,165,201,16,7,229,81,0,132,465
3,Assistant Sub-inspectors,7,0,1,3,0,64,75,2,9,133,62,1,45,252
4,Sub-inspectors,3,0,1,3,0,45,52,6,14,155,65,0,54,294
5,Inspectors,2,0,1,1,0,11,15,1,2,84,18,2,9,116
6,Other Gazetted Officers,2,0,0,0,0,2,4,1,2,51,16,1,2,73
7,Total,132,2,12,50,0,671,867,90,61,1884,655,7,602,3299
