Sl. No.,Category,State/UT,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,"Indian Passport Act
",Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act - for SCs,SC/ST (Prev of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,0,2,13,5,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,12,42
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3
4,State,Bihar,18,7,5,3,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,5,5,0,0,14,60
5,State,Chhattisgarh,11,15,123,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,304,514
6,State,Goa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,42
7,State,Gujarat,1,1,47,0,215,0,5,0,1,0,0,0,0,0,0,0,0,0,0,7,0,4,4,0,0,182,464
8,State,Haryana,5,2,24,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,74
9,State,Himachal Pradesh,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,17
10,State,Jammu & Kashmir,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
11,State,Jharkhand,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24
12,State,Karnataka,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,2,8
13,State,Kerala,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,26
14,State,Madhya Pradesh,46,6,140,65,0,1,1,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,17,276
15,State,Maharashtra,15,4,54,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,109,296
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4
18,State,Mizoram,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,51
19,State,Nagaland,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
20,State,Odisha,2,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,15
21,State,Punjab,8,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
22,State,Rajasthan,14,2,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,20,68
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
24,State,Tamil Nadu,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,661,672
