Sl. No.,Category,State/UT,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Subs. Act,Immoral Traffic (Prev- ention) Act,Railways Act,The foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for Scs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,0,3,13,6,1,0,4,0,5,0,0,0,0,0,0,1,0,0,0,1,0,3,3,0,0,13,50
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,State,Bihar,18,7,5,3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,6,6,0,0,14,61
5,State,Chhattisgarh,11,15,123,53,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,1,0,304,514
6,State,Goa,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,43
7,State,Gujarat,1,1,66,0,246,0,5,0,1,0,0,0,0,0,0,0,0,2,0,8,0,4,4,0,0,208,542
8,State,Haryana,5,3,24,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76
9,State,Himachal Pradesh,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,22
10,State,Jammu & Kashmir,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
11,State,Jharkhand,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,47
12,State,Karnataka,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,2,9
13,State,Kerala,5,1,0,0,6,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,22,42
14,State,Madhya Pradesh,46,6,161,67,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,299
15,State,Maharashtra,17,7,61,0,97,0,0,3,0,0,0,0,2,13,0,0,0,0,0,3,0,4,4,0,0,146,353
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
