Sl. No.,Category,State/UT,Total No. of Persons Undertrial Including those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pendingat the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,2384,10,876,1498,118,62.8,4.8
2,State,Arunachal Pradesh,215,1,22,192,17,89.3,0.6
3,State,Assam,168,0,39,129,1,76.8,0.4
4,State,Bihar,631,0,168,463,47,73.4,1.5
5,State,Chhattisgarh,3634,5,654,2975,196,81.9,9.5
6,State,Goa,8,0,0,8,0,100,0
7,State,Gujarat,4334,12,211,4111,8,94.9,13.2
8,State,Haryana,0,0,0,0,0,NA,0
9,State,Himachal Pradesh,3,0,0,3,0,100,0
10,State,Jammu & Kashmir,0,0,0,0,0,NA,0
11,State,Jharkhand,836,2,260,574,89,68.7,1.8
12,State,Karnataka,2003,0,720,1283,26,64.1,4.1
13,State,Kerala,565,0,61,504,4,89.2,1.6
14,State,Madhya Pradesh,8398,119,1913,6366,541,75.8,20.4
15,State,Maharashtra,5627,6,578,5043,10,89.6,16.2
16,State,Manipur,0,0,0,0,0,NA,0
17,State,Meghalaya,0,0,0,0,0,NA,0
18,State,Mizoram,0,0,0,0,0,NA,0
19,State,Nagaland,0,0,0,0,0,NA,0
20,State,Odisha,4788,0,847,3941,52,82.3,12.6
21,State,Punjab,0,0,0,0,0,NA,0
22,State,Rajasthan,4357,60,698,3599,243,82.6,11.5
23,State,Sikkim,25,0,14,11,11,44,0
24,State,Tamil Nadu,189,0,14,175,0,92.6,0.6
25,State,Tripura,38,0,13,25,1,65.8,0.1
26,State,Uttar Pradesh,113,0,22,91,17,80.5,0.3
27,State,Uttarakhand,0,0,0,0,0,NA,0
28,State,West Bengal,83,0,2,81,0,97.6,0.3
State,State,Total (States),38399,215,7112,31072,1381,80.9,99.5
29,Union Territory,A & N Islands,89,0,0,89,0,100,0.3
30,Union Territory,Chandigarh,0,0,0,0,0,NA,0
31,Union Territory,D & N Haveli,55,0,0,55,0,100,0.2
32,Union Territory,Daman & Diu,2,0,0,2,0,100,0
33,Union Territory,Delhi,0,0,0,0,0,NA,0
34,Union Territory,Lakshadweep,1,0,1,0,1,0,0
35,Union Territory,Puducherry,0,0,0,0,0,NA,0
Union Territory,Union Territory,Total (UTs),147,0,1,146,1,99.3,0.5
Total (All-India),Total (All-India),Total (All-India),38546,215,7113,31218,1382,81,100
