Sl. No.,Category,State/UT,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,10134,6193,8933,64144,89404
2,State,Arunachal Pradesh,68,5560,85,1742,7455
3,State,Assam,2727,5750,2284,43308,54069
4,State,Bihar,5679,2012,3084,56771,67546
5,State,Chhattisgarh,2918,9684,405,31100,44107
6,State,Goa,124,352,98,4825,5399
7,State,Gujarat,8866,11419,3087,48298,71670
8,State,Haryana,6559,0,415,43391,50365
9,State,Himachal Pradesh,3512,1010,191,9921,14634
10,State,Jammu & Kashmir,3444,4531,46250,22580,76805
11,State,Jharkhand,7286,14812,2355,30694,55147
12,State,Karnataka,14215,3785,4796,51903,74699
13,State,Kerala,3062,515,3567,37859,45003
14,State,Madhya Pradesh,11998,11516,2583,46408,72505
15,State,Maharashtra,23531,13047,1945,144448,182971
16,State,Manipur,423,6371,2575,14492,23861
17,State,Meghalaya,295,9157,143,1705,11300
18,State,Mizoram,261,9870,42,688,10861
19,State,Nagaland,336,9526,110,31,10003
20,State,Odisha,6058,7160,915,31843,45976
21,State,Punjab,15589,9,263,51245,67106
22,State,Rajasthan,11713,10612,954,53077,76356
23,State,Sikkim,188,1460,3,2799,4450
24,State,Tamil Nadu,15348,644,3061,76692,95745
25,State,Tripura,4125,7395,1024,11715,24259
26,State,Uttar Pradesh,34769,1725,9166,141765,187425
27,State,Uttarakhand,3910,1615,406,12514,18445
28,State,West Bengal,15944,3971,7677,56322,83914
State,State,Total (States),213082,159701,106417,1092280,1571480
29,Union Territory,A & N Islands,0,372,355,3316,4043
30,Union Territory,Chandigarh,929,1,20,5206,6156
31,Union Territory,D & N Haveli,24,185,4,93,306
32,Union Territory,Daman & Diu,121,20,8,202,351
33,Union Territory,Delhi,12502,5468,1521,55626,75117
34,Union Territory,Lakshadweep,1,367,3,51,422
35,Union Territory,Puducherry,398,0,61,1817,2276
Union Territory,Union Territory,Total (UTs),13975,6413,1972,66311,88671
Total (All-India),Total (All-India),Total (All-India),227057,166114,108389,1158591,1660151
