Sr. No.,Category,State/UT,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub.Act,I.T.P. Act,Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,State,Andhra Pradesh,96.1,98.4,99.9,94.1,84.2,93,98.5,62.5,50,100,100,100,89.8,100,NA,100,95.5,100,100,100,NA,96.4,95.6,99.4,16,99.6,99.5
2,State,Arunachal Pradesh,76.5,95.2,NA,100,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,76.8
3,State,Assam,62.2,88.1,62,66.7,NA,79.2,73.7,NA,100,NA,NA,NA,100,65,75,NA,73.3,NA,100,88.9,NA,0,NA,0,30.8,39.4,52.4
4,State,Bihar,96.6,83.8,88.1,94.3,68.1,61.8,69.7,54.5,100,NA,NA,NA,100,92.9,NA,NA,92,66.7,NA,93.3,NA,81.3,81.2,86.1,85.7,85.6,89
5,State,Chhattisgarh,100,99.2,100,100,NA,99.4,100,50,100,NA,NA,NA,NA,100,NA,NA,87.5,100,NA,100,NA,100,NA,100,100,100,100
6,State,Goa,75,96.4,100,NA,NA,0,88.2,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,100,83.3,NA,50,50,NA,NA,97.5,97.9
7,State,Gujarat,99.2,89.9,100,100,99.9,98.1,100,0,100,100,100,NA,100,99.4,NA,NA,100,100,NA,100,NA,98.1,98.4,96,100,99.3,99.9
8,State,Haryana,99.1,96.5,99.9,99.3,NA,97.1,100,28.6,100,NA,NA,NA,NA,99.6,NA,NA,77.8,100,NA,99.5,NA,95.9,95.9,NA,100,78.2,94.3
9,State,Himachal Pradesh,94.1,82.6,100,99.2,NA,75,100,NA,85.7,100,100,NA,NA,100,NA,NA,100,NA,NA,97.4,NA,95.9,95.8,100,97.1,82.4,95.6
10,State,Jammu & Kashmir,62.5,98,100,99.7,NA,34,100,NA,90,NA,NA,NA,0,99.5,NA,NA,100,NA,NA,100,NA,NA,NA,NA,100,89,92.6
11,State,Jharkhand,93.5,94.1,92.9,92.9,NA,82,100,NA,NA,NA,NA,NA,NA,93.2,NA,NA,79.4,NA,NA,93.8,NA,63.2,63.1,63.4,58.8,82.1,83.3
12,State,Karnataka,96.7,98.4,99.5,99,NA,91.2,98.8,0,100,100,100,NA,85.7,99.8,NA,100,92.7,100,0,96.8,NA,96.5,96.8,93.9,69.7,90.4,96.7
13,State,Kerala,92.2,99.3,100,NA,99.6,63.9,99.5,14.3,92.9,NA,NA,NA,97.9,99.6,NA,NA,100,60,90.9,99.5,NA,66.7,65,75,NA,98.4,98.5
14,State,Madhya Pradesh,99.9,98.2,100,100,NA,96,100,33.3,100,NA,NA,NA,NA,97.8,NA,NA,100,100,NA,100,NA,80,75,100,100,99.6,99.8
15,State,Maharashtra,98.5,98.7,100,NA,99.9,90,100,22.9,100,100,100,NA,100,99.5,NA,100,100,100,100,98.7,NA,94.4,94,96.3,100,96.8,98.9
16,State,Manipur,62.5,90.3,100,NA,NA,0,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,56.7
17,State,Meghalaya,76.9,83.3,100,NA,NA,100,100,NA,100,NA,NA,NA,100,50,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,68.4,84.7
18,State,Mizoram,100,100,NA,NA,100,87.5,100,NA,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
19,State,Nagaland,95.8,97.5,NA,96.2,96.9,70,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,94.7
20,State,Odisha,96.7,97,100,100,NA,96.6,100,NA,NA,NA,NA,NA,NA,100,NA,NA,98.6,NA,100,100,NA,95.5,94.8,98,NA,99.4,99.2
