Sr. No.,Category,State/UT,"Riots
(Sec.143-
145,147-
151,153,153A,
153B, 157,
158,160 IPC)","Arson
(Sec.435,436,438
IPC)","Total Crimes
Against Public","Percentage
Share",Crime Rate,Percentage to Total Cog. Crimes
1,State,Andhra Pradesh,2210,1021,3231,4.17,3.82,1.7
2,State,Arunachal Pradesh,49,34,83,0.11,6,3.63
3,State,Assam,2328,506,2834,3.65,9.09,4.25
4,State,Bihar,9768,705,10473,13.5,10.09,7.71
5,State,Chhattisgarh,934,289,1223,1.58,4.79,2.14
6,State,Goa,74,24,98,0.13,6.72,2.84
7,State,Gujarat,1615,263,1878,2.42,3.11,1.52
8,State,Haryana,1466,166,1632,2.1,6.44,2.69
9,State,Himachal Pradesh,530,110,640,0.83,9.33,4.47
10,State,Jammu & Kashmir,1405,205,1610,2.08,12.83,6.57
11,State,Jharkhand,2133,138,2271,2.93,6.89,6.34
12,State,Karnataka,7265,231,7496,9.66,12.26,5.45
13,State,Kerala,10754,450,11204,14.44,33.56,6.51
14,State,Madhya Pradesh,2080,784,2864,3.69,3.95,1.32
15,State,Maharashtra,8556,1255,9811,12.65,8.73,4.79
16,State,Manipur,70,99,169,0.22,6.21,5.25
17,State,Meghalaya,8,34,42,0.05,1.42,1.52
18,State,Mizoram,0,19,19,0.02,1.74,1.04
19,State,Nagaland,1,2,3,0,0.15,0.28
20,State,Odisha,1556,423,1979,2.55,4.72,3.23
21,State,Punjab,0,83,83,0.11,0.3,0.24
22,State,Rajasthan,751,473,1224,1.58,1.78,0.74
23,State,Sikkim,25,4,29,0.04,4.77,4.87
24,State,Tamil Nadu,3009,706,3715,4.79,5.15,1.93
25,State,Tripura,175,58,233,0.3,6.35,4.02
26,State,Uttar Pradesh,5022,477,5499,7.09,2.76,2.82
27,State,Uttarakhand,401,17,418,0.54,4.13,4.76
28,State,West Bengal,6019,413,6432,8.29,7.04,4.49
State,State,Total (states),68204,8989,77193,99.52,6.49,3.41
29,Union Territory,A&n Islands,11,6,17,0.02,4.47,2.14
30,Union Territory,Chandigarh,66,9,75,0.1,7.11,2.12
31,Union Territory,D&n Haveli,20,5,25,0.03,7.29,6.72
32,Union Territory,Daman & Diu,19,0,19,0.02,7.82,8.48
33,Union Territory,Delhi,50,42,92,0.12,0.55,0.17
34,Union Territory,Lakshadweep,5,3,8,0.01,12.5,18.18
35,Union Territory,Puducherry,125,10,135,0.17,10.85,3.09
Union Territory,Union Territory,Total (UTs),296,75,371,0.48,1.85,0.59
Total (All-India),Total (All-India),Total (All-India),68500,9064,77564,100,6.41,3.34
