Sr. No.,Category,State/UT,Gain - Murder (Sec.302 IPC),"Gain - C.H.(Sec.304, 308 IPC)",Property Dispute - Murder (Sec.302 IPC),"Property Dispute - C.H.(Sec.304, 308 IPC)",Personal Vendetta or Enmity - Murder (Sec.302 IPC),"Personal Vendetta or Enmity - C.H.(Sec.304, 308 IPC)",Love Affairs/ Sexual Causes - Murder (Sec.302 IPC),"Love Affairs/ Sexual Causes - C.H.(Sec.304, 308 IPC)",Dowry - Murder (Sec.302 IPC),"Dowry - C.H.(Sec.304, 308 IPC)",Lunacy - Murder (Sec.302 IPC),"Lunacy - C.H.(Sec.304, 308 IPC)",Witchcraft - Murder (Sec.302 IPC),Witchcraft - Murder (Sec.302 IPC),Political Reasons - Murder (Sec.302 IPC),"Political Reasons - C.H.(Sec.304, 308 IPC)",Terrorist/ Extremist Violence - Murder (Sec.302 IPC),"Terrorist/ Extremist Violence - C.H.(Sec.304, 308 IPC)",Communalism - Murder (Sec.302 IPC),"Communalism - C.H.(Sec.304, 308 IPC)",Casteism - Murder (Sec.302 IPC),"Casteism - C.H.(Sec.304, 308 IPC)",Class Conflict - Murder (Sec.302 IPC),"Class Conflict - C.H.(Sec.304, 308 IPC)",Other Motives - Murder (Sec.302 IPC),"Other Motives - C.H.(Sec.304, 308 IPC)",Total - Murder (Sec.302 IPC),"Total - C.H.(Sec.304, 308 IPC)"
1,State,Andhra Pradesh,262,4,178,5,304,11,455,2,165,6,5,0,28,1,33,0,8,0,0,0,5,0,7,0,1358,142,2808,171
2,State,Arunachal Pradesh,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,50,2,65,2
3,State,Assam,111,4,216,7,106,3,62,0,68,0,2,0,5,0,0,0,73,0,0,0,6,0,1,0,653,34,1303,48
4,State,Bihar,308,10,1041,53,463,40,146,5,119,10,0,0,0,0,32,0,27,0,0,0,6,0,0,0,1056,230,3198,348
5,State,Chhattisgarh,17,0,64,0,79,0,59,2,10,0,2,0,17,0,0,0,116,0,3,0,0,0,0,0,743,26,1110,28
6,State,Goa,1,0,3,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,48,6
7,State,Gujarat,74,2,112,0,121,0,154,3,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,654,38,1126,43
8,State,Haryana,47,3,195,6,222,8,73,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,512,43,1062,60
9,State,Himachal Pradesh,2,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,6,130,6
10,State,Jammu & Kashmir,4,0,13,0,6,0,8,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,0,0,94,29,169,29
