Sl. No.,Category,State/UT,Total Cognizable Crimes Under SLL  - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
1,State,Andhra pradesh,265475,2783,268258,1
2,State,Arunachal pradesh,96,4,100,4
3,State,Assam,1723,84,1807,4.6
4,State,Bihar,19762,1098,20860,5.3
5,State,Chhattisgarh,255306,1200,256506,0.5
6,State,Goa,2665,287,2952,9.7
7,State,Gujarat,189493,72406,261899,27.6
8,State,Haryana,27219,233,27452,0.8
9,State,Himachal pradesh,4997,243,5240,4.6
10,State,Jammu & kashmir,3242,54,3296,1.6
11,State,Jharkhand,6614,344,6958,4.9
12,State,Karnataka,48660,2101,50761,4.1
13,State,Kerala,278189,428,278617,0.2
14,State,Madhya pradesh,147409,7375,154784,4.8
15,State,Maharashtra,162913,10737,173650,6.2
16,State,Manipur,1326,126,1452,8.7
17,State,Meghalaya,185,16,201,8
18,State,Mizoram,926,273,1199,22.8
19,State,Nagaland,506,49,555,8.8
20,State,Odisha,17370,1141,18511,6.2
21,State,Punjab,18217,1139,19356,5.9
22,State,Rajasthan,64411,795,65206,1.2
23,State,Sikkim,172,12,184,6.5
24,State,Tamil nadu,580893,33994,614887,5.5
25,State,Tripura,409,10,419,2.4
26,State,Uttar pradesh,1967911,1453,1969364,0.1
27,State,Uttarakhand,78405,110,78515,0.1
28,State,West bengal,12669,539,13208,4.1
State,State,Total (states),4157163,139034,4296197,3.2
29,Union territory,A & n islands,4452,306,4758,6.4
30,Union territory,Chandigarh,942,35,977,3.6
31,Union territory,D & n haveli,24,0,24,0
32,Union territory,Daman & diu,33,27,60,45
33,Union territory,Delhi,8297,453,8750,5.2
34,Union territory,Lakshadweep,16,0,16,0
35,Union territory,Puducherry,1605,26,1631,1.6
Union territory,Union territory,Total (uts),15369,847,16216,5.2
Total (all-india),Total (all-india),Total (all-india),4172532,139881,4312413,3.2
