Sl. No.,Category,States/ UTs,2005,2006,2007,2008,2009,Quinquennial Average (2005- 2009) (Q.A.)@,2010,Percentage Change In 2010 [(+) Increase (-) Decrease] Over - QA,Percentage Change In 2010 [(+) Increase (-) Decrease] Over - 2009
1,State,Andhra Pradesh,157123,173909,175087,179275,180441,173167,181438,4.8,0.6
2,State,Arunachal Pradesh,2304,2294,2286,2374,2362,2324,2439,4.9,3.3
3,State,Assam,42006,43673,45282,53333,55313,47921,61668,28.7,11.5
4,State,Bihar,97850,100665,109420,122669,122931,110707,127453,15.1,3.7
5,State,Chhattisgarh,43633,45177,45845,51442,51370,47493,54958,15.7,7
6,State,Goa,2119,2204,2479,2742,3005,2510,3293,31.2,9.6
7,State,Gujarat,113414,120972,123195,123808,115183,119314,116439,-2.4,1.1
8,State,Haryana,42664,50509,51597,55344,56229,51269,59120,15.3,5.1
9,State,Himachal Pradesh,12345,13093,14222,13976,13315,13390,13049,-2.5,-2
10,State,Jammu & Kashmir,20115,20787,21443,20604,21975,20985,23223,10.7,5.7
11,State,Jharkhand,35175,36364,38489,38686,37436,37230,38889,4.5,3.9
12,State,Karnataka,117580,117710,120606,127540,134042,123496,142322,15.2,6.2
13,State,Kerala,104350,105255,108530,110620,118369,109425,148313,35.5,25.3
14,State,Madhya Pradesh,189172,194711,202386,206556,207762,200117,214269,7.1,3.1
15,State,Maharashtra,187027,191788,195707,206243,199598,196073,208168,6.2,4.3
16,State,Manipur,2913,2884,3259,3349,2852,3051,2715,-11,-4.8
17,State,Meghalaya,1880,1935,2079,2318,2448,2132,2505,17.5,2.3
18,State,Mizoram,2156,2073,2083,1989,2047,2070,2174,5,6.2
19,State,Nagaland,1049,1103,1180,1202,1059,1119,1059,-5.3,0
20,State,Odisha,51685,52792,54872,56755,55740,54369,56459,3.8,1.3
21,State,Punjab,27136,32068,35793,35314,35545,33171,36648,10.5,3.1
22,State,Rajasthan,140917,141992,148870,151174,166565,149904,162957,8.7,-2.2
23,State,Sikkim,552,703,667,730,669,664,552,-16.9,-17.5
24,State,Tamil Nadu,162360,148972,172754,176833,174691,167122,185678,11.1,6.3
25,State,Tripura,3356,3940,4273,5336,5486,4478,5805,29.6,5.8
26,State,Uttar Pradesh,122108,127001,150258,168996,172884,148249,174179,17.5,0.7
27,State,Uttarakhand,8033,8412,9599,8856,8802,8740,9240,5.7,5
