Sr. No.,Category,States/ UTs,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
1,State,Andhra Pradesh ++,556240,5051,561291,0.9
2,State,Arunachal Pradesh,213,2,215,0.9
3,State,Assam,2112,43,2155,2
4,State,Bihar,14482,391,14873,2.6
5,State,Chhattisgarh,238282,1843,240125,0.8
6,State,Goa,2762,302,3064,9.9
7,State,Gujarat,185255,74660,259915,28.7
8,State,Haryana,26604,228,26832,0.8
9,State,Himachal Pradesh,4395,385,4780,8.1
10,State,Jammu & Kashmir,2608,51,2659,1.9
11,State,Jharkhand,5764,312,6076,5.1
12,State,Karnataka,42359,1727,44086,3.9
13,State,Kerala,267585,646,268231,0.2
14,State,Madhya Pradesh,165921,1548,167469,0.9
15,State,Maharashtra,162360,10572,172932,6.1
16,State,Manipur,1238,129,1367,9.4
17,State,Meghalaya,167,4,171,2.3
18,State,Mizoram,1298,108,1406,7.7
19,State,Nagaland,658,83,741,11.2
20,State,Odisha,17963,1262,19225,6.6
21,State,Punjab,20893,1224,22117,5.5
22,State,Rajasthan,59016,650,59666,1.1
23,State,Sikkim,187,22,209,10.5
24,State,Tamil Nadu,579151,45573,624724,7.3
25,State,Tripura,194,2,196,1
26,State,Uttar Pradesh,2149202,1217,2150419,0.1
27,State,Uttarakhand,163737,233,163970,0.1
28,State,West Bengal,9198,583,9781,6
State,State,Total (States),4679844,148851,4828695,3.1
29,Union Territory,A & N Islands,5016,246,5262,4.7
30,Union Territory,Chandigarh,786,36,822,4.4
31,Union Territory,D & N Haveli,55,4,59,6.8
32,Union Territory,Daman & Diu,48,19,67,28.4
33,Union Territory,Delhi,5802,544,6346,8.6
34,Union Territory,Lakshadweep,45,0,45,0
35,Union Territory,Puducherry,1484,35,1519,2.3
Union Territory,Union Territory,Total (UTs),13236,884,14120,6.3
Total (All-India),Total (All-India),Total (All-India),4693080,149735,4842815,3.1
