Si. No. (Col. 1),Category (Col. 2),States/UTs (Col. 3),Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) -Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other ,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),"Robbery (Sec. 392-394,3,97,398 IPC)","Burglary (Sec. 449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt(Sec.323-3,33,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,20.1,14.9,3.9,13.7,NA,13.7,10.1,9.1,12.5,23.8,20,21.4,41.1,37.4,43.4,35.5,25.3,12.8,12.1,16.4,9.6,42.4,15.9,20.5,35,12.4,NA,17.1,41.8,34.3
2,State,Arunachal Pradesh,72.7,50,NA,66.7,NA,66.7,50,50,NA,80,NA,40.9,55,71,71.4,70.9,16.7,40,38.9,NA,0,56.4,NA,50,NA,33.3,NA,57.1,60.5,59
3,State,Assam,42,25.9,33.3,18.1,100,17.7,16.6,17.2,11.8,14.3,0,25.4,19,21.9,24.4,21.6,8.3,25.2,17.9,30.2,20.9,15.1,22.4,16.3,42.9,14.8,NA,15.3,15.5,17
4,State,Bihar,27.8,13.3,19.2,26,NA,26,17.1,15.7,18.3,13.9,16.5,16.5,12.3,15.3,21.4,14.3,9.3,17.3,17.7,33.3,21.5,13,25.1,17.9,0,14.6,16.7,24.6,17,16.2
5,State,Chhattisgarh,42.6,31.7,16.7,24.7,NA,24.7,22.7,24.8,20,25.4,50,24.5,29.3,25.7,19,28,28.1,18.9,22.5,25,21.3,21.9,39.7,29.6,36.9,23,NA,21.6,63.2,41.3
6,State,Goa,35.7,25,25,18.5,NA,18.5,16.7,11.1,33.3,20,NA,16.7,19.4,15.8,9.5,19.4,2,5.3,4.2,100,5.9,16.2,50,16,33.3,0,NA,13.9,29.1,21.4
7,State,Gujarat,30.9,20.4,25,17.6,NA,17.6,11.9,12.7,2.7,10,0,13.2,13.5,16,19.1,14.8,14.1,10,13.5,35.3,1.9,12.8,12.5,5,12.2,3.4,NA,6.9,53.6,37.9
8,State,Haryana,46.8,32.4,29.4,24.8,NA,24.8,24.5,26,19.2,38.3,41.2,34.3,45.7,46.6,51.4,42.1,12,21,20.7,40,23.9,18,39.9,30.2,75.7,9.5,NA,15.5,34.1,32.1
9,State,Himachal Pradesh,46.1,34.6,60,19.1,NA,19.1,13.9,15.2,0,16.7,NA,28.6,15.6,15.6,13.3,16.4,6.2,20,18.2,33.3,13.9,12.8,0,14,8.3,6.4,NA,19.4,22.9,19.9
10,State,Jammu & Kashmir,17.1,4.4,0,2.1,NA,2.1,1.8,2,0,0,NA,0,12.9,6.1,18.4,5,6.7,7.3,7.8,0,0,21.7,0,7.8,49.3,24.2,NA,38.8,72.1,53.1
11,State,Jharkhand,28.2,24.8,28,28.7,NA,28.7,22.7,17.8,32,22.4,9.4,22.4,25.4,25.3,34.6,21.3,20.8,33.4,23.1,58.3,27.8,28,29.6,15.5,27.3,26.5,75,22.9,22.9,24.2
12,State,Karnataka,25.7,13.4,7.3,15.4,NA,15.4,5.1,7,1.7,6,10.5,4.7,12.7,10.2,11.4,9.5,4.9,6.3,6.1,11.1,3.9,3,17.7,4.3,0,4.2,NA,7.8,57.7,34.9
