Sr. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - (S)","No. of Vehicles - Motor Cycles, Scooters - ( R)","No. of Vehicles - Motor Cycles, Scooters - ( C)",No. of Vehicles - Motor Car / Taxi / Jeep - (S),No. of Vehicles - Motor Car / Taxi / Jeep - ( R),No. of Vehicles - Motor Car / Taxi / Jeep - ( C),No. of Vehicles - Buses - (S),No. of Vehicles - Buses - ( R),No. of Vehicles - Buses - ( C),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - (S),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - ( R),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - ( C),No. of Vehicles - Other Motor Vehicles - (S),No. of Vehicles - Other Motor Vehicles - ( R),No. of Vehicles - Other Motor Vehicles - ( C),No. of Vehicles - Total Motor Vehicles - (S),No. of Vehicles - Total Motor Vehicles - ( R),No. of Vehicles - Total Motor Vehicles - ( C)
1,State,Andhra Pradesh,6116,4298,648,602,530,203,65,49,6,15,14,1,624,562,34,7422,5453,892
2,State,Arunachal Pradesh,133,44,3,5,2,0,0,0,0,0,0,0,1,0,0,139,46,3
3,State,Assam,458,126,26,103,32,7,2,2,0,11,3,3,26,3,5,600,166,41
4,State,Bihar,3575,324,5,360,45,0,0,0,0,27,11,0,309,20,0,4271,400,5
5,State,Chhattisgarh,1848,508,0,152,52,0,0,0,0,0,0,0,139,43,0,2139,603,0
6,State,Goa,337,125,7,20,9,3,0,0,0,14,7,0,1,1,0,372,142,10
7,State,Gujarat,8403,2122,724,843,170,58,1,0,0,121,28,22,461,123,11,9829,2443,815
8,State,Haryana,8687,2248,513,1918,499,61,9,3,1,349,144,33,435,160,45,11398,3054,653
9,State,Himachal Pradesh,137,48,0,161,61,0,0,0,0,0,0,0,36,17,0,334,126,0
10,State,Jammu & Kashmir,510,94,5,334,93,5,5,4,0,45,22,0,74,27,4,968,240,14
11,State,Jharkhand,2268,373,27,368,54,3,0,0,0,0,0,0,48,13,0,2684,440,30
12,State,Karnataka,9001,2732,263,1087,442,45,1,1,0,47,22,3,503,177,6,10639,3374,317
13,State,Kerala,1142,495,2,180,56,1,0,0,0,62,23,1,94,52,0,1478,626,4
14,State,Madhya Pradesh,10870,2339,196,780,299,46,0,0,0,0,0,0,410,139,17,12060,2777,259
15,State,Maharashtra,15126,3791,932,2612,571,238,11,6,3,595,160,42,261,113,51,18605,4641,1266
16,State,Manipur,236,12,12,47,4,4,0,0,0,0,0,0,3,2,2,286,18,18
17,State,Meghalaya,99,21,0,43,19,0,0,0,0,2,1,0,8,1,0,152,42,0
18,State,Mizoram,38,30,30,18,13,13,0,0,0,0,0,0,13,9,9,69,52,52
19,State,Nagaland,140,12,0,81,12,2,0,0,0,5,4,0,51,6,0,277,34,2
20,State,Odisha,2250,673,4,181,82,0,0,1,0,48,8,0,148,45,0,2627,809,4
21,State,Punjab,1572,812,390,943,315,92,8,6,1,103,49,20,87,88,26,2713,1270,529
22,State,Rajasthan,11199,1715,791,1491,256,189,26,9,1,224,71,19,169,128,37,13109,2179,1037
23,State,Sikkim,6,4,0,2,2,0,0,0,0,0,0,0,0,0,0,8,6,0
24,State,Tamil Nadu,4791,3234,2368,265,185,119,1,1,1,34,29,21,114,92,54,5205,3541,2563
25,State,Tripura,43,21,0,2,2,0,0,0,0,2,1,0,3,2,0,50,26,0
26,State,Uttar Pradesh,13168,1921,394,3046,374,65,10,5,0,161,50,17,320,84,29,16705,2434,505
27,State,Uttarakhand,727,203,0,96,26,0,1,1,0,17,10,0,12,4,0,853,244,0
28,State,West Bengal,3539,491,41,401,89,4,1,1,0,56,12,1,308,48,1,4305,641,47
State,State,Total (States),106419,28816,7381,16141,4294,1158,141,89,13,1938,669,183,4658,1959,331,129297,35827,9066
29,Union Territory,A & N Islands,21,12,0,0,0,0,0,0,0,0,0,0,1,0,0,22,12,0
30,Union Territory,Chandigarh,536,178,0,355,75,0,0,0,0,7,3,0,0,0,0,898,256,0
31,Union Territory,D & N Haveli,23,8,0,6,1,0,0,0,0,5,1,0,0,0,0,34,10,0
32,Union Territory,Daman & Diu,25,9,0,2,1,0,0,0,0,1,1,0,0,0,0,28,11,0
33,Union Territory,Delhi,9085,1225,58,5281,594,24,6,1,0,201,40,1,458,64,2,15031,1924,85
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
