SI. No.,Category,States/ UTs,Dacoity (Sec.395-398 IPC),Preparation and Assembly for Dacoity (Sec.399 to 402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC),Total IPC Crimes Against Property,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,134,2,550,8200,26756,35642,7.91,42.37,19.64
2,State,Arunachal Pradesh,15,0,69,211,445,740,0.16,59.92,30.34
3,State,Assam,248,12,662,3458,7860,12240,2.71,39.51,19.85
4,State,Bihar,644,46,1538,3437,15544,21209,4.7,21.82,16.64
5,State,Chhattisgarh,122,15,552,3711,5805,10205,2.26,41.59,18.57
6,State,Goa,2,0,39,368,1034,1443,0.32,82.79,43.82
7,State,Gujarat,186,18,1384,4071,16794,22453,4.98,38.58,19.28
8,State,Haryana,147,248,734,4445,16266,21840,4.84,88.82,36.94
9,State,Himachal Pradesh,2,0,11,743,838,1594,0.35,23.84,12.22
10,State,Jammu & Kashmir,6,0,61,1406,2510,3983,0.88,29.8,17.15
11,State,Jharkhand,335,19,709,1357,7090,9510,2.11,30.74,24.45
12,State,Karnataka,272,300,1949,6059,20093,28673,6.36,48.76,20.15
13,State,Kerala,74,221,636,2682,4380,7993,1.77,22.86,5.39
14,State,Madhya Pradesh,110,110,1919,9897,21577,33613,7.46,46.62,15.69
15,State,Maharashtra,778,285,3721,16617,52565,73966,16.41,67.21,35.53
16,State,Manipur,0,196,2,66,417,681,0.15,25.2,25.08
17,State,Meghalaya,42,1,67,166,664,940,0.21,36.03,37.52
18,State,Mizoram,3,0,16,425,823,1267,0.28,125.69,58.28
19,State,Nagaland,3,0,63,62,397,525,0.12,23.33,49.58
20,State,Odisha,346,117,1491,2855,7572,12381,2.75,30.32,21.93
21,State,Punjab,65,143,241,2661,5446,8556,1.9,31.38,23.35
22,State,Rajasthan,37,84,872,4714,22324,28031,6.22,41.77,17.2
23,State,Sikkim,1,0,7,72,53,133,0.03,21.8,24.09
24,State,Tamil Nadu,85,12,1817,4715,14583,21212,4.7,31.36,11.42
25,State,Tripura,16,2,65,221,457,761,0.17,21.08,13.11
26,State,Uttar Pradesh,337,48,2577,4915,31153,39030,8.66,19.61,22.41
27,State,Uttarakhand,12,2,162,310,2138,2624,0.58,26.73,28.4
28,State,West Bengal,288,687,798,388,19389,21550,4.78,23.89,16.63
Total (States),Total (States),Total (States),4310,2568,22712,88232,304973,422795,93.78,36.32,19.53
29,Union Territory,Andaman & Nicobar Islands,1,0,7,80,121,209,0.05,48.38,21.33
30,Union Territory,Chandigarh,5,6,67,236,1481,1795,0.4,159.56,53.22
31,Union Territory,Dadra Nagar Haveli,2,0,3,25,63,93,0.02,32.86,24.6
32,Union Territory,Daman & Diu,6,0,0,27,47,80,0.02,40,39.41
33,Union Territory,Delhi,32,31,599,1502,23088,25252,5.6,137.74,49.23
34,Union Territory,Lakshadweep,0,0,0,5,5,10,0,13.89,23.81
35,Union Territory,Pondicherry,2,10,5,72,534,623,0.14,55.77,15.83
Total (UTs),Total (UTs),Total (UTs),48,47,681,1947,25339,28062,6.22,130.15,46.61
Total (All-India),Total (All-India),Total (All-India),4358,2615,23393,90179,330312,450857,100,38.02,20.26
