Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total,Note of Pendency Percentage
1,State,Andhra Pradesh,4792,101,1771,2920,207,60.9,3.7,NA
2,State,Arunachal Pradesh,109,0,0,109,0,100,0.1,NA
3,State,Assam,231,7,15,209,9,90.5,0.3,NA
4,State,Bihar,4319,0,304,4015,48,93,5.1,NA
5,State,Chhattisgarh,4496,13,1456,3027,304,67.3,3.9,NA
6,State,Goa,361,2,65,294,11,81.4,0.4,NA
7,State,Gujarat,6866,12,490,6364,51,92.7,8.1,NA
8,State,Haryana,920,0,354,566,91,61.5,0.7,NA
9,State,Himachal Pradesh,725,97,103,525,17,72.4,0.7,NA
10,State,Jammu & Kashmir,186,0,9,177,1,95.2,0.2,NA
11,State,Jharkhand,173,0,77,96,3,55.5,0.1,NA
12,State,Karnataka,1143,1,215,927,20,81.1,1.2,NA
13,State,Kerala,2860,4,287,2569,57,89.8,3.3,NA
14,State,Madhya Pradesh,18535,606,4662,13267,1809,71.6,16.9,NA
15,State,Maharashtra,21480,17,1639,19824,130,92.3,25.3,NA
16,State,Manipur,3,0,0,3,0,100,0,NA
17,State,Meghalaya,144,0,15,129,2,89.6,0.2,NA
18,State,Mizoram,60,0,32,28,32,46.7,0,NA
19,State,Nagaland,8,0,5,3,5,37.5,0,NA
20,State,Odisha,1013,0,101,912,14,90,1.2,NA
21,State,Punjab,1409,0,423,986,158,70,1.3,NA
22,State,Rajasthan,3594,2,372,3220,174,89.6,4.1,NA
23,State,Sikkim,113,18,1,94,0,83.2,0.1,NA
24,State,Tamil Nadu,1538,0,398,1140,129,74.1,1.5,NA
25,State,Tripura,283,0,171,112,20,39.6,0.1,NA
26,State,Uttar Pradesh,15359,2,4137,11220,2525,73.1,14.3,NA
27,State,Uttarakhand,277,0,103,174,58,62.8,0.2,NA
28,State,West Bengal,1261,22,225,1014,51,80.4,1.3,NA
State,State,Total (States),92258,904,17430,73924,5926,80.1,94.2,NA
29,Union Terrotory,A & N Islands,143,0,0,143,0,100,0.2,NA
30,Union Terrotory,Chandigarh,146,0,37,109,15,74.7,0.1,NA
31,Union Terrotory,D & N Haveli,62,0,5,57,2,91.9,0.1,NA
32,Union Terrotory,Daman & Diu,19,0,2,17,2,89.5,0,NA
33,Union Terrotory,Delhi,4826,0,730,4096,309,84.9,5.2,NA
34,Union Terrotory,Lakshadweep,0,0,0,0,0,NA,0,@
35,Union Terrotory,Puducherry,115,0,10,105,2,91.3,0.1,NA
Union Terrotory,Union Terrotory,Total (UTs),5311,0,784,4527,330,85.2,5.8,NA
Total (All-India),Total (All-India),Total (All-India),97569,904,18214,78451,6256,80.4,100,NA
