Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,The Foreigners Act,Protection of Civil Rights Act -Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prevention of Atrocities) Act - Total,Prevention of Attrocities Act - for SCs,Prevention of Attrocities Act - for STs,Forest Act,Other Sll Crimes,Total Cognizable Crimes Under Sll
1,State,Andhra Pradesh,97.2,97.8,99.5,97.8,98.9,96.6,99.1,0,89.5,83,82,100,87,100,NA,94.7,98.2,75,100,97.8,NA,89.7,88.3,100,57.9,99.8,99.8
2,State,Arunachal Pradesh,100,100,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,80.4
3,State,Assam,62.3,93.7,62.8,54.5,60,59.2,82.4,66.7,87.5,NA,NA,NA,68.4,73.2,50,NA,47.6,NA,NA,87.5,NA,100,100,NA,55.6,45.2,59.5
4,State,Bihar,95,90,84.4,97.1,95.7,80.4,90.2,100,NA,NA,NA,NA,100,90.6,NA,100,89.7,85.7,NA,100,NA,81.8,81.9,72.7,95.2,81,89.2
5,State,Chhattisgarh,100,99.5,100,100,100,100,100,100,NA,NA,NA,NA,NA,100,NA,NA,100,100,100,100,NA,97.2,95.3,98.5,100,99.9,99.9
6,State,Goa,85.7,100,99.8,100,NA,NA,87.5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,98.7,98.8
7,State,Gujarat,97.9,93.9,100,50,99.9,96.1,100,NA,97,NA,NA,NA,83.3,98.3,NA,NA,87.5,92.3,NA,99.8,NA,98.1,98.2,97.1,100,98.7,99.8
8,State,Haryana,98.3,96.5,100,99.1,NA,92.9,100,16.7,100,NA,NA,NA,100,98.8,NA,0,80,100,NA,99.5,NA,96.9,96.9,NA,NA,79.5,95.8
9,State,Himachal Pradesh,100,94.9,100,98.8,NA,83.3,100,NA,100,100,100,NA,NA,96.6,NA,100,NA,100,NA,97.1,NA,100,100,100,73.9,84.4,96.2
10,State,Jammu & Kashmir,71.4,96.6,100,99.8,NA,13.5,NA,NA,78.6,100,100,NA,NA,99.8,NA,NA,100,NA,NA,60,NA,NA,NA,NA,94.1,84.1,92.3
11,State,Jharkhand,99.1,99.3,93.3,97.4,100,83.3,77.8,0,NA,NA,NA,NA,NA,95.5,NA,NA,86.7,NA,100,96.4,NA,73.2,73.4,72.6,80,84,89.3
12,State,Karnataka,98.1,98.2,100,99.3,NA,86.7,100,0,51.9,92.6,92.6,NA,100,96.3,NA,100,80.9,80,NA,91.9,NA,94.2,93.9,95.9,89.4,95.5,96.5
13,State,Kerala,92.7,98.5,100,NA,98.8,62.2,100,0,91.3,NA,NA,NA,93,98.7,NA,NA,100,100,97.4,98,NA,65.6,50,100,NA,97.4,97.6
14,State,Madhya Pradesh,100,98.6,100,100,NA,97.5,100,83.3,100,100,100,100,NA,98.1,NA,NA,98.4,100,NA,98.9,NA,100,100,100,100,99.7,99.8
15,State,Maharashtra,98.8,97.9,100,NA,99.8,88.9,100,0,95,76,76,NA,100,98.8,NA,NA,100,100,NA,99.8,NA,98.3,98.4,97.4,97.1,97,98.8
16,State,Manipur,0,75,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,20.7
17,State,Meghalaya,80.6,66.7,100,50,NA,100,50,NA,97.1,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77.8,85.1
