SI. No.,Category,States/ UTs,Gain - Murder (Sec.302 IPC),"Gain - C.H. (Sec.304 , 308 IPC)",Property Dispute - Murder (Sec.302 IPC),"Property Dispute - C.H. (Sec.304 , 308 IPC)",Personal Vendetta or Enmity - Murder (Sec.302 IPC),"Personal Vendetta or Enmity - C.H. (Sec.304 , 308 IPC)",Love Affairs/ Sexual Causes - Murder (Sec.302 IPC),"Love Affairs/ Sexual Causes - C.H. (Sec.304 , 308 IPC)",Dowry - Murder (Sec.302 IPC),"Dowry - C.H. (Sec.304 , 308 IPC)",Lunacy - Murder (Sec.302 IPC),"Lunacy - C.H. (Sec.304 , 308 IPC)",Witchcraft - Murder (Sec.302 IPC),"Witchcraft - C.H. (Sec.304 , 308 IPC)",Political Reasons - Murder (Sec.302 IPC),"Political Reasons - C.H. (Sec.304 , 308 IPC)",Terrorist/ Extremist Violence - Murder (Sec.302 IPC),"Terrorist/ Extremist Violence - C.H. (Sec.304 , 308 IPC)",Communalism - Murder (Sec.302 IPC),"Communalism - C.H. (Sec.304 , 308 IPC)",Casteism - Murder (Sec.302 IPC),"Casteism - C.H. (Sec.304 , 308 IPC)",Class Conflict - Murder (Sec.302 IPC),"Class Conflict - C.H. (Sec.304 , 308 IPC)",Other Motives - Murder (Sec.302 IPC),"Other Motives - C.H. (Sec.304 , 308 IPC)",Total - Murder (Sec.302 IPC),"Total - C.H. (Sec.304 , 308 IPC)"
1,State,Andhra Pradesh,219,0,180,5,282,8,375,0,128,0,3,0,26,0,5,0,19,0,2,0,0,0,0,0,1299,142,2538,155
2,State,Arunachal Pradesh,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,75,3
3,State,Assam,24,1,119,10,50,1,21,1,43,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,945,33,1223,46
4,State,Bihar,352,47,916,97,441,30,187,35,168,11,5,0,2,0,24,0,22,0,0,0,11,2,6,2,1228,120,3362,344
5,State,Chhattisgarh,26,0,66,1,66,1,72,1,19,1,2,0,8,0,0,0,131,0,10,1,0,0,4,0,661,25,1065,30
6,State,Goa,3,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,35,3
7,State,Gujarat,66,2,90,0,118,0,131,1,3,1,8,0,5,0,0,0,0,0,1,0,2,0,0,0,624,40,1048,44
8,State,Haryana,40,2,241,8,215,5,42,2,17,0,1,0,57,1,0,0,0,0,0,0,0,0,2,1,390,44,1005,63
9,State,Himachal Pradesh,3,0,12,1,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,11,132,12
10,State,Jammu & Kashmir,1,0,20,0,9,0,8,0,2,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,100,26,217,26
