SI. No.,Category,States/ UTs,Cities,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,Cyberabad,187,84,10,95,0,95,150,72,78,14,1,63,1361,4015,1609,2406,60,173,1256,18,61,3529,43,157,1257,1191,0,1080,1543,16348
2,State,Andhra Pradesh,Guntur Urban,43,26,1,12,0,12,27,5,22,2,0,19,123,743,220,523,9,34,236,2,9,321,13,48,54,245,0,232,1009,3208
3,State,Andhra Pradesh,Hyderabad,134,143,8,45,0,45,121,41,80,7,0,54,906,4916,1543,3373,513,96,2021,29,15,3425,44,171,60,1420,0,542,2879,17549
4,State,Andhra Pradesh,Rajahmundry,21,20,1,10,0,10,30,12,18,3,0,10,129,382,6,376,5,35,82,4,4,620,4,47,39,96,0,164,316,2022
5,State,Andhra Pradesh,Tirupathi Urban,31,35,0,10,0,10,26,15,11,2,0,4,119,636,221,415,25,7,150,1,4,696,5,38,25,85,0,237,471,2607
6,State,Andhra Pradesh,Vijayawada,33,49,1,25,0,25,87,65,22,3,0,20,228,1324,539,785,8,52,398,16,20,1565,17,172,219,626,0,363,607,5833
7,State,Andhra Pradesh,Vishakhapatnam,24,25,4,53,0,53,34,24,10,8,0,40,335,1234,134,1100,2,75,294,16,28,2443,11,59,52,393,0,466,1516,7112
8,State,Andhra Pradesh,Warangal Urban,21,16,1,17,0,17,28,28,0,0,0,6,122,245,0,245,44,3,165,1,42,566,12,50,25,412,0,245,495,2516
9,State,Assam,Guwahati,52,38,4,70,0,70,386,322,64,15,4,172,716,2036,967,1069,78,158,240,22,37,644,12,119,0,218,0,213,3985,9219
10,State,Bihar,Patna,130,20,4,25,0,25,183,58,125,15,0,131,479,2117,1202,915,194,5,174,12,0,34,30,4,3,197,0,228,5032,9017
11,State,Chhatitsgarh,Durg,45,35,0,42,0,42,21,18,3,1,4,64,365,678,335,343,45,18,138,8,13,282,7,130,16,74,0,227,3571,5784
12,State,Chhatitsgarh,Raipur,35,49,2,51,0,51,31,23,8,3,1,70,425,1139,602,537,60,43,164,15,33,1353,2,114,16,65,1,234,2010,5916
13,State,Gujarat,Ahmedabad,82,66,4,49,0,49,207,177,30,26,2,805,799,4659,3101,1558,171,263,212,17,4,1365,12,73,9,1230,0,203,11184,21442
14,State,Gujarat,Bhavnagar,18,11,0,2,0,2,20,17,3,1,1,10,57,288,161,127,24,11,30,14,7,197,0,14,22,97,0,0,729,1553
15,State,Gujarat,Rajkot,38,22,1,12,0,12,39,32,7,9,0,34,243,1039,798,241,64,52,26,9,17,393,0,14,7,294,0,117,1594,4024
16,State,Gujarat,Surat,87,19,1,23,0,23,82,63,19,12,7,80,273,1712,1247,465,87,34,126,36,7,556,3,24,1,268,0,364,3624,7426
17,State,Gujarat,Vadodara,23,25,1,7,0,7,36,30,6,9,0,19,319,1529,1044,485,89,35,115,3,4,276,0,18,0,216,0,180,2448,5352
18,State,Haryana,Faridabad,70,49,5,51,0,51,102,86,16,9,70,20,277,1672,1352,320,178,174,154,0,5,191,23,27,78,224,0,224,1317,4920
19,State,Jharkhand,Dhanbad,17,10,7,5,0,5,46,40,6,16,1,11,101,441,252,189,55,21,21,0,1,71,12,6,0,11,0,1,152,1006
20,State,Jharkhand,Jamshedpur,52,27,8,16,0,16,43,25,18,3,1,25,150,702,438,264,133,42,90,0,6,578,13,6,1,22,0,100,714,2732
21,State,Karnataka,Bengaluru,266,445,5,65,0,65,513,29,484,66,246,641,1335,10568,6407,4161,349,139,3073,72,7,3153,52,308,50,398,0,104,10333,32188
22,State,Karnataka,Belgaum,7,12,0,5,0,5,12,10,2,5,1,28,74,255,144,111,58,2,112,4,4,123,2,18,3,43,0,1,633,1402
23,State,Karnataka,Gulbarga,17,24,1,12,0,12,28,17,11,11,3,67,142,228,131,97,71,7,53,2,6,215,0,17,0,70,0,6,114,1094
24,State,Karnataka,Hubli Dharwad,17,16,0,1,0,1,20,13,7,4,1,62,128,348,199,149,86,15,154,3,9,159,0,16,3,45,0,5,1129,2221
25,State,Karnataka,Mysore,30,51,0,7,0,7,24,18,6,6,6,199,203,855,564,291,95,10,276,9,0,238,4,22,0,59,0,0,1313,3407
26,State,Kerala,Kochi,4,11,3,20,0,20,8,5,3,2,15,34,79,233,99,134,244,13,297,0,2,282,2,67,23,146,0,3,24227,25715
27,State,Kerala,Kozhikode,7,3,0,16,0,16,11,7,4,2,22,73,175,363,183,180,265,32,130,3,16,500,1,70,70,164,0,0,2015,3938
28,State,Kerala,Tvpm City,15,16,3,27,0,27,22,14,8,4,41,76,221,424,159,265,477,28,409,8,9,829,3,194,41,135,0,2,2668,5652
29,State,Madhaya Pradesh,Bhopal,49,59,3,73,0,73,59,53,6,6,1,191,844,2443,1556,887,83,9,170,3,9,1286,25,21,139,191,1,219,6090,11974
30,State,Madhaya Pradesh,Gwalior,62,121,22,37,0,37,78,61,17,3,6,129,874,1809,1405,404,68,27,123,0,13,702,32,103,13,213,0,128,3448,8011
31,State,Madhaya Pradesh,Indore,80,129,2,69,0,69,30,23,7,5,12,210,689,3462,2681,781,53,42,151,15,18,2800,26,211,47,259,2,220,5698,14230
32,State,Madhaya Pradesh,Jabalpur,48,71,0,81,0,81,27,25,2,1,7,52,260,641,443,198,50,3,80,0,1,875,25,114,49,118,1,97,3604,6205
33,State,Madhaya Pradesh,Ujjain,31,49,0,32,0,32,21,16,5,0,0,61,205,572,342,230,44,14,39,1,8,275,8,37,12,88,0,66,2532,4095
34,State,Maharashtra,Aurangabad,38,86,1,23,0,23,40,30,10,22,3,122,347,1012,474,538,138,26,207,1,15,467,10,52,39,157,0,162,985,3953
35,State,Maharashtra,Amravati,11,30,4,20,0,20,31,28,3,3,8,54,232,988,238,750,55,31,63,6,16,456,3,52,12,96,0,68,840,3079
36,State,Maharashtra,Mumbai,228,170,7,194,0,194,194,146,48,35,42,410,3059,13195,4167,9028,391,482,2211,76,22,4487,21,475,138,312,0,690,7093,33932
37,State,Maharashtra,Nagpur,88,69,5,58,0,58,57,34,23,13,13,259,599,1732,852,880,183,72,264,24,20,842,8,87,48,175,0,332,2780,7728
38,State,Maharashtra,Nasik,37,32,1,30,0,30,27,19,8,24,13,117,528,1882,963,919,146,52,187,23,17,268,2,46,18,124,0,217,693,4484
39,State,Maharashtra,Navi Mumbai,57,27,3,27,0,27,23,11,12,9,13,136,700,2040,1004,1036,135,72,452,5,6,462,3,36,38,89,0,432,1108,5873
40,State,Maharashtra,Pune,129,94,6,91,0,91,129,94,35,30,31,452,1250,4674,2948,1726,393,72,663,37,17,1169,4,78,91,214,0,620,3358,13602
41,State,Maharashtra,Solapur,20,16,4,12,0,12,14,10,4,11,1,47,143,377,194,183,65,16,78,4,4,155,2,22,2,78,0,106,446,1623
42,State,Maharashtra,Thane,107,72,3,93,0,93,93,61,32,32,20,172,1080,3173,1493,1680,285,133,794,34,22,1322,9,152,32,365,0,343,1607,9943
43,State,Punjab,Amritsar,53,71,7,24,0,24,51,43,8,3,18,9,83,257,104,153,0,16,275,14,4,152,10,10,4,87,0,70,615,1833
44,State,Punjab,Jalandhar,29,51,8,22,0,22,57,40,17,5,10,19,176,495,243,252,0,10,271,5,6,205,5,27,4,82,0,101,538,2126
45,State,Punjab,Ludhiana,81,81,12,52,0,52,143,102,41,5,5,30,213,839,472,367,0,36,385,4,6,217,7,27,11,109,0,200,1059,3522
46,State,Rajasthan,Ajmer,7,13,5,11,0,11,18,13,5,0,0,6,75,222,154,68,13,362,6,0,2,35,4,13,0,182,0,0,2637,3611
47,State,Rajasthan,Bharatpur,22,11,0,6,0,4,45,38,7,0,0,10,21,654,544,110,0,216,3,0,0,62,5,1,0,11,0,41,1022,2130
48,State,Rajasthan,Bikaner,13,33,1,11,0,11,17,17,0,0,0,3,58,184,111,73,0,220,4,0,0,85,2,24,0,130,0,32,821,1638
49,State,Rajasthan,Jaipur,65,68,7,71,0,71,207,193,14,4,10,253,774,4825,3562,1263,138,270,3146,7,5,597,30,115,0,720,0,499,4906,16717
50,State,Rajasthan,Jodhpur,27,54,3,27,0,27,53,43,10,0,0,9,119,727,566,161,1,519,16,2,3,472,13,31,3,247,0,133,1149,3608
51,State,Rajasthan,Kota,35,114,4,33,0,33,80,55,25,0,22,49,104,805,561,244,2,493,15,1,4,146,10,40,0,307,0,117,1697,4078
52,State,Rajasthan,Udaipur,16,48,0,17,0,17,58,40,18,1,2,42,140,491,340,151,53,498,16,1,10,486,4,29,5,16,0,102,795,2830
53,State,Tamil Nadu,Chennai,103,158,2,47,0,47,47,30,17,2,2,74,383,1540,234,1306,60,21,524,72,1,773,16,45,23,125,0,604,6247,10869
54,State,Tamil Nadu,Chennaisuburban,86,137,1,29,0,29,30,16,14,1,1,102,374,750,139,611,85,7,236,6,10,797,18,61,87,57,0,820,4975,8670
55,State,Tamil Nadu,Coimbatore,22,27,0,15,0,15,22,10,12,1,0,25,142,1084,497,587,23,9,148,30,8,357,1,35,1,45,0,324,1861,4180
56,State,Tamil Nadu,Madurai,34,50,0,3,0,3,15,9,6,0,0,77,65,500,269,231,17,8,124,31,0,130,11,12,20,69,0,120,1386,2672
57,State,Tamil Nadu,Salem,27,18,0,21,0,21,44,38,6,1,0,70,35,321,150,171,32,6,41,1,5,554,3,25,23,46,0,138,1807,3218
58,State,Tamil Nadu,Tirunelveli,12,78,0,16,0,16,11,9,2,1,0,26,69,269,83,186,0,0,40,1,5,194,0,5,0,4,0,87,812,1630
59,State,Tamil Nadu,Trichy,15,31,0,4,0,4,27,15,12,0,2,12,56,433,159,274,12,0,100,5,0,144,6,10,92,33,0,157,2602,3741
