Sl. No.,Crime Head,Incidence - 2000,Rate - 2000,Incidence - 2005,Rate - 2005,Incidence - 2006@@,Rate - 2006,Incidence - 2007,Rate - 2007,Incidence - 2008 ~~,Rate - 2008 ~~,Incidence - 2009#,Rate - 2009#,Incidence - Quinquennial Avg.2005-2009 (Q.A),Rate - Quinquennial Avg.2005-2009 (Q.A),Incidence - 2010,Rate - 2010,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -2000,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -Q.A,Percentage Change In 2010[(+) Increase/(-) Decrease] Over -2009,Note of Incidence - 2000,Note of Rate - 2000
1,Arms Act,60347,6,74270,7,76562,6.8,74066,6.5,77016,6.7,80109,6.9,76405,6.7,75550,6.4,25.2,-1.1,-5.7,NA,NA
2,Narcotic Drugs & Psychotropic Substances Act,22739,2.3,29421,3,31044,2.8,29831,2.6,30645,2.7,29401,2.5,30068,2.7,29576,2.5,30.1,-1.6,0.6,NA,NA
3,Gambling Act,140959,14.1,189523,17,173930,15.5,184972,16.3,156247,13.5,162218,13.9,173378,15.3,157958,13.3,12.1,-8.9,-2.6,NA,NA
4,Excise Act,118811,11.9,150604,14,146973,13.1,143311,12.6,161691,14,186322,15.9,157780,13.9,177081,14.9,49,12.2,-5,NA,NA
5,Prohibition Act,537536,53.6,326190,30,315883,28.2,344356,30.3,361940,31.4,387029,33.1,347080,30.5,385670,32.5,-28.3,11.1,-0.4,NA,NA
6,Explosive & Explosive Substances Act,4759,0.5,4254,0,4067,0.4,4019,0.4,4067,0.4,4419,0.4,4165,0.4,4021,0.3,-15.5,-3.5,-9,NA,NA
7,Immoral Traffic (P) Act,9515,0.9,5908,1,4541,0.4,3568,0.3,2660,0.2,2474,0.2,3830,0.3,2499,0.2,-73.7,-34.8,1,NA,NA
8,Indian Railways Act,44406,4.4,224,0,189,0,186,0,145,0,175,0,184,0,148,0,-99.7,-19.5,-15.4,NA,NA
9,The Foreigners Act,1434,0.1,1951,0.2,2133,0.2,2117,0.2,1524,0.1,1257,0.1,1796,0.2,1204,0.1,-16,-33,-4.2,NA,NA
10,Protection of Civil Rights Act,810,0.1,453,0,454,0,211,0,285,0,170,0,315,0,148,0,-81.7,-53,-12.9,NA,NA
10,Protection of Civil Rights Act - (I) PCR Act for SCs,NA,NA,291,0,405,0,206,0,279,0,168,0,270,0,143,0,NA,-47,-14.9,*,*
10,Protection of Civil Rights Act - (II) PCR Act for STs,NA,NA,162,0,49,0,5,0,6,0,2,0,45,0,5,0,NA,-88.8,150,*,*
11,Indian Passport Act,309,0,1120,0.1,940,0,984,0.1,1045,0.1,1249,0.1,1068,0.1,937,0.1,203.2,-12.2,-25,NA,NA
12,Essential Commodities Act,4872,0.5,7216,0.7,8319,1,7965,0.7,9100,0.8,7622,0.7,8044,0.7,7928,0.7,62.7,-1.4,4,NA,NA
13,Terrorist & Disruptive Activities Act,12,12,54,0,0,0,0,0,0,0,0,0,11,0,0,0,-100,-100,0,NA,NA
14,Antiquity & Art Treasure Act,38,0,68,0,31,0,49,0,34,0,36,0,44,0,57,0,50,30.7,58.3,NA,NA
15,Dowry Prohibition Act,2876,0.3,3204,0.3,4504,0,5623,0.5,5555,0.5,5650,0.5,4907,0.4,5182,0.4,80.2,5.6,-8.3,NA,NA
16,Prohibition of Child Marriage Act,92,0,122,0,99,0,96,0,104,0,3,0,85,0,60,0,-34.8,-29.2,1900,NA,NA
17,Indecent Representation of Women (p) Act,662,0.1,2917,0.3,1562,0,1200,0.1,1025,0.1,845,0.1,1510,0.1,895,0.1,35.2,-40.7,5.9,NA,NA
18,Copyrights Act,2364,0.2,6846,0.6,7188,1,6628,0.6,6036,0.5,6049,0.5,6549,0.6,7889,0.7,233.7,20.5,30.4,NA,NA
19,Sati Prevention Act,0,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,-100,0,NA,NA
20,SC/ST (Prevention of Atrocities) Act,15157,1.5,9780,0.9,9813,1,10923,1,12624,1.1,12087,1,11045,1,11682,1,-22.9,5.8,-3.4,NA,NA
20,SC/ST (Prevention of Atrocities) Act - (I) Prevention of Attrocities Act for SCs,NA,NA,8497,0.8,8581,1,9819,0.9,11602,1,11143,1,9928,1,10513,0.9,NA,5.9,5.7,NA,NA
20,SC/ST (Prevention of Atrocities) Act - (II) Prevention of Attrocities Act for STs,NA,NA,1283,0.1,1232,0,1104,0.1,1022,0.1,944,0.1,1117,0.1,1169,0.1,NA,4.7,23.8,NA,NA
21,Forest Act,4916,0.5,4168,0.4,4347,0,4682,0.4,5082,0.4,4802,0.4,4616,0.4,6004,0.5,22.1,30.1,25,NA,NA
22,Other Sll Crimes,2424052,241.9,2385441,216.3,2431588,217,2918947,256.8,3007899,260.8,3661955,313.1,2881166,252.8,3651428,307.9,50.6,26.7,-0.3,NA,NA
23,Total Cognizable Crimes Under Sll,3396666,338.9,3203735,290.5,3224167,287.9,3743734,329.4,3844725,333.4,4553872,389.4,3714047,326.1,4525917,381.7,33.2,21.9,-0.6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,\,,,,,,,,,,
