Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder (sec. 302 Ipc),376,0,0,308,81.9,68,18.1
2,Rape (sec.376 Ipc),959,1,0.1,887,92.5,71,7.4
3,"Kidnapping & Abduction (sec. 363-369, 371-373 Ipc)",140,2,1.4,116,82.9,22,15.7
4,Dacoity (sec.395-398 Ipc),8,0,0,2,25,6,75
5,"Robbery (392-394, 397, 398 Ipc)",24,1,4.2,18,75,5,20.8
6,"Arson (sec.435, 436, 438 Ipc)",139,0,0,125,89.9,14,10.1
7,"Hurt (sec.323-333, 335-338 Ipc)",1770,22,1.2,1589,89.8,159,9
8,"Pcr Act, 1955 For Sts",13,0,0,11,84.6,2,15.4
9,"Sc/st Prev. of Atrocities Act, 1989 For Sts",2375,151,6.4,1722,72.5,502,21.1
10,Other Crimes Against Sts,4782,168,3.5,4042,84.5,572,12
11,Total,10586,345,3.3,8820,83.3,1421,13.4
