Sr. No.,Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,303598,6000,230860,66738,22,8.7
2,State,Arunachal Pradesh,4154,713,1665,1776,42.8,0.2
3,State,Assam,143359,33522,36232,73605,51.3,9.6
4,State,Bihar,337495,7838,183307,146350,43.4,19.1
5,State,Chhattisgarh,76449,417,71979,4053,5.3,0.5
6,State,Goa,5989,628,3290,2071,34.6,0.3
7,State,Gujarat,175834,13,161109,14712,8.4,1.9
8,State,Haryana,71722,4,62555,9163,12.8,1.2
9,State,Himachal Pradesh,22284,72,18988,3224,14.5,0.4
10,State,Jammu & Kashmir,31772,0,31501,271,0.9,0
11,State,Jharkhand,77381,441,53842,23098,29.8,3
12,State,Karnataka,186029,6057,152791,27181,14.6,3.5
13,State,Kerala,224332,23,196640,27669,12.3,3.6
14,State,Madhya Pradesh,347550,640,343526,3384,1,0.4
15,State,Maharashtra,395198,3941,290275,100982,25.6,13.2
16,State,Manipur,3253,744,133,2376,73,0.3
17,State,Meghalaya,5230,431,1270,3529,67.5,0.5
18,State,Mizoram,2744,35,2477,232,8.5,0
19,State,Nagaland,1949,289,802,858,44,0.1
20,State,Odisha,101839,0,92839,9000,8.8,1.2
21,State,Punjab,75518,2210,44525,28783,38.1,3.8
22,State,Rajasthan,178490,2,177579,909,0.5,0.1
23,State,Sikkim,1279,422,558,299,23.4,0
24,State,Tamil Nadu,269709,5206,191646,72857,27,9.5
25,State,Tripura,8572,1188,5629,1755,20.5,0.2
26,State,Uttar Pradesh,322309,58911,226296,37102,11.5,4.8
27,State,Uttarakhand,14370,348,12391,1631,11.4,0.2
28,State,West Bengal,222365,18192,127809,76364,34.3,10
State,State,Total (States),3610773,148287,2722514,739972,20.5,96.5
29,Union Territory,A & N Islands,1522,0,1042,480,31.5,0.1
30,Union Territory,Chandigarh,4731,245,2330,2156,45.6,0.3
31,Union Territory,D & N Haveli,862,7,514,341,39.6,0
32,Union Territory,Daman & Diu,541,40,356,145,26.8,0
33,Union Territory,Delhi,57700,3482,30836,23382,40.5,3
34,Union Territory,Lakshadweep,261,0,21,240,92,0
35,Union Territory,Puducherry,6495,33,6149,313,4.8,0
Union Territory,Union Territory,Total (UTs),72112,3807,41248,27057,37.5,3.5
Total (All-India),Total (All-India),Total (All-India),3682885,152094,2763762,767029,20.8,100
