Sr. No.,Year,Boys,Girls,Total,Percentage of Girls,Note of Year
1,2000,13854,4128,17982,23,NA
2,2001,31295,2333,33628,6.9,*
3,2002,33551,2228,35779,6.2,NA
4,2003,30985,2335,33320,7,NA
5,2004,28878,2065,30943,6.7,NA
6,2005,30606,2075,32681,6.3,NA
7,2006,30375,1770,32145,5.5,NA
8,2007,32671,1856,34527,5.4,NA
9,2008,32795,1712,34507,5,NA
10,2009,31550,2092,33642,6.2,NA
11,2010,28763,1540,30303,5.1,NA
