Sr. No.,Category,States/ UTs,Number of - Zones,Number of - Ranges,Number of - Police Districts,Number of - Sub Divisions,Number of - Circles,Number of - Rural Police Stations,Number of - Urban Police Stations,Number of - Women Police Stations
1,State,Andhra Pradesh,14,13,33,179,420,1274,387,27
2,State,Arunachal Pradesh,1,3,17,5,17,54,15,0
3,State,Assam,2,6,30,28,45,183,130,1
4,State,Bihar @,5,12,44,112,200,694,158,1
5,State,Chhattisgarh,0,5,21,66,0,300,101,4
6,State,Goa,0,0,2,8,0,9,16,1
7,State,Gujarat,14,10,31,94,85,381,138,17
8,State,Haryana,0,4,22,51,0,153,89,1
9,State,Himachal Pradesh,0,3,13,26,0,65,37,0
10,State,Jammu & Kashmir,2,7,29,39,26,121,63,2
11,State,Jharkhand,4,7,26,43,113,289,136,24
12,State,Karnataka,0,6,34,92,239,484,416,10
13,State,Kerala,2,4,18,54,198,311,159,4
14,State,Madhya Pradesh,11,15,53,142,0,598,346,9
15,State,Maharashtra,36,9,45,280,0,679,333,0
16,State,Manipur,3,0,10,25,0,83,8,9
17,State,Meghalaya,1,2,7,8,19,20,19,7
18,State,Mizoram,0,2,8,17,0,27,11,0
19,State,Nagaland,1,10,11,25,17,20,30,1
20,State,Odisha,0,9,36,35,99,372,174,5
21,State,Punjab,4,7,25,90,0,202,157,5
22,State,Rajasthan,9,8,40,0,185,442,315,24
23,State,Sikkim,1,1,4,11,0,6,22,0
24,State,Tamil Nadu #,4,12,40,248,376,565,731,196
25,State,Tripura,1,2,4,22,30,39,25,1
26,State,Uttar Pradesh,0,18,72,312,393,1071,423,65
27,State,Uttarakhand,0,2,13,72,37,71,54,2
28,State,West Bengal,3,8,29,83,86,253,234,0
State,State,Total (States),118,185,717,2167,2585,8766,4727,416
29,Union Territory,A & N Islands,0,0,3,5,0,18,3,1
30,Union Territory,Chandigarh,0,0,0,3,0,0,11,0
31,Union Territory,D & N Haveli,0,0,1,0,0,1,1,0
32,Union Territory,Daman & Diu,0,0,2,0,0,1,2,0
33,Union Territory,Delhi,0,3,11,54,0,0,184,0
34,Union Territory,Lakshadweep,1,1,1,1,1,9,0,0
35,Union Territory,Puducherry,0,0,2,6,15,16,26,3
Union Territory,Union Territory,Total (UTs),1,4,20,69,16,45,227,4
Total (All-India),Total (All-India),Total (All-India),119,189,737,2236,2601,8811,4954,420
