SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
30,State,Uttara Pradesh*,Ghaziabad,216,220,35,44,0,44,366,285,81,32,2,174,303,3993,3190,803,195,201,521,9,6,45,69,77,0,536,0,1166,2007,10217
31,State,Uttara Pradesh*,Ghazipur,45,33,27,5,0,5,19,15,4,8,0,36,27,88,43,45,48,22,53,3,0,92,32,12,0,41,0,52,163,806
32,State,Uttara Pradesh*,Gonda,51,31,29,9,0,9,77,67,10,9,0,21,73,167,72,95,46,56,280,3,0,326,47,30,0,6,0,90,703,2054
33,State,Uttara Pradesh*,Gorakhpur,105,82,22,45,0,45,229,199,30,4,0,83,250,1126,746,380,239,141,335,20,1,342,61,69,0,266,0,334,1492,5246
34,State,Uttara Pradesh*,Hamirpur,22,12,19,6,0,6,15,13,2,0,0,3,16,67,16,51,4,24,25,0,1,19,15,25,0,22,0,83,140,518
35,State,Uttara Pradesh*,Hardoi,68,30,21,20,0,20,74,73,1,0,0,6,29,139,45,94,16,22,66,0,2,271,24,50,0,55,0,254,1145,2292
36,State,Uttara Pradesh*,Hathras,62,55,9,24,0,24,79,60,19,28,0,47,43,180,88,92,59,36,71,2,2,105,30,45,0,107,0,174,433,1591
37,State,Uttara Pradesh*,J.P.nagar,57,42,14,24,0,24,57,52,5,9,3,38,43,132,70,62,43,15,73,0,0,36,21,25,0,69,0,153,507,1361
38,State,Uttara Pradesh*,Jalaun,35,13,18,5,0,5,31,28,3,0,0,7,12,79,36,43,3,9,44,1,2,5,23,28,0,32,0,106,446,899
39,State,Uttara Pradesh*,Jaunpur,40,55,16,12,0,12,65,60,5,2,1,22,50,123,56,67,58,16,87,3,1,325,39,32,0,57,0,178,597,1779
40,State,Uttara Pradesh*,Jhansi,46,29,21,9,0,9,38,32,6,1,1,8,41,127,83,44,26,28,54,6,0,19,32,43,1,7,0,43,533,1113
41,State,Uttara Pradesh*,Kannauj,39,24,19,7,0,7,46,43,3,3,0,5,14,52,24,28,10,15,25,1,0,17,22,23,0,39,0,200,386,947
42,State,Uttara Pradesh*,Kanpur Nagar,150,109,41,42,0,42,316,263,53,10,1,81,267,1181,858,323,176,215,461,53,0,407,92,118,7,447,0,571,2147,6892
43,State,Uttara Pradesh*,Kanshiram Nagar,39,49,10,10,0,10,46,35,11,0,0,6,27,78,39,39,23,16,29,1,9,90,26,23,0,28,0,67,260,837
44,State,Uttara Pradesh*,Kaushambi,38,16,14,12,0,12,40,29,11,2,0,11,45,61,17,44,26,25,34,1,0,69,22,33,0,59,0,207,473,1188
45,State,Uttara Pradesh*,Khiri,74,71,30,26,0,26,89,80,9,0,3,24,21,227,115,112,29,42,58,2,2,311,37,37,0,33,0,195,985,2296
46,State,Uttara Pradesh*,Kushi Nagar,39,12,16,11,1,10,27,25,2,0,0,3,17,54,28,26,34,29,75,2,1,126,25,13,0,12,0,173,523,1192
47,State,Uttara Pradesh*,Lalitpur,11,3,11,7,0,7,12,9,3,1,0,11,17,43,19,24,14,15,21,2,3,10,8,17,0,17,0,61,332,616
48,State,Uttara Pradesh*,Lucknow,114,89,32,75,0,75,328,320,8,15,6,105,491,2832,1757,1075,213,460,849,55,1,46,66,155,0,745,0,481,5296,12454
49,State,Uttara Pradesh*,Maharajganj,26,4,14,16,0,16,45,45,0,1,0,9,18,30,11,19,15,16,80,1,0,56,14,11,0,50,0,197,401,1004
50,State,Uttara Pradesh*,Mahoba,24,13,11,9,0,9,22,15,7,4,0,4,30,50,28,22,19,11,11,0,0,8,14,28,0,18,0,57,253,586
51,State,Uttara Pradesh*,Mainpuri,68,79,18,15,0,15,79,66,13,1,0,13,37,129,65,64,50,23,48,1,0,203,28,37,0,16,0,228,571,1644
52,State,Uttara Pradesh*,Mathura,75,98,23,24,0,24,87,79,8,5,0,35,55,650,436,214,102,99,250,9,7,149,29,49,0,219,0,462,1880,4307
53,State,Uttara Pradesh*,Mau,26,53,14,10,0,10,48,41,7,0,0,15,58,108,50,58,72,17,41,2,0,106,17,30,0,49,0,90,319,1075
54,State,Uttara Pradesh*,Meerut,164,207,18,64,0,64,195,147,48,11,2,252,217,1909,1343,566,211,120,356,21,0,23,43,91,0,344,0,411,2133,6792
55,State,Uttara Pradesh*,Mirzapur,17,3,15,2,0,2,4,3,1,1,0,4,20,79,31,48,2,41,82,0,0,98,25,4,0,137,0,3,673,1210
56,State,Uttara Pradesh*,Moradabad,176,149,26,66,0,66,204,184,20,14,2,97,133,849,505,344,52,66,202,11,0,58,41,76,0,268,0,341,1551,4382
57,State,Uttara Pradesh*,Muzaffarnagar,168,220,38,34,0,34,233,174,59,17,1,91,83,588,305,283,186,90,346,5,0,16,40,52,0,341,0,324,1977,4850
58,State,Uttara Pradesh*,Pilibhit,34,15,9,16,0,16,57,54,3,2,0,6,9,99,35,64,5,44,135,2,0,2,30,25,0,113,0,111,1275,1989
59,State,Uttara Pradesh*,Pratapgarh,39,47,14,23,0,23,69,64,5,3,0,11,53,144,73,71,82,32,61,1,7,227,34,25,0,74,0,135,589,1670
60,State,Uttara Pradesh*,Raibareilly,29,42,18,27,0,27,52,47,5,1,1,9,40,137,48,89,24,18,58,0,0,198,20,39,0,63,0,175,505,1456
61,State,Uttara Pradesh*,Ramabai Nagar,30,33,16,12,0,12,83,80,3,2,0,11,24,102,38,64,36,33,63,3,1,161,22,38,0,88,0,212,747,1717
62,State,Uttara Pradesh*,Rampur,68,77,19,65,0,65,114,96,18,11,2,96,68,347,138,209,69,68,203,1,8,4,23,44,0,121,0,137,781,2326
63,State,Uttara Pradesh*,Saharanpur,58,55,32,11,0,11,40,35,5,0,8,23,37,402,201,201,70,65,213,14,0,22,26,20,0,140,0,256,1294,2786
64,State,Uttara Pradesh*,Sant Kabirnagar,20,20,10,24,0,24,45,44,1,1,0,19,31,79,35,44,43,19,50,0,0,153,6,17,0,25,0,71,325,958
65,State,Uttara Pradesh*,Shahjahanpur,93,99,21,45,0,45,102,85,17,3,0,20,40,209,75,134,29,44,140,2,7,127,50,44,0,12,0,254,1018,2359
66,State,Uttara Pradesh*,Shrawasti,18,8,6,14,0,14,25,23,2,0,0,8,17,41,1,40,18,14,45,0,0,155,16,19,0,3,0,34,159,600
67,State,Uttara Pradesh*,Sidharthnagar,15,6,13,8,0,8,40,38,2,0,0,8,28,61,28,33,11,14,26,4,0,29,15,17,0,33,0,72,217,617
68,State,Uttara Pradesh*,Sitapur,77,40,25,11,0,11,114,109,5,5,0,36,70,274,78,196,23,36,86,4,1,146,45,54,0,111,0,560,1112,2830
69,State,Uttara Pradesh*,Sonbhadra,15,6,23,21,0,21,23,20,3,0,0,8,25,66,36,30,7,36,109,1,0,94,20,13,0,16,0,103,392,978
70,State,Uttara Pradesh*,St. Ravidasnagar,13,9,10,1,0,1,9,9,0,0,0,2,10,34,15,19,3,8,10,0,1,33,11,3,0,8,0,44,89,298
71,State,Uttara Pradesh*,Sultanpur,32,45,16,14,0,14,59,49,10,0,0,18,67,166,91,75,31,42,63,0,0,219,16,41,0,62,0,98,565,1554
72,State,Uttara Pradesh*,Unnao,46,54,28,32,0,32,81,76,5,4,0,22,52,127,49,78,37,49,81,3,0,197,26,57,0,74,0,286,380,1636
73,State,Uttara Pradesh*,Varanasi,32,64,18,9,0,9,88,71,17,1,3,23,64,628,456,172,60,131,240,25,1,250,26,14,0,166,0,227,990,3060
Total,Total,Total,Total,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,174179
1,State,Uttarkhand,Almora,3,3,1,3,0,3,5,5,0,0,0,1,16,15,0,15,7,2,2,0,0,9,4,3,0,4,0,11,73,162
2,State,Uttarkhand,Bageshwar,2,0,1,2,0,2,2,2,0,0,0,0,4,10,1,9,1,0,1,0,0,7,2,3,1,1,0,4,5,46
3,State,Uttarkhand,Chamoli,1,0,2,1,0,1,2,0,2,0,1,0,7,17,2,15,7,1,8,0,1,23,0,3,0,1,0,3,31,109
4,State,Uttarkhand,Champawat,4,0,1,1,0,1,3,0,3,0,0,0,4,11,5,6,2,1,2,1,1,26,1,1,0,0,0,23,14,96
5,State,Uttarkhand,Dehradun,33,48,16,37,0,37,71,57,14,4,0,50,97,505,228,277,130,41,204,14,8,230,12,26,74,117,0,160,493,2370
6,State,Uttarkhand,Haridwar,44,62,7,28,0,28,86,71,15,3,0,51,56,474,206,268,157,67,187,7,4,558,15,31,67,103,0,205,442,2654
7,State,Uttarkhand,Nainital,18,25,11,13,0,13,29,29,0,0,0,7,21,163,74,89,29,13,56,4,0,20,5,15,17,15,0,77,356,894
8,State,Uttarkhand,Pauri Garhwal,2,6,4,4,0,4,5,3,2,2,0,6,15,37,8,29,9,5,10,1,0,29,4,5,3,7,0,10,33,197
9,State,Uttarkhand,Pithoragarh,4,1,3,3,0,3,5,5,0,0,0,0,13,15,0,15,8,2,4,3,3,9,1,5,0,6,0,0,51,136
10,State,Uttarkhand,Rudra Prayag,5,3,1,5,0,5,3,3,0,0,0,2,9,8,0,8,11,5,3,0,0,18,6,3,1,1,0,10,13,107
11,State,Uttarkhand,Tehri Garhwal,2,3,1,1,0,1,2,2,0,0,0,1,7,24,8,16,1,5,11,1,0,3,2,6,0,1,0,9,36,116
12,State,Uttarkhand,Udhamsingh Nagar,55,66,12,22,0,22,70,69,1,3,1,43,57,855,338,517,91,24,75,2,0,42,23,23,0,75,0,226,523,2288
13,State,Uttarkhand,Uttarkashi,3,2,0,1,0,1,3,3,0,0,0,1,4,4,1,3,5,1,4,0,0,0,0,1,2,3,0,0,31,65
Total,Total,Total,Total,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,9240
1,State,West Bengal,24 Parganas North,244,224,179,173,0,173,438,292,146,15,108,83,28,2312,576,1736,815,240,312,6,25,179,71,174,8,2378,5,11,7123,15151
2,State,West Bengal,24 Parganas South,263,2,25,258,0,258,215,215,0,12,69,39,9,2732,475,2257,1238,9,116,1,15,223,48,113,0,2879,0,12,7021,15299
3,State,West Bengal,Asansol,34,8,14,18,0,18,21,13,8,4,64,5,5,323,175,148,49,5,47,1,3,69,19,13,0,310,0,109,720,1841
4,State,West Bengal,Bankura,105,58,6,36,0,36,47,45,2,24,15,38,8,228,49,179,262,24,42,1,16,158,18,59,2,279,0,160,665,2251
5,State,West Bengal,Birbhum,94,22,20,44,0,44,52,29,23,5,31,28,11,388,82,306,281,16,42,0,23,420,25,48,0,301,0,207,489,2547
6,State,West Bengal,Burdwan,134,19,33,72,0,72,112,69,43,12,61,54,13,693,257,436,396,12,112,3,17,70,28,93,0,693,0,103,2266,4996
7,State,West Bengal,Coochbehar,66,141,1,143,0,143,186,170,16,2,2,5,7,254,62,192,113,18,62,1,9,155,12,62,0,535,0,111,1836,3721
8,State,West Bengal,Dakshin Dinajpur,40,88,17,56,0,56,96,87,9,0,4,13,9,163,52,111,29,6,33,4,11,184,19,77,0,264,0,90,868,2071
9,State,West Bengal,Darjeeling,62,3,17,36,0,36,77,75,2,2,25,15,12,593,186,407,86,67,33,5,7,672,2,57,7,158,0,139,773,2848
10,State,West Bengal,Hooghly,124,47,24,52,0,52,87,87,0,13,45,40,3,760,184,576,728,0,115,7,52,159,12,47,0,694,0,144,1595,4748
11,State,West Bengal,Howrah,111,7,15,59,0,59,185,154,31,40,41,68,64,1399,370,1029,297,51,331,6,0,67,31,121,0,1078,0,377,4171,8519
12,State,West Bengal,Howrah G.R.P.,10,7,1,0,0,0,5,4,1,4,4,4,0,561,2,559,2,3,17,0,0,0,0,8,0,0,0,2,80,708
13,State,West Bengal,Jalpaiguri,117,97,34,180,0,180,259,206,53,19,1,65,61,1290,165,1125,74,87,75,1,14,1230,12,269,0,649,0,233,2666,7433
14,State,West Bengal,Kharagpur G.R.P.,1,0,0,0,0,0,3,1,2,1,4,3,0,117,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,129
15,State,West Bengal,Kolkata,49,55,43,32,0,32,125,91,34,0,26,18,66,3118,506,2612,282,329,1271,73,0,2007,12,226,133,400,3,362,6880,15510
16,State,West Bengal,Malda,86,139,24,167,0,167,189,122,67,7,15,24,3,333,138,195,80,0,68,47,0,448,6,139,1,621,0,0,1889,4286
17,State,West Bengal,Murshidabad,185,620,36,526,0,526,511,441,70,18,70,44,7,983,204,779,553,54,170,30,54,3799,45,609,6,2927,0,311,1536,13094
18,State,West Bengal,Nadia,121,335,21,167,0,167,345,339,6,30,25,86,13,1191,190,1001,189,35,176,18,26,1792,65,102,4,1586,0,189,2758,9274
19,State,West Bengal,Paschim Midnapur,268,113,49,67,0,67,101,101,0,40,20,55,30,533,158,375,445,35,58,2,36,142,18,70,1,669,0,4,1884,4640
20,State,West Bengal,Purab Midnapur,87,8,53,51,0,51,127,120,7,14,8,25,23,408,134,274,581,9,93,3,13,0,27,16,0,702,0,281,1867,4396
21,State,West Bengal,Purulia,115,0,7,42,0,42,37,0,37,10,18,37,12,263,44,219,104,0,44,1,0,0,13,60,0,194,0,0,838,1795
22,State,West Bengal,Sealdah G.R.P.,12,11,1,2,0,2,6,3,3,1,21,14,0,281,0,281,17,2,9,1,0,33,2,5,0,2,0,0,47,467
23,State,West Bengal,Siliguri G.R.P.,7,1,0,0,0,0,3,1,2,0,0,1,0,102,0,102,0,0,0,1,0,0,0,3,0,0,0,0,15,133
24,State,West Bengal,Uttar Dinajpur,63,106,10,130,0,130,118,99,19,15,10,34,4,364,114,250,188,9,34,2,10,957,22,94,1,477,0,2,1109,3759
Total,Total,Total,Total,2398,2111,630,2311,0,2311,3345,2764,581,288,687,798,388,19389,4123,15266,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,129616
1,Union Territory,A & N Islands,Andaman,8,7,4,23,0,23,10,8,2,1,0,7,77,116,22,94,11,10,56,0,11,77,0,31,10,9,0,9,479,956
2,Union Territory,A & N Islands,Nicobar,1,0,0,1,0,1,0,0,0,0,0,0,3,5,0,5,0,0,0,0,1,3,0,0,0,0,0,0,10,24
Total,Total,Total,Total,9,7,4,24,0,24,10,8,2,1,0,7,80,121,22,99,11,10,56,0,12,80,0,31,10,9,0,9,489,980
1,Union Territory,Chandigarh,Chandigarh,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373
Total,Total,Total,Total,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373
1,Union Territory,D & N Haveli,D& N Haveli,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378
Total,Total,Total,Total,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378
1,Union Territory,Daman & Diu,Daman,5,2,1,1,0,1,2,2,0,6,0,0,23,41,23,18,8,3,3,0,0,9,0,2,0,1,0,32,25,164
2,Union Territory,Daman & Diu,Diu,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,3,1,2,0,0,3,0,0,0,2,0,6,12,39
Total,Total,Total,Total,5,2,1,1,0,1,2,2,0,6,0,0,27,47,29,18,11,4,5,0,0,12,0,2,0,3,0,38,37,203
1,Union Territory,Delhi UT,Caw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,187
