Category,States/ UTs,Category of Complaints Received - Oral,Category of Complaints Received - Written,Category of Complaints Received - Distress call over Phone 100,Category of Complaints Received - Complaints Initiated Suo- moto by Police,Total Complaints,No. of Cases Registered Under - IPC,No. of Cases Registered Under - SLL,Total Cases
State,Andhra Pradesh,403194,357895,13117,35790,809996,181438,628558,809996
State,Arunachal Pradesh,0,2530,0,22,2552,2439,113,2552
State,Assam,323,62333,201,636,63493,61668,1825,63493
State,Bihar,11987,123679,0,1906,137572,127453,10119,137572
State,Chhattisgarh,104100,86458,23748,82985,297291,54958,242326,297284
State,Goa,1837,978,25,3321,6161,3293,2868,6161
State,Gujarat,96245,162716,3487,73298,335746,116439,218751,335190
State,Haryana,0,112944,4530,2957,120431,59120,21775,80895
State,Himachal Pradesh,2604,10749,222,3234,16809,13049,3760,16809
State,Jammu & Kashmir,3862,19869,825,4982,29538,23223,2049,25272
State,Jharkhand,5073,37309,439,0,42821,38889,3932,42821
State,Karnataka,30693,112583,627,14593,158496,142322,16174,158496
State,Kerala,108103,317603,11885,274005,711596,148313,225458,373771
State,Madhya Pradesh,320279,23277,287,0,343843,214269,129574,343843
State,Maharashtra,239448,561217,13049,549410,1363124,208168,127940,336108
State,Manipur,0,2824,0,870,3694,2715,979,3694
State,Meghalaya,75,2481,26,62,2644,2505,135,2640
State,Mizoram,80,2172,134,758,3144,2174,832,3006
State,Nagaland,99,1233,0,279,1611,1059,408,1467
State,Odisha,406,62222,473,5407,68508,56459,12049,68508
State,Punjab,9298,204962,28963,1180,244403,36648,18338,54986
State,Rajasthan,8602,154127,228,49810,212767,162957,49810,212767
State,Sikkim,212,955,1,99,1267,552,164,716
State,Tamil Nadu,43373,265873,6351,385869,701466,185678,515788,701466
State,Tripura,98,5763,0,122,5983,5805,178,5983
State,Uttar Pradesh,1078,178098,126,2108497,2287799,174179,2113620,2287799
State,Uttarakhand,809,13584,0,155043,169436,9240,160196,169436
State,West Bengal,34840,147653,8901,6915,198309,129616,7434,137050
Total (States),Total (States),1426718,3034087,117645,3762050,8340500,2164628,4515153,6679781
Union Territory,Andaman & Nicobar Islands,2071,550,71,2718,5410,980,4430,5410
Union Territory,Chandigarh,0,8021,52574,21,60616,3373,517,3890
Union Territory,Dadra Nagar Haveli,345,60,0,15,420,378,42,420
Union Territory,Daman & Diu,99,66,29,19,213,203,10,213
Union Territory,Delhi,16984,278114,1936203,12574,2243875,51292,4667,55959
Union Territory,Lakshadweep,3,41,0,18,62,42,17,59
Union Territory,Pondicherry,1315,2569,0,1132,5016,3935,1081,5016
Total (UTs),Total (UTs),20817,289421,1988877,16497,2315612,60203,10764,70967
Total (All India),Total (All India),1447535,3323508,2106522,3778547,10656112,2224831,4525917,6750748
