Category (Col. 1),Crime Head (Col. 2),Below 18 Years (Col. 3) - Male,Below 18 Years (Col. 4) - Female,18 - 30 Years (Col. 5) - Male,18 - 30 Years (Col. 6) - Female,30 - 45 Years (Col. 7) - Male,30 - 45 Years (Col. 8) - Female,45 - 60 Years (Col. 9) - Male,45 - 60 Years (Col. 10) - Female,60 Years & Above (Col. 11) - Male,60 Years & Above (Col. 12) - Female,Total of Overall Age-Group (Col. 13) - Male,Total of Overall Age-Group (Col. 14) - Female,Grand Total of All Persons (Col. 15) = Col. (13+14)
A. IPC CRIMES,"Murder (Sec 302, IPC)",801,46,26372,1260,22210,1596,8481,786,804,110,58668,3798,62466
A. IPC CRIMES,Attempt to Commit Murder (Sec 307 IPC),607,33,28305,1016,23124,1226,9586,583,1166,63,62788,2921,65709
A. IPC CRIMES,"C.h. not Amounting Murder (Sec 304, 308 IPC)",33,4,3025,70,2942,92,957,23,26,7,6983,196,7179
A. IPC CRIMES,Rape (Sec 376 IPC) @ - Total,930,7,15380,253,8091,311,1822,131,134,15,26357,717,27074
A. IPC CRIMES,Rape (Sec 376 IPC) @ - Custodial Rape,0,0,3,0,7,0,0,0,0,0,10,0,10
A. IPC CRIMES,Rape (Sec 376 IPC) @ - Other Rape,930,7,15377,253,8084,311,1822,131,134,15,26347,717,27064
A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",531,58,24544,920,14914,999,3032,325,128,47,43149,2349,45498
A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - (i) of Women & Girls",385,51,19055,800,10618,858,2117,268,56,42,32231,2019,34250
A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - (ii) of Others",146,7,5489,120,4296,141,915,57,72,5,10918,330,11248
A. IPC CRIMES,Dacoity (Sec 395 – 398 IPC),133,0,9459,97,6013,93,1362,28,129,7,17096,225,17321
A. IPC CRIMES,Preparation & Assembly for Dacoity (Sec 399-402 IPC),66,0,5903,17,3590,8,769,4,53,1,10381,30,10411
A. IPC CRIMES,"Robbery (Sec 392-394, 397, 398 IPC)",686,3,21036,138,10728,125,2311,31,66,4,34827,301,35128
A. IPC CRIMES,"Burglary (Sec. 449–452,454,455,457–460 IPC)",3014,51,34984,603,21496,540,6611,194,726,73,66831,1461,68292
A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - Total,5850,214,102981,2804,60186,2422,17545,711,1311,42,187873,6193,194066
A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - (i) Auto Theft,1738,3,33427,58,15357,151,3599,18,236,1,54357,231,54588
A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - (ii) Other Theft,4112,211,69554,2746,44829,2271,13946,693,1075,41,133516,5962,139478
A. IPC CRIMES,"Riots (Sec 143-145, 147-151, 153, 153a., 153b, 157, 158, 160 IPC)",1468,96,139784,6319,111464,7162,43899,3061,5112,550,301727,17188,318915
A. IPC CRIMES,Criminal Breach of Trust (Sec.406-409 IPC),30,2,6929,213,8865,320,3618,127,312,22,19754,684,20438
A. IPC CRIMES,"Cheating (Sec 419, 420 IPC)",159,5,25790,992,30424,1864,15626,847,1919,136,73918,3844,77762
