Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,5623,2875.7,172,90,0,0,11,0.9,0,0,11,0.9,20,15,799,620.9,1575,955.3,8200,4557.7
2,State,Arunachal Pradesh,102,57.8,3,12.5,0,0,0,0,0,0,0,0,0,0,49,31.6,57,32.3,211,134.2
3,State,Assam,1215,182.3,82,7.4,0,0,6,6.6,3,5.3,3,1.3,1,1,405,62.4,1749,100.5,3458,360.3
4,State,Bihar,2505,368.6,37,7.5,0,0,13,0.8,13,0.8,0,0,0,0,300,45.5,582,135.4,3437,557.7
5,State,Chhattisgarh,3007,793.4,7,9.4,0,0,0,0,0,0,0,0,1,0,238,151.8,458,121.7,3711,1076.4
6,State,Goa,202,217.4,0,0,0,0,0,0,0,0,0,0,3,0.2,76,75.2,87,66.3,368,359.1
7,State,Gujarat,2441,1685.4,5,0.3,0,0,2,0.2,0,0,2,0.2,13,19.5,699,644.7,911,458.4,4071,2808.5
8,State,Haryana,2780,1049.8,111,33.2,0,0,1,0,0,0,1,0,19,24.5,847,255.7,687,296.4,4445,1659.6
9,State,Himachal Pradesh,374,243.6,0,0,0,0,0,0,0,0,0,0,4,1,128,285.4,237,86.4,743,616.5
10,State,Jammu & Kashmir,743,308,7,3.3,0,0,67,26.7,0,0,67,26.7,4,10,423,182.7,162,88.7,1406,619.5
11,State,Jharkhand,1067,247.8,15,4.5,0,0,0,0,0,0,0,0,3,3.8,184,38.5,88,10.7,1357,305.4
12,State,Karnataka,3585,2142.4,0,0,0,0,2,0,0,0,2,0,38,79.9,699,514.8,1735,850.6,6059,3587.6
13,State,Kerala,1500,1329.8,0,0,0,0,2,1.8,2,1.8,0,0,15,0,445,668.1,720,329.3,2682,2328.9
14,State,Madhya Pradesh,7352,2005.9,15,1.1,0,0,4,1,0,0,4,1,6,1.1,1249,453.8,1271,368,9897,2830.9
15,State,Maharashtra,10415,7247.6,0,0,0,0,2,0.1,0,0,2,0.1,68,84.2,2875,3610.7,3257,2364.5,16617,13307.1
16,State,Manipur,10,8.1,0,0,0,0,0,0,0,0,0,0,0,0,27,34.9,29,7,66,49.9
17,State,Meghalaya,81,21.9,1,0.7,0,0,0,0,0,0,0,0,0,0,17,8.7,67,13.8,166,45.1
18,State,Mizoram,375,64.5,0,0,0,0,0,0,0,0,0,0,0,0,22,3.6,28,1.5,425,69.6
