Sr. No.,Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,12934,6193,9833,80944,109904
2,State,Arunachal Pradesh,68,5552,85,1740,7445
3,State,Assam,2727,5750,2284,43308,54069
4,State,Bihar,5432,2170,4354,49900,61856
5,State,Chhattisgarh,2039,6969,270,32547,41825
6,State,Goa,93,324,87,4195,4699
7,State,Gujarat,9356,11915,4453,38860,64584
8,State,Haryana,6544,0,368,40584,47496
9,State,Himachal Pradesh,3077,876,199,9423,13575
10,State,Jammu & Kashmir,3244,4531,44457,24780,77012
11,State,Jharkhand,6067,12602,2211,25733,46613
12,State,Karnataka,13337,3440,4763,50057,71597
13,State,Kerala,6637,637,5866,27410,40550
14,State,Madhya Pradesh,11401,11309,3413,50032,76155
15,State,Maharashtra,19452,10343,1820,148340,179955
16,State,Manipur,429,6379,2578,14137,23523
17,State,Meghalaya,295,8206,143,1603,10247
18,State,Mizoram,258,9753,37,685,10733
19,State,Nagaland,336,9526,110,31,10003
20,State,Odisha,6058,7160,915,29312,43445
21,State,Punjab,15237,158,213,51062,66670
22,State,Rajasthan,8116,7436,539,55479,71570
23,State,Sikkim,187,1457,3,2157,3804
24,State,Tamil Nadu,13650,623,3058,69424,86755
25,State,Tripura,3894,6965,931,12469,24259
26,State,Uttar Pradesh,26076,1295,6875,107886,142132
27,State,Uttarakhand,3896,1582,390,12176,18044
28,State,West Bengal,16825,4105,7057,58110,86097
State,State,Total (States),197665,147256,107312,1042384,1494617
29,Union Territory,A & N Islands,0,240,314,3185,3739
30,Union Territory,Chandigarh,623,1,20,4415,5059
31,Union Territory,D & N Haveli,19,109,4,76,208
32,Union Territory,Daman & Diu,73,8,7,132,220
33,Union Territory,Delhi,12595,5494,1542,54231,73862
34,Union Territory,Lakshadweep @,1,277,2,52,332
35,Union Territory,Puducherry,409,0,61,1804,2274
Union Territory,Union Territory,Total (UTs),13720,6129,1950,63895,85694
Total (All-India),Total (All-India),Total (All-India),211385,153385,109262,1106279,1580311
