Sl. No.(Col.1),Category (Col.2),States/Uts/City (Col.3),Number of Cases Reported (Col.4),Number of Victims - Upto 10 Years (Col.5),Number of Victims - 10-14 Years (Col.6),Number of Victims - 14-18 Years (Col.7),Number of Victims - 18-30 Years (Col.8),Number of Victims - 30-50 Years (Col.9),Number of Victims - Above 50 Years (Col.10),Number of Victims - Total Victims (Col.11),Number of Cases Reported (Col.12),Number of Victims - Upto 10 Years (Col.13),Number of Victims - 10-14 Years (Col.14),Number of Victims - 14-18 Years (Col.15),Number of Victims - 18-30 Years (Col.16),Number of Victims - 30-50 Years (Col.17),Number of Victims - Above 50 Years (Col.18),Number of Victims - Total Victims (Col.19),Number of Cases Reported (Col.20),Number of Victims - Upto 10 Years (Col.21),Number of Victims - 10-14 Years (Col.22),Number of Victims - 14-18 Years (Col.23),Number of Victims - 18-30 Years (Col.24),Number of Victims - 30-50 Years (Col.25),Number of Victims - Above 50 Years (Col.26),Number of Victims - Total Victims (Col.27)
1,State,Andhra Pradesh,0,0,0,0,0,0,0,0,1362,30,133,283,749,152,15,1362,1362,30,133,283,749,152,15,1362
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,47,2,10,0,34,1,0,47,47,2,10,0,34,1,0,47
3,State,Assam,13,0,0,0,10,3,0,13,1708,1,9,29,1106,553,10,1708,1721,1,9,29,1116,556,10,1721
4,State,Bihar,2,1,1,0,0,0,0,2,793,7,16,89,616,65,0,793,795,8,17,89,616,65,0,795
5,State,Chhattisgarh,21,0,2,3,13,3,0,21,991,24,85,268,411,187,16,991,1012,24,87,271,424,190,16,1012
6,State,Goa,2,0,0,2,0,0,0,2,34,4,5,12,11,0,2,34,36,4,5,14,11,0,2,36
7,State,Gujarat,4,1,0,2,1,0,0,4,404,21,28,51,260,42,2,404,408,22,28,53,261,42,2,408
8,State,Haryana,15,0,1,1,11,2,0,15,705,4,22,79,470,125,5,705,720,4,23,80,481,127,5,720
9,State,Himachal Pradesh,7,0,3,2,1,0,1,7,153,8,13,46,66,20,0,153,160,8,16,48,67,20,1,160
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,245,0,1,7,187,50,0,245,245,0,1,7,187,50,0,245
11,State,Jharkhand,11,0,0,0,10,1,0,11,762,0,0,0,594,168,0,762,773,0,0,0,604,169,0,773
12,State,Karnataka,2,0,0,0,2,0,0,2,584,10,47,69,367,88,3,584,586,10,47,69,369,88,3,586
