Sr. No.,Category,Crime Head,2006,2007,2008,2009,2010
1,A. IPC CRIMES,"Murder (Sec 302, IPC)",1.9,2,1.9,1.9,1.9
2,A. IPC CRIMES,Attempt to Commit Murder (Sec 307 IPC),2.4,2.3,2.3,2.2,2.2
3,A. IPC CRIMES,"C.h. not Amounting Murder (Sec 304, 308 IPC)",1.9,1.9,1.7,1.6,1.9
4,A. IPC CRIMES,Rape (Sec 376 IPC) @ - Total,1.2,1.2,1.2,1.2,1.2
4,A. IPC CRIMES,Rape (Sec 376 IPC) @ - Custodial Rape,1.5,0,0,3.5,1.7
4,A. IPC CRIMES,Rape (Sec 376 IPC) @ - Other Rape,1.2,1.2,1.2,1.2,1.2
5,A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",1.3,1.3,1.3,1.2,1.2
5,A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - I) of Women & Girls",1.2,1.2,1.2,1.2,1.1
5,A. IPC CRIMES,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Ii) of Others",1.7,1.7,1.5,1.4,1.3
6,A. IPC CRIMES,Dacoity (Sec 395 – 398 IPC),3.7,4,3.9,3.8,4
7,A. IPC CRIMES,Preparation & Assembly for Dacoity (Sec 399-402 IPC),4.6,3.9,3.9,3.9,4
8,A. IPC CRIMES,"Robbery (Sec 392-394, 397, 398 IPC)",1.6,1.6,1.5,1.5,1.5
9,A. IPC CRIMES,"Burglary (Sec. 449–452,454,455,457–460 IPC)",0.7,0.7,0.7,0.7,0.8
10,A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - Total,0.7,0.7,0.7,0.6,0.6
10,A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - I) Auto Theft,0.5,0.4,0.4,0.4,0.4
10,A. IPC CRIMES,Theft (Sec 379 – 382 IPC) - Ii) Other Theft,0.8,0.8,0.8,0.8,0.8
11,A. IPC CRIMES,"Riots (Sec 143-145, 147-151, 153, 153a., 153b, 157, 158, 160 IPC)",5.3,5.3,5,4.8,4.7
12,A. IPC CRIMES,Criminal Breach of Trust (Sec.406-409 IPC),1.1,1.2,1.2,1.2,1.2
13,A. IPC CRIMES,"Cheating (Sec 419, 420 IPC)",0.9,1,1,0.9,1
14,A. IPC CRIMES,"Counterfeiting (Sec.231-254,489a-489d)",1.3,1.2,0.9,1,0.9
15,A. IPC CRIMES,"Arson (Sec 435, 436, 438 IPC)",1.5,1.3,1.2,1.3,1.3
16,A. IPC CRIMES,"Hurt (Sec 323-333, 335-338 IPC)",1.7,1.8,1.8,1.8,1.7
17,A. IPC CRIMES,Dowry Deaths (Section 304b IPC),2.5,2.7,2.8,2.8,2.8
18,A. IPC CRIMES,Molestation (Section 354 IPC),1.2,1.2,1.2,1.2,1.2
19,A. IPC CRIMES,Sexual Harassment (Sec 509 IPC),1.2,1.3,1.2,1.3,1
20,A. IPC CRIMES,Cruelty By Husband And Relatives (Sec 498a IPC),2.2,2.1,2,1.9,1.9
21,A. IPC CRIMES,Importation of Girls (Sec 366b IPC),1.3,1.6,1.9,1,2.3
22,A. IPC CRIMES,Causing Death By Negligence (Sec 304a IPC),0.9,0.8,0.8,0.8,0.8
23,A. IPC CRIMES,Other IPC Crimes,1.3,1.3,1.3,1.3,1.2
A. IPC CRIMES,A. IPC CRIMES,Total Cognizable Crimes Under IPC,1.4,1.4,1.4,1.3,1.3
1,B. SLL CRIMES,Arms Act,1.1,1.1,1.1,1.1,1.1
2,B. SLL CRIMES,Narcotic Drugs & Psychotropic Substances Act,1.2,1.2,1.2,1.2,1.2
3,B. SLL CRIMES,Gambling Act,2,1.9,2.1,2.2,2.2
4,B. SLL CRIMES,Excise Act,1.1,1.1,1.1,1.1,1.1
5,B. SLL CRIMES,Prohibition Act,1,1,1,1.1,1.1
6,B. SLL CRIMES,Explosives & Explosive Substances Act,1.3,1.3,1.3,1.2,1.2
7,B. SLL CRIMES,Immoral Traffic (P) Act,2.6,2.8,3.1,3.2,2.7
8,B. SLL CRIMES,Indian Railways Act,1,1.4,0.8,0.9,0.6
9,B. SLL CRIMES,The foreigners Act,1.7,2.1,1.9,1.5,2
10,B. SLL CRIMES,Protection of Civil Rights Act - Total,1.7,1.8,1.5,2.1,2.4
11,B. SLL CRIMES,Protection of Civil Rights Act - (i) Pcr Act for Scs,1.8,1.8,1.5,2.1,2.4
12,B. SLL CRIMES,Protection of Civil Rights Act - (ii) Pcr Act for Sts,0.5,1.6,1.3,1,2.2
13,B. SLL CRIMES,Indian Passport Act,2.3,1.9,1.9,1.6,1.6
14,B. SLL CRIMES,Essential Commodities Act,1.4,1.5,1.4,1.4,1.5
