Sr. No.,Category,States/ UTs/ Cities,Tampering Computer Source Document (Sec. 65),Hacking - Loss / damage to computer resource / Utility (Sec. 66(1),Hacking - Hacking (Sec. 66(2),Obscene Publication / Transmission in Electronic form Sec. 67,Failure - of compliance / orders of certifying Authority (Sec. 68),Failure - to assist to decoy or the information in interception by Govt. Agency (Sec. 69),Unauthorised access / attempt to access of protected Computer system (Sec. 70),Obtaining Licence or Digital Signature by misrepresentation / supression of fact (Sec. 71),Publishing False digital Signature certificate (Sec. 73),Fraud Digital Signature (Sec. 74),Breach of confidentiality/ privacy (Sec. 72),Others,Total
1,State,Andhra Pradesh,6,49,39,9,0,0,0,1,0,0,1,0,105
2,State,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,0,3
3,State,Assam,0,13,0,5,0,0,0,0,0,0,0,0,18
4,State,Bihar,0,2,0,0,0,0,0,0,0,0,0,0,2
5,State,Chhattisgarh,0,1,1,1,0,0,0,0,0,1,0,0,4
6,State,Goa,0,3,2,10,0,0,0,0,0,0,0,0,15
7,State,Gujarat,9,7,8,9,0,0,0,0,0,0,2,0,35
8,State,Haryana,0,1,0,0,0,0,0,0,0,0,0,0,1
9,State,Himachal Pradesh,3,0,9,4,0,0,0,0,0,1,0,0,17
10,State,Jammu & Kashmir,1,4,0,0,0,0,0,0,0,0,0,0,5
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,8,65,26,45,2,0,1,5,0,0,1,0,153
13,State,Kerala,0,24,14,103,0,0,1,0,1,1,4,0,148
14,State,Madhya Pradesh,3,5,1,21,0,0,0,0,0,0,0,0,30
15,State,Maharashtra,6,31,13,61,0,0,0,0,0,0,1,30,142
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,1
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,0,0,0,4,0,0,0,0,0,0,3,0,7
21,State,Punjab,6,10,2,19,0,0,1,0,1,0,2,0,41
22,State,Rajasthan,3,32,17,0,0,0,0,0,0,0,0,0,52
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,4,13,26,9,0,0,0,0,0,0,0,0,52
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,6,9,3,10,0,0,0,3,0,0,1,0,32
27,State,Uttarakhand,3,0,1,6,0,0,0,0,0,0,0,0,10
28,State,West Bengal,2,38,0,9,0,0,0,0,0,0,0,0,49
State,State,Total (States),60,311,162,325,2,0,3,9,2,3,15,30,922
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,1,0,2,0,0,0,0,0,0,0,0,3
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,4,34,2,1,0,0,0,0,0,0,0,0,41
34,Union Territory,Lakshadweep @,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),4,35,2,3,0,0,0,0,0,0,0,0,44
Total (All-India),Total (All-India),Total (All-India),64,346,164,328,2,0,3,9,2,3,15,30,966
36,City,Agra,3,0,2,2,0,0,0,0,0,0,0,0,7
37,City,Ahmedabad,5,1,0,2,0,0,0,0,0,0,0,0,8
38,City,Allahabad,0,1,0,0,0,0,0,0,0,0,0,0,1
39,City,Amritsar,4,0,0,5,0,0,0,0,0,1,0,0,10
40,City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Bengaluru,0,19,4,8,2,0,1,5,0,0,1,0,40
42,City,Bhopal,0,0,0,10,0,0,0,0,0,0,0,0,10
43,City,Chennai,0,10,0,0,0,0,0,0,0,0,0,0,10
44,City,Coimbatore,4,3,0,5,0,0,0,0,0,0,0,0,12
45,City,Delhi,4,34,2,1,0,0,0,0,0,0,0,0,41
46,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0
48,City,Hyderabad,5,31,12,1,0,0,0,1,0,0,1,0,51
49,City,Indore,3,1,0,1,0,0,0,0,0,0,0,0,5
50,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0
51,City,Jaipur,1,26,0,0,0,0,0,0,0,0,0,0,27
52,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0
53,City,Kanpur,0,1,0,2,0,0,0,0,0,0,0,0,3
54,City,Kochi,0,3,0,0,0,0,0,0,0,0,0,0,3
55,City,Kolkata,1,0,0,2,0,0,0,0,0,0,0,0,3
56,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0
57,City,Ludhiana,1,5,0,4,0,NA,0,0,0,0,0,0,10
58,City,Madurai,0,1,0,0,0,0,0,0,0,0,0,0,1
59,City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0
60,City,Mumbai,0,6,0,2,0,0,0,0,0,0,0,0,8
61,City,Nagpur,0,0,2,2,0,0,0,0,0,0,0,1,5
62,City,Nasik,2,8,0,4,0,0,0,0,0,0,0,0,14
63,City,Patna,0,1,0,0,0,0,0,0,0,0,0,0,1
64,City,Pune,2,10,1,6,0,0,0,0,0,0,0,13,32
65,City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0
66,City,Surat,0,3,0,0,0,0,0,0,0,0,0,0,3
67,City,Vadodara,1,2,3,2,0,0,0,0,0,0,2,0,10
68,City,Varanasi,0,1,0,0,0,0,0,0,0,1,0,0,2
69,City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0
70,City,Vishakhapatnam,0,29,1,0,0,0,0,0,0,0,0,0,30
City,City,Total (Cities),36,196,27,59,2,0,1,6,0,2,4,14,347
