Sr. No.,Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,No. of Persons Whose - Cases Compounded or Withdrawn,No. of Persons Whose - Trial Completed,No. of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,661687,46836,171591,443260,53463,67,3.3
2,State,Arunachal Pradesh,23096,359,900,21837,531,94.5,0.2
3,State,Assam,159465,3418,25561,130486,4182,81.8,1
4,State,Bihar,1639025,12216,149514,1477295,18672,90.1,11
5,State,Chhattisgarh,319315,13804,52064,253447,24064,79.4,1.9
6,State,Goa,16260,97,2621,13542,370,83.3,0.1
7,State,Gujarat,1650859,3798,99357,1547704,29591,93.8,11.5
8,State,Haryana,334680,294,67142,267244,19257,79.9,2
9,State,Himachal Pradesh,123073,1686,10483,110904,1803,90.1,0.8
10,State,Jammu & Kashmir,192532,6091,17974,168467,6165,87.5,1.3
11,State,Jharkhand,146186,781,49193,96212,11821,65.8,0.7
12,State,Karnataka,450297,20474,116149,313674,32434,69.7,2.3
13,State,Kerala,756116,9688,132677,613751,65946,81.2,4.6
14,State,Madhya Pradesh,1604629,103332,278361,1222936,129435,76.2,9.1
15,State,Maharashtra,3003530,16197,188794,2798539,14704,93.2,20.8
16,State,Manipur,3112,0,66,3046,39,97.9,0
17,State,Meghalaya,13639,76,712,12851,213,94.2,0.1
18,State,Mizoram,4289,0,3074,1215,2889,28.3,0
19,State,Nagaland,2342,107,727,1508,439,64.4,0
20,State,Odisha,639273,0,75349,563924,6497,88.2,4.2
21,State,Punjab ##,181865,957,35849,145059,13824,79.8,1.1
22,State,Rajasthan,1053188,22737,103187,927264,59521,88,6.9
23,State,Sikkim,1229,71,285,873,125,71,0
24,State,Tamil Nadu,531604,649,183206,347749,93841,65.4,2.6
25,State,Tripura,11408,409,4646,6353,448,55.7,0
26,State,Uttar Pradesh,1130508,10026,269907,850575,156614,75.2,6.3
27,State,Uttarakhand,57221,848,9620,46753,5746,81.7,0.3
28,State,West Bengal,882504,5137,58832,818535,5057,92.8,6.1
State,State,Total (States),15592932,280088,2107841,13205003,757691,84.7,98.1
29,Union Territory,A & N Islands,9451,0,322,9129,139,96.6,0.1
30,Union Territory,Chandigarh,12212,0,3068,9144,1101,74.9,0.1
31,Union Territory,D & N Haveli,4609,0,268,4341,56,94.2,0
32,Union Territory,Daman & Diu,1710,52,200,1458,19,85.3,0
33,Union Territory,Delhi,246068,0,29344,216724,14526,88.1,1.6
34,Union Territory,Lakshadweep,233,5,0,228,0,97.9,0
35,Union Territory,Puducherry,18022,1026,7930,9066,4040,50.3,0.1
Union Territory,Union Territory,Total (UTs),292305,1083,41132,250090,19881,85.6,1.9
Total (All-India),Total (All-India),Total (All-India),15885237,281171,2148973,13455093,777572,84.7,100
