Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,9619,3074.6,506,165.4,49,9.5,920,363.9,899,359.3,21,4.5,36,50,3445,1078.7,12181,4127.6,26756,8869.5
2,State,Arunachal Pradesh,273,186.6,7,5.1,1,0.1,0,0,0,0,0,0,0,0,48,48.1,116,150.4,445,390.4
3,State,Assam,1751,427.2,208,86.6,2,0.1,95,23.5,28,5,67,18.5,8,11.4,828,227.9,4968,2078.3,7860,2855.1
4,State,Bihar,5459,995.4,475,135.1,23,3.5,1307,87.9,730,53.1,577,34.9,21,7.4,1706,446.2,6553,1551.1,15544,3226.5
5,State,Chhattisgarh,1623,366.6,108,82.3,1,0,344,112.2,266,101.2,78,11,4,3.8,413,156.3,3312,1435.1,5805,2156.2
6,State,Goa,154,84.2,17,14.8,3,0.9,19,12.7,13,9.4,6,3.3,5,7.8,83,42.7,753,1145,1034,1308.1
7,State,Gujarat,3672,1687,107,122.8,13,2.3,500,134.7,190,86.5,310,48.2,18,15.7,1735,794.1,10749,5489,16794,8245.5
8,State,Haryana,3180,1155.8,471,122.4,0,0,473,124.3,140,1.9,333,122.4,172,49.8,2360,757.3,9610,3670.3,16266,5879.9
9,State,Himachal Pradesh,157,129.1,38,128.8,1,0,3,0.1,3,0.1,0,0,4,0.5,80,152.7,555,565.5,838,976.7
10,State,Jammu & Kashmir,613,309,37,70.9,0,0,20,13.9,7,7.1,13,6.8,0,0,327,280.9,1513,761.8,2510,1436.3
11,State,Jharkhand,2721,455.1,647,106.5,0,0,280,85.5,167,50.6,113,34.9,90,25.8,1501,336.9,1851,401.7,7090,1411.4
12,State,Karnataka,5003,3050.7,95,258.3,1,0.1,436,238.8,241,148.3,195,90.5,33,58.2,1607,940.7,12918,10151,20093,14697.8
13,State,Kerala,852,564.8,75,62.9,1,0,245,100.3,168,81.5,77,18.8,2,0,304,225.9,2901,1114.3,4380,2068.3
