Sl. No.,Category,States/ UTs/ Cities,Murder (Sec.302 IPC) (I),Murder (Sec.302 IPC) (R),Attempt to Commit Murder (Sec. 307 IPC) (I),Attempt to Commit Murder (Sec. 307 IPC) (R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total (R),Rape (Sec. 376 IPC) - Custodial (I),Rape (Sec. 376 IPC) - Custodial (R),Rape (Sec. 376 IPC) - Others (I),Rape (Sec. 376 IPC) - Others ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others ( R)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (R),"Robbery (Sec. 392-394,397,398 IPC) (I)","Robbery (Sec. 392-394,397,398 IPC) (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (R)",Theft (Sec.379-382 IPC) - Total (I),Theft (Sec.379-382 IPC) - Total (R),Theft (Sec.379-382 IPC) - Auto Theft (I),Theft (Sec.379-382 IPC) - Auto Theft (R),Theft (Sec.379-382 IPC) - Other Theft (I),Theft (Sec.379-382 IPC) - Other Theft (R),"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (R)",Criminal Breach of Trust (Sec. 406-409 IPC) (I),Criminal Breach of Trust (Sec. 406-409 IPC) (R),"Cheating (Sec. 419,420 IPC) (I)","Cheating (Sec. 419,420 IPC) (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (R)","Arson (Sec. 435,436,438IPC) (I)","Arson (Sec. 435,436,438IPC) (R)","Hurt (Sec.323-333,335-338 IPC) (I)","Hurt (Sec.323-333,335-338 IPC) (R)",Dowry Deaths (Sec.304B IPC) (I),Dowry Deaths (Sec.304B IPC) (R),Molestation (Sec.354 IPC) (I),Molestation (Sec.354 IPC) (R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) (R),Cruelty by Husband and Relatives (Sec. 498A IPC) (I),Cruelty by Husband and Relatives (Sec. 498A IPC) (R),Importation of Girls (Sec. 366B IPC) (I),Importation of Girls (Sec. 366B IPC) (R),Causing Death by Negligence (Sec. 304A IPC) (I),Causing Death by Negligence (Sec. 304A IPC) (R),Other IPC Crimes (I),Other IPC Crimes (R),Total Cognizable Crimes Under IPC (I),Total Cognizable Crimes Under IPC ( R)
1,State,Andhra Pradesh,2538,3,1953,2.3,155,0.2,1362,1.6,0,0,1362,1.6,2053,2.4,1531,1.8,522,0.6,134,0.2,2,0,550,0.7,8200,9.7,26756,31.8,7422,8.8,19334,23,2231,2.7,1130,1.3,9164,10.9,186,0.2,925,1.1,46777,55.6,588,0.7,4634,5.5,4562,5.4,12080,14.4,0,0,14085,16.7,41373,49.2,181438,215.7
2,State,Arunachal Pradesh,75,6.1,34,2.8,3,0.2,47,3.8,0,0,47,3.8,67,5.4,46,3.7,21,1.7,15,1.2,0,0,69,5.6,211,17.1,445,36,139,11.3,306,24.8,31,2.5,59,4.8,91,7.4,0,0,28,2.3,439,35.5,0,0,84,6.8,1,0.1,12,1,0,0,106,8.6,622,50.4,2439,197.5
3,State,Assam,1223,3.9,431,1.4,46,0.1,1721,5.6,5,0,1716,5.5,3250,10.5,2767,8.9,483,1.6,248,0.8,12,0,662,2.1,3458,11.2,7860,25.4,2124,6.9,5736,18.5,2183,7,992,3.2,1371,4.4,68,0.2,437,1.4,5744,18.5,175,0.6,1400,4.5,20,0.1,5410,17.5,0,0,2847,9.2,22110,71.4,61668,199.1
4,State,Bihar,3362,3.5,2915,3,344,0.4,795,0.8,0,0,795,0.8,3674,3.8,2569,2.6,1105,1.1,644,0.7,46,0,1538,1.6,3437,3.5,15544,16,4257,4.4,11287,11.6,8809,9.1,1071,1.1,3025,3.1,52,0.1,660,0.7,15328,15.8,1257,1.3,534,0.5,16,0,2271,2.3,8,0,5615,5.8,56508,58.1,127453,131.1
5,State,Chhattisgarh,1065,4.3,756,3.1,30,0.1,1012,4.1,0,0,1012,4.1,359,1.5,279,1.1,80,0.3,122,0.5,15,0.1,552,2.2,3711,15.1,5805,23.7,2139,8.7,3666,14.9,1092,4.5,196,0.8,813,3.3,59,0.2,319,1.3,10188,41.5,115,0.5,1706,7,182,0.7,861,3.5,2,0,2907,11.8,23091,94.1,54958,224
6,State,Goa,35,2,27,1.5,3,0.2,36,2.1,0,0,36,2.1,25,1.4,18,1,7,0.4,2,0.1,0,0,39,2.2,368,21.1,1034,59.3,359,20.6,675,38.7,64,3.7,57,3.3,117,6.7,33,1.9,23,1.3,177,10.2,1,0.1,36,2.1,16,0.9,17,1,0,0,256,14.7,927,53.2,3293,188.9
7,State,Gujarat,1048,1.8,462,0.8,44,0.1,408,0.7,0,0,408,0.7,1447,2.5,1290,2.2,157,0.3,186,0.3,18,0,1384,2.4,4071,7,16794,28.9,9817,16.9,6977,12,1623,2.8,1214,2.1,1002,1.7,255,0.4,260,0.4,10131,17.4,19,0,668,1.1,110,0.2,5600,9.6,0,0,5907,10.2,63788,109.6,116439,200.1
8,State,Haryana,1005,4.1,836,3.4,63,0.3,720,2.9,0,0,720,2.9,963,3.9,714,2.9,249,1,147,0.6,248,1,734,3,4445,18.1,16266,66.1,11299,45.9,4967,20.2,1414,5.8,919,3.7,1662,6.8,29,0.1,221,0.9,3733,15.2,284,1.2,476,1.9,580,2.4,2720,11.1,0,0,1595,6.5,20060,81.6,59120,240.4
9,State,Himachal Pradesh,132,2,74,1.1,12,0.2,160,2.4,0,0,160,2.4,194,2.9,162,2.4,32,0.5,2,0,0,0,11,0.2,743,11.1,838,12.5,334,5,504,7.5,615,9.2,110,1.6,318,4.8,4,0.1,127,1.9,1374,20.5,2,0,350,5.2,78,1.2,275,4.1,0,0,610,9.1,7020,105,13049,195.1
10,State,Jammu & Kashmir,217,1.6,711,5.3,26,0.2,245,1.8,0,0,245,1.8,896,6.7,840,6.3,56,0.4,6,0,0,0,61,0.5,1406,10.5,2510,18.8,967,7.2,1543,11.5,2169,16.2,150,1.1,422,3.2,19,0.1,224,1.7,278,2.1,9,0.1,1038,7.8,262,2,211,1.6,0,0,494,3.7,11869,88.8,23223,173.8
