Sr. No.,Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,569002,704,561037,7261,1.3,2.8
2,State,Arunachal Pradesh,249,31,106,112,45,0
3,State,Assam,10228,996,1197,8035,78.6,3.1
4,State,Bihar,27668,446,13948,13274,48,5.2
5,State,Chhattisgarh,243065,0,242191,874,0.4,0.3
6,State,Goa,3425,24,3059,342,10,0.1
7,State,Gujarat,280644,3,258294,22347,8,8.7
8,State,Haryana,28057,1,26179,1877,6.7,0.7
9,State,Himachal Pradesh,6073,14,4881,1178,19.4,0.5
10,State,Jammu & Kashmir,2725,0,2643,82,3,0
11,State,Jharkhand,9296,8,6374,2914,31.3,1.1
12,State,Karnataka,47717,1347,41465,4905,10.3,1.9
13,State,Kerala,274774,2100,267637,5037,1.8,2
14,State,Madhya Pradesh,167882,4,167625,253,0.2,0.1
15,State,Maharashtra,233269,85,171707,61477,26.4,23.9
16,State,Manipur,3193,836,49,2308,72.3,0.9
17,State,Meghalaya,570,20,134,416,73,0.2
18,State,Mizoram,1423,0,1401,22,1.5,0
19,State,Nagaland,978,125,640,213,21.8,0.1
20,State,Odisha,20413,83,19164,1166,5.7,0.5
21,State,Punjab ##,36273,49,23785,12439,34.3,4.8
22,State,Rajasthan,59765,0,59658,107,0.2,0
23,State,Sikkim,279,37,161,81,29,0
24,State,Tamil Nadu,685377,274992,335373,75012,10.9,29.2
25,State,Tripura,265,30,179,56,21.1,0
26,State,Uttar Pradesh,2165565,12390,2137713,15462,0.7,6
27,State,Uttarakhand,164542,20,164193,329,0.2,0.1
28,State,West Bengal,21000,653,8962,11385,54.2,4.4
State,State,Total (States),5063717,294998,4519755,248964,4.9,96.9
29,Union Territory,A & N Islands,5998,0,4900,1098,18.3,0.4
30,Union Territory,Chandigarh,1377,6,752,619,45,0.2
31,Union Territory,D & N Haveli,96,0,81,15,15.6,0
32,Union Territory,Daman & Diu,176,0,62,114,64.8,0
33,Union Territory,Delhi,12244,16,6351,5877,48,2.3
34,Union Territory,Lakshadweep,45,0,35,10,22.2,0
35,Union Territory,Puducherry,1614,17,1448,149,9.2,0.1
Union Territory,Union Territory,Total (UTs),21550,39,13629,7882,36.6,3.1
Total (All-India),Total (All-India),Total (All-India),5085267,295037,4533384,256846,5.1,100
