Sr. No.,Category,States/ UTs,Total No. of Cases Reported,Sex-Wise / Age Group-Wise - Upto 10 Years - Male,Sex-Wise / Age Group-Wise - Upto 10 Years - Female,Sex-Wise / Age Group-Wise - 10 - 15 Years - Male,Sex-Wise / Age Group-Wise - 10 - 15 Years - Female,Sex-Wise / Age Group-Wise - 15 - 18 Years - Male,Sex-Wise / Age Group-Wise - 15 - 18 Years - Female,Sex-Wise / Age Group-Wise - 18 - 30 Years - Male,Sex-Wise / Age Group-Wise - 18 - 30 Years - Female,Sex-Wise / Age Group-Wise - 30- 50 Years - Male,Sex-Wise / Age Group-Wise - 30- 50 Years - Female,Sex-Wise / Age Group-Wise - Above 50 Years - Male,Sex-Wise / Age Group-Wise - Above 50 Years - Female,Sex-Wise / Age Group-Wise - Total - Male,Sex-Wise / Age Group-Wise - Total - Female,Sex-Wise / Age Group-Wise - Grand Total
1,State,Andhra Pradesh,2053,15,39,14,136,20,357,283,749,177,240,13,10,522,1531,2053
2,State,Arunachal Pradesh,67,0,0,0,5,0,0,17,34,4,7,0,0,21,46,67
3,State,Assam,3250,0,0,0,5,0,12,325,2168,158,582,0,0,483,2767,3250
4,State,Bihar,3674,23,1,58,64,112,1101,817,1312,103,91,1,0,1114,2569,3683
5,State,Chhattisgarh,359,5,7,14,49,15,96,28,115,17,12,1,0,80,279,359
6,State,Goa,25,2,0,0,1,0,11,3,4,4,2,0,0,9,18,27
7,State,Gujarat,1447,12,8,13,106,8,420,125,616,80,51,4,7,242,1208,1450
8,State,Haryana,963,11,6,17,23,6,66,138,576,58,61,7,0,237,732,969
9,State,Himachal Pradesh,194,5,0,8,18,5,50,8,82,6,15,2,1,34,166,200
10,State,Jammu & Kashmir,896,0,1,0,1,0,3,33,702,15,138,2,1,50,846,896
11,State,Jharkhand,978,1,0,0,3,4,10,195,589,80,94,2,0,282,696,978
12,State,Karnataka,1374,19,10,8,24,0,96,483,623,87,44,19,28,616,825,1441
13,State,Kerala,261,6,6,9,21,2,76,20,81,37,6,6,0,80,190,270
14,State,Madhya Pradesh,1187,10,10,12,145,16,264,82,590,37,34,7,0,164,1043,1207
15,State,Maharashtra,1508,37,42,30,170,21,548,166,398,111,56,22,2,387,1216,1603
16,State,Manipur,199,1,1,9,12,2,44,30,53,46,9,19,5,107,124,231
17,State,Meghalaya,71,3,3,2,2,3,7,34,9,10,3,0,0,52,24,76
18,State,Mizoram,9,0,0,0,0,0,0,4,1,4,0,0,0,8,1,9
19,State,Nagaland,50,2,1,1,2,5,2,15,4,17,0,1,0,41,9,50
20,State,Odisha,1016,1,1,0,20,0,33,76,822,27,36,0,0,104,912,1016
21,State,Punjab,789,30,4,7,76,10,263,84,253,63,3,5,1,199,600,799
22,State,Rajasthan,2985,12,19,23,163,43,537,289,1390,174,315,25,8,566,2432,2998
23,State,Sikkim,6,0,0,0,1,0,5,1,0,0,0,0,0,1,6,7
24,State,Tamil Nadu,1720,7,13,5,41,2,431,89,874,145,103,11,5,259,1467,1726
25,State,Tripura,114,1,0,2,8,0,11,17,57,15,18,1,0,36,94,130
26,State,Uttar Pradesh,6321,31,12,59,169,48,906,460,3682,247,699,10,0,855,5468,6323
27,State,Uttarakhand,286,0,0,3,0,5,1,25,217,4,31,0,0,37,249,286
28,State,West Bengal,3345,10,14,24,50,23,211,284,1573,229,840,35,98,605,2786,3391
Total (States),Total (States),Total (States),35147,244,198,318,1315,350,5561,4131,17574,1955,3490,193,166,7191,28304,35495
29,Union Territories,Andaman & Nicobar Islands,10,0,0,0,5,1,3,0,0,1,0,0,0,2,8,10
30,Union Territories,Chandigarh,38,3,1,0,6,0,13,6,8,1,0,0,0,10,28,38
31,Union Territories,Dadra Nagar Haveli,18,0,0,1,7,0,2,3,1,3,1,0,0,7,11,18
32,Union Territories,Daman & Diu,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
33,Union Territories,Delhi,3208,365,176,909,664,380,838,59,113,44,14,3,0,1760,1805,3565
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,17,2,3,0,2,0,5,1,6,1,0,0,0,4,16,20
Total (UTs),Total (UTs),Total (UTs),3293,370,180,911,684,381,861,70,128,50,15,3,0,1785,1868,3653
Total (All-India),Total (All-India),Total (All-India),38440,614,378,1229,1999,731,6422,4201,17702,2005,3505,196,166,8976,30172,39148
