SI. No.,Category,States/ UTs,Arms Act (I),Arms Act (R),Narcotic Drugs & Psychotropic Substances Act (I),Narcotic Drugs & Psychotropic Substances Act (R),Gambling Act (I),Gambling Act ( R),Excise Act (I),Excise Act (R),Prohibition Act (I),Prohibition Act (R),Explosive & Explosive Substances Act (I),Explosive & Explosive Substances Act (R),Immoral Traffic (P) Act (I),Immoral Traffic (P) Act (R),Indian Railways Act (I),Indian Railways Act (R),The Foreigners Act (I),The Foreigners Act (R),Protection of Civil Rights Act (I),Protection of Civil Rights Act (R),PCR Act for SCs (I),PCR Act for SCs ( R),PCR Act for STs (I),PCR Act for STs (R),Indian Passport Act (I),Indian Passport Act ( R),Essential Commodities Act (I),Essential Commodities Act ( R),Terrorist & Disruptive Activities Act (I),Terrorist & Disruptive Activities Act (R),Antiquities & Art Treasures Act (I),Antiquities & Art Treasures Act (R),Dowry Prohibition Act (I),Dowry Prohibition Act (R),Marriage Act (I),Marriage Act ( R),Indecent Representation of Women (P) Act (I),Indecent Representation of Women (P) Act (R),Copyright Act (I),Copyright Act ( R),Sati Prevention Act (I),Sati Prevention Act ( R),SC/ST (Prev.) of Atrocities) Act Total (I),SC/ST (Prev.) of Atrocities) Act Total (R),SC/ST (Prev) of Atrocities Act For SCs (I),SC/ST (Prev) of Atrocities Act For SCs ( R),SC/ST (Prev) of Atrocities Act for STs (I),SC/ST (Prev) of Atrocities Act for STs ( R),Forest Act (I),Forest Act (R),Other SLL Crimes # (I),Other SLL Crimes # ( R),Total Cognizable Crimes Under SLL (I),Total Cognizable Crimes Under SLL ( R)
1,State,Andhra Pradesh,298,0.4,455,0.5,53482,63.6,4689,5.6,1809,2.2,322,0.4,548,0.7,3,0,17,0,54,0.1,50,0.1,4,0,58,0.1,86,0.1,0,0,19,0,1186,1.4,0,0,753,0.9,827,1,0,0,1734,2.1,1509,1.8,225,0.3,26,0,562192,668.2,628558,747.1
2,State,Arunachal Pradesh,16,1.3,49,4,0,0,0,0,0,0,3,0.2,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3.6,113,9.1
3,State,Assam,505,1.6,180,0.6,39,0.1,2,0,0,0,173,0.6,25,0.1,1,0,11,0,0,0,0,0,0,0,39,0.1,49,0.2,0,0,0,0,37,0.1,0,0,0,0,6,0,0,0,2,0,1,0,1,0,24,0.1,732,2.4,1825,5.9
4,State,Bihar,1845,1.9,463,0.5,200,0.2,2180,2.2,46,0,129,0.1,24,0,2,0,1,0,0,0,0,0,0,0,1,0,547,0.6,0,0,2,0,997,1,8,0,0,0,16,0,0,0,2581,2.7,2548,2.6,33,0,36,0,1041,1.1,10119,10.4
5,State,Chhattisgarh,1059,4.3,428,1.7,7810,31.8,15235,62.1,1,0,162,0.7,12,0,5,0,0,0,0,0,0,0,0,0,0,0,158,0.6,0,0,0,0,6,0,2,0,1,0,29,0.1,0,0,227,0.9,95,0.4,132,0.5,13,0.1,217178,885.1,242326,987.6
6,State,Goa,6,0.3,65,3.7,570,32.7,0,0,0,0,2,0.1,16,0.9,2,0.1,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,1,0.1,1,0.1,0,0,0,0,2133,122.4,2868,164.5
7,State,Gujarat,391,0.7,83,0.1,9017,15.5,2,0,183769,315.8,56,0.1,46,0.1,0,0,32,0.1,0,0,0,0,0,0,6,0,166,0.3,0,0,0,0,7,0,14,0,0,0,410,0.7,0,0,254,0.4,220,0.4,34,0.1,3,0,24495,42.1,218751,375.9
8,State,Haryana,1464,6,871,3.5,4417,18,9819,39.9,0,0,71,0.3,57,0.2,6,0,10,0,0,0,0,0,0,0,2,0,273,1.1,0,0,1,0,11,0,0,0,0,0,219,0.9,0,0,131,0.5,131,0.5,0,0,0,0,4423,18,21775,88.6
9,State,Himachal Pradesh,10,0.1,596,8.9,320,4.8,2298,34.4,0,0,7,0.1,1,0,0,0,6,0.1,1,0,1,0,0,0,0,0,35,0.5,0,0,0,0,0,0,5,0.1,0,0,47,0.7,0,0,74,1.1,72,1.1,2,0,161,2.4,199,3,3760,56.2
10,State,Jammu & Kashmir,225,1.7,421,3.2,79,0.6,512,3.8,1,0,47,0.4,4,0,1,0,14,0.1,1,0,1,0,0,0,2,0,443,3.3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0.1,282,2.1,2049,15.3
