Sr. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt (Col. 4),No. of Cases In Which - Investigation Refused (Col. 5),No. of Cases in which - Investigation Completed - Charge Found False /Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation Completed - Charge Sheets Submitted (Col. 8),No. of Cases in which - Investigation Completed (Col. 9) - Total = Col. {(6)+ (7)+ (8)},No. of Cases Pending Investigationat theend of the year (Col. 10)
1,Infanticide (Sec.315 IPC),131,0,0,5,51,45,101,30
2,Murder (Sec.302 IPC),1991,0,9,84,180,1075,1339,643
3,Rape (Sec.376 IPC),7628,0,3,234,130,4971,5335,2290
4,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",15020,137,76,2008,1936,5073,9017,5790
5,"Foeticide (Sec.315,316 IPC)",164,0,0,10,73,34,117,47
6,Abetment to Suicide (Sec.305 IPC),72,0,1,5,10,33,48,23
7,Exposure and Abandonment (Sec. 317 IPC),991,0,1,20,626,69,715,275
8,Procuration Minor Girls (Sec. 366A IPC),913,0,0,53,60,338,451,462
9,Buying of Girls for Prost. (Sec.373 IPC),103,0,0,0,1,47,48,55
10,Selling of Girls for Prost. (Sec.372 IPC),243,0,0,0,15,64,79,164
11,Prohibition of Child Marriage Act 2006,111,0,0,11,4,63,78,33
12,Other Crimes,8570,1,1,121,460,6608,7189,1379
13,Total,35937,138,91,2551,3546,18420,24517,11191
