Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,49,94.7,40,162.2,0,0,1,2,0,0,1,2,2,0,3,1.2,39,42.7,134,302.8
2,State,Arunachal Pradesh,10,7.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3.6,15,12.6
3,State,Assam,104,68.2,26,45.5,0,0,8,2.1,8,2.1,0,0,0,0,24,25.1,86,327.1,248,468
4,State,Bihar,317,304,207,190.5,0,0,26,13.4,24,13.2,2,0.2,7,62.9,23,18.4,64,55.3,644,644.5
5,State,Chhattisgarh,47,264.2,2,0.8,0,0,0,0,0,0,0,0,3,80.8,4,10.5,66,66.5,122,422.8
6,State,Goa,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2,2.7
7,State,Gujarat,38,26.5,21,106.6,0,0,3,0.5,3,0.5,0,0,0,0,20,131.8,104,812.4,186,1077.9
8,State,Haryana,20,111.1,42,301.3,0,0,2,0.4,1,0.4,1,0,0,0,4,5.6,79,405.8,147,824.2
9,State,Himachal Pradesh,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,7.8,0,0,2,8.4
10,State,Jammu & Kashmir,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,3,0.6,6,4
11,State,Jharkhand,150,226.7,111,134.3,0,0,12,5.4,9,4.6,3,0.8,6,28,17,21.8,39,20.7,335,436.8
12,State,Karnataka,40,92.7,34,259.5,0,0,0,0,0,0,0,0,0,0,16,25.5,182,325.5,272,703.3
13,State,Kerala,15,14.7,9,12.5,0,0,0,0,0,0,0,0,0,0,3,0.1,47,53.5,74,80.8
14,State,Madhya Pradesh,42,205.1,16,59.2,2,2.7,3,1.4,3,1.4,0,0,2,12.2,3,1.6,42,70218.6,110,70500.7
15,State,Maharashtra,140,209.3,85,437.3,0,0,18,7,12,6,6,1,4,85.1,43,585.4,488,862.6,778,2186.7
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,11,3.6,13,3.7,0,0,0,0,0,0,0,0,0,0,3,1.5,15,7.7,42,16.6
