SI. No.,Category,States/ UTs,"Riots (Sec.143- 145,147-151,153,153A, 153B, 157, 158,160 IPC)","Arson (Sec.435,436,438 IPC)",Total Crimes Against Body,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,2231,925,3156,4.15,3.75,1.74
2,State,Arunachal Pradesh,31,28,59,0.08,4.78,2.42
3,State,Assam,2183,437,2620,3.44,8.46,4.25
4,State,Bihar,8809,660,9469,12.45,9.74,7.43
5,State,Chhattisgarh,1092,319,1411,1.85,5.75,2.57
6,State,Goa,64,23,87,0.11,4.99,2.64
7,State,Gujarat,1623,260,1883,2.48,3.24,1.62
8,State,Haryana,1414,221,1635,2.15,6.65,2.77
9,State,Himachal Pradesh,615,127,742,0.98,11.1,5.69
10,State,Jammu & Kashmir,2169,224,2393,3.15,17.91,10.3
11,State,Jharkhand,2447,185,2632,3.46,8.51,6.77
12,State,Karnataka,7710,286,7996,10.51,13.6,5.62
13,State,Kerala,8724,374,9098,11.96,26.02,6.13
14,State,Madhya Pradesh,2606,748,3354,4.41,4.65,1.57
15,State,Maharashtra,8412,1229,9641,12.67,8.76,4.63
16,State,Manipur,65,86,151,0.2,5.59,5.56
17,State,Meghalaya,7,52,59,0.08,2.26,2.36
18,State,Mizoram,0,15,15,0.02,1.49,0.69
19,State,Nagaland,2,1,3,0,0.13,0.28
20,State,Odisha,1779,430,2209,2.9,5.41,3.91
21,State,Punjab,0,101,101,0.13,0.37,0.28
22,State,Rajasthan,986,478,1464,1.92,2.18,0.9
23,State,Sikkim,4,7,11,0.01,1.8,1.99
24,State,Tamil Nadu,2664,636,3300,4.34,4.88,1.78
25,State,Tripura,163,51,214,0.28,5.93,3.69
26,State,Uttar Pradesh,4186,170,4356,5.73,2.19,2.5
27,State,Uttarakhand,458,17,475,0.62,4.84,5.14
28,State,West Bengal,6809,331,7140,9.38,7.91,5.51
Total (States),Total (States),Total (States),67253,8421,75674,99.47,6.5,3.5
29,Union Territory,Andaman & Nicobar Islands,11,12,23,0.03,5.32,2.35
30,Union Territory,Chandigarh,65,9,74,0.1,6.58,2.19
31,Union Territory,Dadra Nagar Haveli,44,2,46,0.06,16.25,12.17
32,Union Territory,Daman & Diu,11,0,11,0.01,5.5,5.42
33,Union Territory,Delhi,53,52,105,0.14,0.57,0.2
34,Union Territory,Lakshadweep,3,2,5,0.01,6.94,11.9
35,Union Territory,Pondicherry,131,10,141,0.19,12.62,3.58
Total (UTs),Total (UTs),Total (UTs),318,87,405,0.53,1.88,0.67
Total (All-India),Total (All-India),Total (All-India),67571,8508,76079,100,6.42,3.42
