Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt (Col. 4),No. of Cases in which - Investigation Refused (Col. 5),No. of Cases in which - Investigation Completed - Charge Found False / Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation Completed - Charge Sheet Submitted (Col. 8),No. of Cases in which - Investigation Completed (Col. 9) - Total = Col. {(6) +(7) +(8)},No. of Cases Pending Investigation at the end of the year (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate (Col. 13) = Col. ((8) /(7+8)× 100)
State,Andhra Pradesh,2645,0,2,205,94,1599,1898,745,28.2,6.7,94.4
State,Arunachal Pradesh,30,0,0,0,0,26,26,4,13.3,0,100
State,Assam,359,0,0,15,8,82,105,254,70.8,2.3,91.1
State,Bihar,2752,0,0,156,201,900,1257,1495,54.3,13.4,81.7
State,Chhattisgarh,1521,0,0,3,33,1378,1414,107,7,1,97.7
State,Goa,177,0,0,2,17,80,99,78,44.1,0.7,82.5
State,Gujarat,1185,1,9,23,282,691,996,179,15.1,1.6,71
State,Haryana,389,0,0,57,41,228,326,63,16.2,0.6,84.8
State,Himachal Pradesh,319,0,0,50,8,175,233,86,27,0.8,95.6
State,Jammu & Kashmir,32,0,0,8,1,12,21,11,34.4,0.1,92.3
State,Jharkhand,84,0,0,0,13,53,66,18,21.4,0.2,80.3
State,Karnataka,507,0,3,24,50,275,349,155,30.6,1.4,84.6
State,Kerala,1121,0,0,34,45,689,768,353,31.5,3.2,93.9
State,Madhya Pradesh,5132,0,0,8,188,4632,4828,304,5.9,2.7,96.1
State,Maharashtra,4681,1,5,59,433,2390,2882,1793,38.3,16,84.7
State,Manipur,331,0,0,0,22,1,23,308,93.1,2.8,4.3
State,Meghalaya,349,0,0,0,14,51,65,284,81.4,2.5,78.5
State,Mizoram,52,0,0,0,0,46,46,6,11.5,0.1,100
State,Nagaland,15,0,0,0,1,7,8,7,46.7,0.1,87.5
State,Odisha,284,0,0,7,2,174,183,101,35.6,0.9,98.9
State,Punjab,1001,0,0,128,123,376,627,374,37.4,3.3,75.4
State,Rajasthan,1412,0,0,530,210,542,1282,130,9.2,1.2,72.1
State,Sikkim,90,0,0,0,5,56,61,29,32.2,0.3,91.8
State,Tamil Nadu,1155,0,4,94,63,512,669,482,41.7,4.3,89
State,Tripura,338,0,0,1,17,172,190,148,43.8,1.3,91
State,Uttar Pradesh,2680,0,0,116,487,1808,2411,269,10,2.4,78.8
State,Uttarakhand,33,0,0,0,1,32,33,0,0,0,97
State,West Bengal,1527,0,0,20,109,499,628,899,58.9,8,82.1
State,Total (States),30201,2,23,1540,2468,17486,21494,8682,28.7,77.6,87.6
Union Territory,A & N Islands,71,0,0,0,1,38,39,32,45.1,0.3,97.4
Union Territory,Chandigarh,112,0,0,12,7,60,79,33,29.5,0.3,89.6
Union Territory,D & N Haveli,26,0,0,3,0,7,10,16,61.5,0.1,100
Union Territory,Daman & Diu,4,0,0,0,1,2,3,1,25,0,66.7
Union Territory,Delhi,5503,136,67,996,1065,815,2876,2424,44,21.7,43.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,20,0,1,0,4,12,16,3,15,0,75
Union Territory,Total (UTs),5736,136,68,1011,1078,934,3023,2509,43.7,22.4,46.4
Total (All-India),Total (All-India),35937,138,91,2551,3546,18420,24517,11191,31.1,100,83.9
