Sr. No.,Category,States/ UTs,Murder (sec 302 Ipc),Attempt to Commit murder (sec 307 Ipc),"C.h. not amounting to Murder (sec 304, 308 ipc)",Rape (sec 376 Ipc) - Total,Rape (sec 376 Ipc) - Custodial,Rape (sec 376 Ipc) - Others,"Kidnapping & Abduction (sec 363 - 369, 371 - 373 Ipc) - Total","Kidnapping & Abduction (sec 363 - 369, 371 - 373 Ipc) - of Women & Girls","Kidnapping & Abduction (sec 363 - 369, 371 - 373 Ipc) - of Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband and Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC,Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,48,10,3,76,0,76,35,28,7,2,0,11,164,529,166,363,17,1,12,0,4,198,2,49,69,15,0,14,110,1369
2,State,Arunachal Pradesh,0,0,1,4,0,4,0,0,0,0,0,5,13,6,0,6,9,0,0,0,0,28,0,1,0,0,0,0,11,78
3,State,Assam,12,0,0,37,0,37,31,10,21,1,0,2,33,106,0,106,29,0,1,0,2,30,0,8,0,3,0,0,70,365
4,State,Bihar,43,26,3,26,0,26,71,49,22,16,6,25,33,150,35,115,67,0,1,0,1,56,2,9,0,3,0,0,155,693
5,State,Chhattisgarh,50,63,0,70,0,70,14,14,0,2,0,34,282,334,74,260,130,3,4,4,12,406,2,105,16,8,0,17,572,2128
6,State,Goa,0,0,0,1,0,1,1,1,0,0,0,2,13,21,13,8,3,0,0,0,0,1,0,2,0,0,0,2,10,56
7,State,Gujarat,38,14,0,17,0,17,34,31,3,6,0,7,147,415,222,193,70,3,6,0,1,256,0,14,1,53,0,9,368,1459
8,State,Haryana,19,15,0,20,0,20,17,15,2,0,1,4,70,131,36,95,40,7,16,0,2,166,0,6,1,5,0,2,179,701
9,State,Himachal Pradesh,2,1,0,9,0,9,2,2,0,0,0,0,4,26,9,17,15,0,2,0,2,21,0,7,1,0,0,1,66,159
10,State,Jammu & Kashmir,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,6,17
11,State,Jharkhand,3,0,0,3,0,3,26,21,5,0,0,0,1,12,0,12,3,0,0,0,0,2,2,0,0,0,1,0,26,79
12,State,Karnataka,10,5,0,6,0,6,6,0,6,0,0,1,27,65,21,44,8,0,4,0,0,9,0,3,0,0,0,0,17,161
13,State,Kerala,4,4,2,10,0,10,3,3,0,2,1,10,58,136,60,76,84,0,4,0,1,77,0,6,2,0,0,0,56,460
14,State,Madhya Pradesh,113,107,3,183,0,183,49,45,4,3,1,80,332,475,140,335,135,1,21,0,11,1024,21,167,46,60,0,95,2627,5554
15,State,Maharashtra,98,100,1,88,0,88,42,28,14,46,18,166,548,1152,348,804,352,4,20,3,11,983,11,93,30,65,0,38,446,4315
