SI. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - %Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - 2010,Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2010","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - 2010,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - 2010,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - 2010,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2009,Theft (Sec.379-382 IPC) - Other Theft - 2010,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2009,Other IPC Crimes - 2010,Other IPC Crimes - % Variation,Total Cognizable Sl. Crimes Under IPC - 2009,Total Cognizable Sl. Crimes Under IPC - 2010,Total Cognizable Sl. Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
1,State,Andhra Pradesh,2449,2538,3.6,1859,1953,5.1,134,155,15.7,1188,1362,14.6,0,0,NA,1188,1362,14.6,1958,2053,4.9,1526,1531,0.3,432,522,20.8,102,134,31.4,27,2,-92.6,544,550,1.1,7772,8200,5.5,24692,26756,8.4,7804,7422,-4.9,16888,19334,14.5,2261,2231,-1.3,904,1130,25,8528,9164,7.5,461,186,-59.7,1039,925,-11,44488,46777,5.1,546,588,7.7,5147,4634,-10,3520,4562,29.6,11297,12080,6.9,0,0,NA,13438,14085,4.8,48087,41373,-14,180441,181438,0.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
2,State,Arunachal Pradesh,59,75,27.1,33,34,3,5,3,-40,59,47,-20.3,0,0,NA,59,47,-20.3,62,67,8.1,28,46,64.3,34,21,-38.2,20,15,-25,0,0,NA,55,69,25.5,201,211,5,381,445,16.8,109,139,27.5,272,306,12.5,52,31,-40.4,38,59,55.3,29,91,213.8,8,0,-100,28,28,0,526,439,-16.5,0,0,NA,58,84,44.8,6,1,-83.3,13,12,-7.7,0,0,NA,110,106,-3.6,619,622,0.5,2362,2439,3.3,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
3,State,Assam,1323,1223,-7.6,417,431,3.4,35,46,31.4,1631,1721,5.5,0,5,NA,1631,1716,5.2,2718,3250,19.6,2092,2767,32.3,626,483,-22.8,251,248,-1.2,21,12,-42.9,680,662,-2.6,3149,3458,9.8,7644,7860,2.8,1713,2124,24,5931,5736,-3.3,1808,2183,20.7,802,992,23.7,1098,1371,24.9,84,68,-19,476,437,-8.2,6547,5744,-12.3,170,175,2.9,1342,1400,4.3,10,20,100,4398,5410,23,1,0,-100,2735,2847,4.1,17973,22110,23,55313,61668,11.5,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,State,Bihar,3152,3362,6.7,3068,2915,-5,243,344,41.6,929,795,-14.4,0,0,NA,929,795,-14.4,3222,3674,14,1986,2569,29.4,1236,1105,-10.6,654,644,-1.5,64,46,-28.1,1619,1538,-5,3566,3437,-3.6,15221,15544,2.1,3674,4257,15.9,11547,11287,-2.3,8554,8809,3,1186,1071,-9.7,2676,3025,13,69,52,-24.6,685,660,-3.6,14746,15328,3.9,1295,1257,-2.9,726,534,-26.4,12,16,33.3,2532,2271,-10.3,31,8,-74.2,4516,5615,24.3,54165,56508,4.3,122931,127453,3.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,State,Chhattisgarh,1083,1065,-1.7,732,756,3.3,19,30,57.9,976,1012,3.7,0,0,NA,976,1012,3.7,286,359,25.5,229,279,21.8,57,80,40.4,134,122,-9,16,15,-6.3,554,552,-0.4,3975,3711,-6.6,5792,5805,0.2,2181,2139,-1.9,3611,3666,1.5,957,1092,14.1,166,196,18.1,682,813,19.2,68,59,-13.2,335,319,-4.8,9543,10188,6.8,128,115,-10.2,1598,1706,6.8,152,182,19.7,893,861,-3.6,0,2,NA,2735,2907,6.3,20546,23091,12.4,51370,54958,7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
6,State,Goa,53,35,-34,24,27,12.5,11,3,-72.7,47,36,-23.4,0,0,NA,47,36,-23.4,33,25,-24.2,22,18,-18.2,11,7,-36.4,4,2,-50,0,0,NA,30,39,30,294,368,25.2,858,1034,20.5,336,359,6.8,522,675,29.3,50,64,28,52,57,9.6,132,117,-11.4,27,33,22.2,24,23,-4.2,191,177,-7.3,3,1,-66.7,37,36,-2.7,10,16,60,21,17,-19,0,0,NA,220,256,16.4,884,927,4.9,3005,3293,9.6,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
7,State,Gujarat,1020,1048,2.7,468,462,-1.3,30,44,46.7,433,408,-5.8,0,0,NA,433,408,-5.8,1348,1447,7.3,1162,1290,11,186,157,-15.6,246,186,-24.4,11,18,63.6,1420,1384,-2.5,4488,4071,-9.3,19669,16794,-14.6,11130,9817,-11.8,8539,6977,-18.3,1539,1623,5.5,1256,1214,-3.3,1014,1002,-1.2,238,255,7.1,240,260,8.3,9456,10131,7.1,24,19,-20.8,727,668,-8.1,114,110,-3.5,5506,5600,1.7,0,0,NA,5178,5907,14.1,60758,63788,5,115183,116439,1.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
8,State,Haryana,948,1005,6,690,836,21.2,78,63,-19.2,603,720,19.4,0,0,NA,603,720,19.4,916,963,5.1,659,714,8.3,257,249,-3.1,153,147,-3.9,297,248,-16.5,679,734,8.1,4077,4445,9,12917,16266,25.9,8449,11299,33.7,4468,4967,11.2,1166,1414,21.3,827,919,11.1,1406,1662,18.2,35,29,-17.1,153,221,44.4,3977,3733,-6.1,281,284,1.1,451,476,5.5,605,580,-4.1,2617,2720,3.9,0,0,NA,1549,1595,3,21804,20060,-8,56229,59120,5.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
9,State,Himachal Pradesh,125,132,5.6,73,74,1.4,13,12,-7.7,183,160,-12.6,0,0,NA,183,160,-12.6,150,194,29.3,122,162,32.8,28,32,14.3,4,2,-50,0,0,NA,21,11,-47.6,784,743,-5.2,823,838,1.8,327,334,2.1,496,504,1.6,591,615,4.1,117,110,-6,264,318,20.5,2,4,100,124,127,2.4,1230,1374,11.7,1,2,100,318,350,10.1,37,78,110.8,284,275,-3.2,0,0,NA,616,610,-1,7555,7020,-7.1,13315,13049,-2,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
10,State,Jammu & Kashmir,237,217,-8.4,547,711,30,23,26,13,237,245,3.4,0,0,NA,237,245,3.4,873,896,2.6,825,840,1.8,48,56,16.7,1,6,500,0,0,NA,69,61,-11.6,1566,1406,-10.2,2631,2510,-4.6,876,967,10.4,1755,1543,-12.1,1472,2169,47.4,132,150,13.6,475,422,-11.2,37,19,-48.6,217,224,3.2,331,278,-16,12,9,-25,972,1038,6.8,371,262,-29.4,196,211,7.7,0,0,NA,517,494,-4.4,11059,11869,7.3,21975,23223,5.7,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
