Sr. No.,Category,States/ UTs,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others",Dacoity (Sec 395- 398 IPC),Preparation and Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery (Sec 392 - 394, 397, 398 IPC)","Burglary (Sec 449 - 452, 454, 455, 457 - 460 IPC)",Theft (Sec 379 - 382 IPC) - Total,Theft (Sec 379 - 382 IPC) - Auto Theft,Theft (Sec 379 - 382 IPC) - Other Theft,"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec 406 - 409 IPC),"Cheating (Sec 419, 420 IPC)","CounterFeiting (Sec 231- 254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband & Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,64,11,3,87,0,87,45,35,10,4,0,16,277,727,184,543,32,1,15,0,5,253,2,62,80,20,0,16,143,1863
2,State,Arunachal Pradesh,0,0,1,4,0,4,0,0,0,0,0,5,15,6,0,6,9,0,0,0,0,29,0,1,0,0,0,0,11,81
3,State,Assam,12,0,0,37,0,37,32,10,22,1,0,2,35,111,0,111,35,0,1,0,2,34,0,8,0,3,0,0,70,383
4,State,Bihar,43,26,3,26,0,26,71,49,22,16,6,25,33,150,35,115,67,0,1,0,1,56,2,9,0,3,0,0,155,693
5,State,Chhattisgarh,50,63,0,70,0,70,14,14,0,2,0,34,282,334,74,260,130,3,4,4,12,406,2,105,16,8,0,17,572,2128
6,State,Goa,0,0,0,1,0,1,1,1,0,0,0,2,22,28,17,11,4,0,0,0,0,1,0,2,0,0,0,2,13,76
7,State,Gujarat,48,20,0,17,0,17,38,32,6,6,0,8,177,470,243,227,83,7,6,0,2,290,0,18,2,57,0,9,430,1688
8,State,Haryana,23,13,0,23,0,23,17,15,2,0,1,4,86,162,52,110,49,7,20,0,2,204,0,6,1,5,0,2,211,836
9,State,Himachal Pradesh,3,1,0,10,0,10,2,2,0,0,0,0,4,37,14,23,24,0,2,0,4,30,0,8,1,0,0,1,79,206
10,State,Jammu & Kashmir,0,5,0,1,0,1,0,0,0,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,8,27
11,State,Jharkhand,6,0,0,6,0,6,27,22,5,0,0,0,1,16,0,16,4,0,0,0,0,2,3,0,0,0,3,0,28,96
12,State,Karnataka,12,6,0,6,0,6,6,0,6,0,0,1,41,62,21,41,8,0,4,0,0,9,0,3,0,0,0,0,22,180
13,State,Kerala,5,4,2,10,0,10,5,5,0,3,4,16,91,193,88,105,251,0,7,0,1,119,0,6,3,0,0,0,81,801
14,State,Madhya Pradesh,125,114,3,197,0,197,52,48,4,4,1,82,382,514,144,370,157,1,24,0,16,1151,23,186,46,62,0,99,2789,6028
15,State,Maharashtra,142,136,1,98,0,98,49,33,16,68,23,216,858,1554,484,1070,548,4,27,4,14,1298,11,101,38,104,0,40,550,5884
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,1,4,0,15,0,15,0,0,0,8,0,1,20,28,2,26,0,1,0,0,1,4,0,0,0,0,0,0,27,110
18,State,Mizoram,1,0,0,4,0,4,0,0,0,0,0,0,8,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,9,76
19,State,Nagaland,1,0,0,1,0,1,4,0,4,2,0,8,7,19,2,17,0,1,0,1,0,0,0,2,0,0,0,0,0,46
20,State,Odisha,20,12,0,17,0,17,10,7,3,4,6,33,71,113,2,111,30,6,2,0,1,54,1,10,0,0,0,4,133,527
21,State,Punjab,13,9,0,13,0,13,3,2,1,1,11,3,17,49,6,43,0,0,11,1,0,24,2,2,0,1,0,6,60,226
22,State,Rajasthan,64,99,1,83,0,83,95,80,15,1,4,53,267,443,186,257,48,0,13,1,13,273,4,26,0,15,0,12,708,2223
