Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases (Col. 5) - Compounded or Withdrawn,No. of Cases In Which Trials Completed (Col. 6) - Convicted,No. of Cases In Which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases In Which Trials Completed (Col. 8) - Total = Col. {(6) +(7)),No. of Cases (Col. 9) - Pending Trial at the end of the year,Pendency Percentage (Col. 10),Percentage of Pendency to All India Total (Col. 11),Conviction Rate (Col. 12) = Col. ((6)/ (8)× 100),Note of Percentage of Pendency to All India Total,Note of Conviction Rate
State,Andhra Pradesh,1394,0,24,31,396,427,943,67.6,5.8,7.3,NA,NA
State,Arunachal Pradesh,267,0,0,1,3,4,263,98.5,1.6,25,NA,NA
State,Assam,141,0,0,1,12,13,128,90.8,0.8,7.7,NA,NA
State,Bihar,198,0,0,5,36,41,157,79.3,1,12.2,NA,NA
State,Chhattisgarh,2161,0,19,139,308,447,1695,78.4,10.3,31.1,NA,NA
State,Goa,1,0,0,0,0,0,1,100,0,NA,NA,@
State,Gujarat,1760,0,0,8,132,140,1620,92,9.9,5.7,NA,NA
State,Haryana,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Himachal Pradesh,8,0,4,1,2,3,1,12.5,0,33.3,NA,NA
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,NA,NA,@
State,Jharkhand,644,0,1,51,149,200,443,68.8,2.7,25.5,NA,NA
State,Karnataka,863,0,3,10,188,198,662,76.7,4,5.1,NA,NA
State,Kerala,332,0,7,5,31,36,289,87,1.8,13.9,NA,NA
State,Madhya Pradesh,4785,0,120,384,771,1155,3510,73.4,21.4,33.2,NA,NA
State,Maharashtra,2068,0,4,8,207,215,1849,89.4,11.3,3.7,NA,NA
State,Manipur,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Meghalaya,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Mizoram,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Nagaland,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Odisha,3012,0,0,64,242,306,2706,89.8,16.5,20.9,NA,NA
State,Punjab,0,0,0,0,0,0,0,0,NA,NA,@,NA
State,Rajasthan,2307,2,22,168,205,373,1912,82.9,11.7,45,NA,NA
State,Sikkim,10,0,0,0,0,0,10,100,0.1,0,NA,NA
State,Tamil Nadu,73,0,0,2,1,3,70,95.9,0.4,66.7,NA,NA
State,Tripura,43,0,0,7,19,26,17,39.5,0.1,26.9,NA,NA
State,Uttar Pradesh,77,0,0,25,22,47,30,39,0.2,53.2,NA,NA
State,Uttarakhand,6,0,0,2,4,6,0,0,0,33.3,NA,NA
State,West Bengal,46,0,0,0,0,0,46,100,0.3,0,NA,NA
State,Total (States),20196,2,204,912,2728,3640,16352,81,99.7,25.1,NA,NA
Union Territory,A & N Islands,25,0,0,0,6,6,19,76,0.1,0,NA,NA
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,NA,NA,@,NA
Union Territory,D & N Haveli,25,0,0,0,2,2,23,92,0.1,0,NA,NA
Union Territory,Daman & Diu,2,0,0,0,1,1,1,50,0,0,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0,0,NA,NA,@,NA
Union Territory,Lakshadweep,1,0,0,0,0,0,1,100,0,NA,NA,@
Union Territory,Puducherry,0,0,0,0,0,0,0,0,NA,NA,@,NA
Union Territory,Total (UTs),53,0,0,0,9,9,44,83,0.3,0,NA,NA
Total (All-India),Total (All-India),20249,2,204,912,2737,3649,16396,81,100,25,NA,NA
