Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder (sec. 302 Ipc),2149,111,5.2,1729,80.5,309,14.4
2,Rape (sec.376 Ipc),2080,108,5.2,1709,82.2,263,12.6
3,"Kidnapping & Abduction (sec. 363-369, 371-373 Ipc)",1187,204,17.2,713,60.1,270,22.7
4,Dacoity (sec.395-398 Ipc),267,12,4.5,128,47.9,127,47.6
5,"Robbery (392-394, 397, 398 Ipc)",211,13,6.2,131,62.1,67,31.8
6,"Arson (sec.435, 436, 438 Ipc)",485,44,9.1,331,68.2,110,22.7
7,"Hurt (sec.323-333, 335-338 Ipc)",10213,413,4,7725,75.6,2075,20.3
8,"Pcr Act, 1955 For Scs",410,40,9.8,299,72.9,71,17.3
9,"Sc/st Prev. Of Atrocities Act 1989, For Scs",22403,1460,6.5,15157,67.7,5786,25.8
10,Other Crimes Against Scs,32662,4661,14.3,23389,71.6,4612,14.1
11,Total,72067,7066,9.8,51311,71.2,13690,19
