Sr. No.,Category,States/ UTs,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"CH. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Others",Dacoity (Sec 395- 398 IPC),Preparation & Assembly for Dacoity (Sec 399-402 IPC),"Robbery (Sec 392- 394, 397,398 IPC)","Burglary (Sec 449- 452, 454, 455, 457-460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
1,State,Andhra Pradesh,18,1,0,2,1,0,1,0,0,6,1,799,1,0,36,6,193,1064
2,State,Assam,6,0,0,5,8,8,0,4,0,6,7,155,1,0,7,4,48,251
3,State,Bihar,56,24,5,5,28,6,22,25,2,36,27,1256,55,0,33,17,669,2238
4,State,Chhattisgarh,5,1,0,2,0,0,0,0,0,4,7,195,1,0,14,1,71,301
5,State,Gujarat,10,1,0,2,4,3,1,4,0,13,21,835,3,0,71,8,184,1156
6,State,Haryana,27,3,2,1,7,3,4,1,1,22,1,497,11,0,13,24,650,1260
7,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,8
8,State,Jammu & Kashmir,0,1,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,13
9,State,Jharkhand,19,2,0,0,1,1,0,19,2,18,10,232,6,1,11,1,107,429
10,State,Karnataka,13,6,0,0,2,0,2,3,2,28,0,301,13,0,15,0,64,447
11,State,Kerala,1,0,0,1,0,0,0,1,6,1,1,148,1,0,24,0,25,209
12,State,Madhya Pradesh,9,4,4,6,4,3,1,4,0,20,14,1345,12,0,17,3,587,2029
13,State,Maharashtra,15,10,0,6,12,5,7,19,2,63,2,3326,50,0,78,2,339,3924
14,State,Odisha,10,5,0,2,6,3,3,1,1,23,21,456,3,0,34,8,238,808
15,State,Punjab,11,2,2,1,0,0,0,1,0,1,0,45,0,0,32,0,306,401
16,State,Rajasthan,4,4,0,2,4,1,3,1,1,6,1,368,3,1,3,1,346,745
17,State,Tamil Nadu,1,6,0,0,1,1,0,0,0,18,1,288,9,0,28,6,279,637
18,State,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Uttar Pradesh,14,16,8,2,11,8,3,18,7,40,4,1521,27,0,7,5,952,2632
20,State,West Bengal,24,44,4,3,15,11,4,5,19,11,1,866,23,0,18,2,162,1197
21,Union Territory,Delhi UT,6,0,0,0,6,5,1,1,2,2,1,821,0,1,15,0,96,951
Total (All-India),Total (All-India),Total (All-India),249,130,25,40,111,59,52,107,45,318,120,13468,219,3,456,88,5321,20700
