SI. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC),"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)","Arson (Sec.435,436,438 IPC)",Dowry Deaths (Sec.304B IPC),Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,2538,1953,155,1362,2053,134,2,550,2231,925,588,12491,5.2,14.8,6.9
2,State,Arunachal Pradesh,75,34,3,47,67,15,0,69,31,28,0,369,0.2,29.9,15.1
3,State,Assam,1223,431,46,1721,3250,248,12,662,2183,437,175,10388,4.3,33.5,16.8
4,State,Bihar,3362,2915,344,795,3674,644,46,1538,8809,660,1257,24044,9.9,24.7,18.9
5,State,Chhattisgarh,1065,756,30,1012,359,122,15,552,1092,319,115,5437,2.2,22.2,9.9
6,State,Goa,35,27,3,36,25,2,0,39,64,23,1,255,0.1,14.6,7.7
7,State,Gujarat,1048,462,44,408,1447,186,18,1384,1623,260,19,6899,2.9,11.9,5.9
8,State,Haryana,1005,836,63,720,963,147,248,734,1414,221,284,6635,2.7,27,11.2
9,State,Himachal Pradesh,132,74,12,160,194,2,0,11,615,127,2,1329,0.5,19.9,10.2
10,State,Jammu & Kashmir,217,711,26,245,896,6,0,61,2169,224,9,4564,1.9,34.2,19.7
11,State,Jharkhand,1689,1028,82,773,978,335,19,709,2447,185,276,8521,3.5,27.5,21.9
12,State,Karnataka,1805,1850,94,586,1374,272,300,1949,7710,286,248,16474,6.8,28,11.6
13,State,Kerala,363,361,86,634,261,74,221,636,8724,374,22,11756,4.9,33.6,7.9
14,State,Madhya Pradesh,2423,2277,123,3135,1187,110,110,1919,2606,748,892,15530,6.4,21.5,7.2
15,State,Maharashtra,2744,1926,152,1599,1508,778,285,3721,8412,1229,393,22747,9.4,20.7,10.9
16,State,Manipur,92,258,1,34,199,0,196,2,65,86,0,933,0.4,34.5,34.4
17,State,Meghalaya,134,60,8,149,71,42,1,67,7,52,0,591,0.2,22.7,23.6
18,State,Mizoram,48,27,7,92,9,3,0,16,0,15,0,217,0.1,21.5,10
19,State,Nagaland,45,35,13,16,50,3,0,63,2,1,0,228,0.1,10.1,21.5
20,State,Odisha,1308,1436,31,1025,1016,346,117,1491,1779,430,388,9367,3.9,22.9,16.6
21,State,Punjab,907,994,120,546,789,65,143,241,0,101,121,4027,1.7,14.8,11
22,State,Rajasthan,1421,1557,104,1571,2985,37,84,872,986,478,462,10557,4.4,15.7,6.5
23,State,Sikkim,17,6,2,18,6,1,0,7,4,7,1,69,0,11.3,12.5
24,State,Tamil Nadu,1875,2641,32,686,1720,85,12,1817,2664,636,165,12333,5.1,18.2,6.6
25,State,Tripura,150,63,8,238,114,16,2,65,163,51,25,895,0.4,24.8,15.4
26,State,Uttar Pradesh,4401,4004,1401,1563,6321,337,48,2577,4186,170,2217,27225,11.3,13.7,15.6
27,State,Uttarakhand,176,219,60,121,286,12,2,162,458,17,75,1588,0.7,16.2,17.2
28,State,West Bengal,2398,2111,630,2311,3345,288,687,798,6809,331,507,20215,8.4,22.4,15.6
Total (States),Total (States),Total (States),32696,29052,3680,21603,35147,4310,2568,22712,67253,8421,8242,235684,97.4,20.2,10.9
29,Union Territories,Andaman & Nicobar Islands,9,7,4,24,10,1,0,7,11,12,0,85,0,19.7,8.7
30,Union Territories,Chandigarh,21,30,9,31,38,5,6,67,65,9,5,286,0.1,25.4,8.5
31,Union Territories,Dadra Nagar Haveli,6,0,1,3,18,2,0,3,44,2,0,79,0,27.9,20.9
32,Union Territories,Daman & Diu,5,2,1,1,2,6,0,0,11,0,0,28,0,14,13.8
33,Union Territories,Delhi,565,311,71,507,3208,32,31,599,53,52,143,5572,2.3,30.4,10.9
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,3,2,0,5,0,6.9,11.9
35,Union Territories,Pondicherry,33,19,16,3,17,2,10,5,131,10,1,247,0.1,22.1,6.3
Total (UTs),Total (UTs),Total (UTs),639,369,102,569,3293,48,47,681,318,87,149,6302,2.6,29.2,10.5
Total (All-India),Total (All-India),Total (All-India),33335,29421,3782,22172,38440,4358,2615,23393,67571,8508,8391,241986,100,20.4,10.9
