Sr. No.,Category,States/ UTs,Arrested & Sent to Courts,Sent to Home after Advice or Admonition,Released on Probation and Placed under Care of Parents / Guardians,Released on Probation and Placed under Care of Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,1949,548,298,42,263,10,67,721
2,State,Arunachal Pradesh,81,9,72,0,0,0,0,0
3,State,Assam,385,158,112,75,4,0,12,24
4,State,Bihar,742,255,69,33,99,12,26,248
5,State,Chhattisgarh,2356,28,91,3,587,149,184,1314
6,State,Goa,77,4,5,0,10,0,1,57
7,State,Gujarat,2121,189,208,86,147,101,249,1141
8,State,Haryana,907,5,10,15,15,45,66,751
9,State,Himachal Pradesh,218,43,74,0,13,0,0,88
10,State,Jammu & Kashmir,27,0,10,1,0,10,0,6
11,State,Jharkhand,104,12,37,8,38,4,5,0
12,State,Karnataka,204,48,11,4,31,0,1,109
13,State,Kerala,826,134,98,10,50,1,35,498
14,State,Madhya Pradesh,6449,1033,1718,199,527,480,459,2033
15,State,Maharashtra,6388,808,1625,347,1482,100,192,1834
16,State,Manipur,0,0,0,0,0,0,0,0
17,State,Meghalaya,118,2,30,1,9,0,40,36
18,State,Mizoram,116,33,15,9,24,0,0,35
19,State,Nagaland,53,0,0,0,24,19,10,0
20,State,Odisha,544,142,146,26,186,0,12,32
21,State,Punjab,246,0,6,12,48,4,11,165
22,State,Rajasthan,2378,245,297,38,1170,4,96,528
23,State,Sikkim,82,30,10,1,9,2,20,10
24,State,Tamil Nadu,1644,176,556,90,323,69,53,377
25,State,Tripura,46,6,15,6,3,0,9,7
26,State,Uttar Pradesh,852,25,14,19,347,52,94,301
27,State,Uttarakhand,154,0,11,0,143,0,0,0
28,State,West Bengal,337,28,103,10,4,15,13,164
State,State,Total (States),29404,3961,5641,1035,5556,1077,1655,10479
29,Union Territory,A & N Islands,26,0,0,0,9,0,0,17
30,Union Territory,Chandigarh,168,7,5,1,55,7,3,90
31,Union Territory,D & N Haveli,19,0,2,0,0,0,0,17
32,Union Territory,Daman & Diu,10,8,0,0,0,0,0,2
33,Union Territory,Delhi,627,169,81,11,178,5,27,156
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,49,0,0,0,0,0,0,49
Union Territory,Union Territory,Total (UTs),899,184,88,12,242,12,30,331
Total (All-India),Total (All-India),Total (All-India),30303,4145,5729,1047,5798,1089,1685,10810
