Sr. No.,Category,State/ UT,Total No. of Persons Under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Person Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total,Note of Pendency Percentage,Note of Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,1450,152,785,513,35.4,36.1,NA,NA
2,State,Arunachal Pradesh,50,12,38,0,0,0,NA,NA
3,State,Assam,149,11,39,99,66.4,7,NA,NA
4,State,Bihar,258,10,114,134,51.9,9.4,NA,NA
5,State,Chhattisgarh,689,0,685,4,0.6,0.3,NA,NA
6,State,Goa,0,0,0,0,NA,NA,@,@
7,State,Gujarat,332,0,319,13,3.9,0.9,NA,NA
8,State,Haryana,0,0,0,0,NA,NA,@,@
9,State,Himachal Pradesh,2,0,1,1,50,0.1,NA,NA
10,State,Jammu & Kashmir,0,0,0,0,NA,NA,@,@
11,State,Jharkhand,491,7,342,142,28.9,10,NA,NA
12,State,Karnataka,1203,134,917,152,12.6,10.7,NA,NA
13,State,Kerala,163,0,138,25,15.3,1.8,NA,NA
14,State,Madhya Pradesh,2455,0,2426,29,1.2,2,NA,NA
15,State,Maharashtra,972,15,786,171,17.6,12,NA,NA
16,State,Manipur,4,0,0,4,100,0.3,NA,NA
17,State,Meghalaya,0,0,0,0,NA,NA,@,@
18,State,Mizoram,0,0,0,0,NA,NA,@,@
19,State,Nagaland,0,0,0,0,NA,NA,@,@
20,State,Odisha,1023,0,967,56,5.5,3.9,NA,NA
21,State,Punjab,0,0,0,0,NA,NA,@,@
22,State,Rajasthan,1162,0,1153,9,0.8,0.6,NA,NA
23,State,Sikkim,4,2,1,1,25,0.1,NA,NA
24,State,Tamil Nadu,66,0,52,14,21.2,1,NA,NA
25,State,Tripura,42,2,37,3,7.1,0.2,NA,NA
26,State,Uttar Pradesh,0,0,0,0,NA,NA,@,@
27,State,Uttarakhand,0,0,0,0,NA,NA,@,@
28,State,West Bengal,63,0,14,49,77.8,3.4,NA,NA
State,State,Total (States),10578,345,8814,1419,13.4,99.9,NA,NA
29,Union Territory,A & N Islands,3,0,1,2,66.7,0.1,NA,NA
30,Union Territory,Chandigarh,0,0,0,0,NA,NA,@,@
31,Union Territory,D & N Haveli,5,0,5,0,0,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,0,NA,NA,@,@
33,Union Territory,Delhi,0,0,0,0,NA,NA,@,@
34,Union Territory,Lakshadweep,0,0,0,0,NA,NA,@,@
35,Union Territory,Puducherry,0,0,0,0,NA,NA,@,@
Union Territory,Union Territory,Total (UTs),8,0,6,2,25,0.1,NA,NA
Total (All-India),Total (All-India),Total (All-India),10586,345,8820,1421,13.4,100,NA,NA
