SL. No.,Category,States/Uts,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - PCR Act for SCs,Protection of Civil Rights Act - PCR Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (p) Act,Copyrights Act,Sati Prevention Act,SC/ST (Prevention of Atrocities) Act - Total,SC/ST (Prevention of Atrocities) Act - for SCs,SC/ST (Prevention of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh ++,20.6,13.2,93,46.1,42.2,8.5,20.2,0,20,10,11.5,0,36,12,NA,13.3,9.9,0,98,22.5,NA,12.4,13.3,8.7,0,96.8,95.5
2,State,Arunachal Pradesh,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7,86.7
3,State,Assam,23.5,37.2,21.8,0,0,38.5,28.6,NA,33.3,NA,NA,NA,68.4,20,0,NA,25,NA,NA,14.3,NA,NA,NA,NA,0,11.6,19.8
4,State,Bihar,46.3,33.3,34.3,46.1,4.1,45.7,28.6,43.8,0,NA,NA,NA,100,31.8,NA,NA,31.3,0,NA,29.4,NA,10.2,10.1,28.6,27.8,47.4,38.6
5,State,Chhattisgarh,27.7,65.1,98.7,78.1,NA,87.1,33.3,0,NA,NA,NA,NA,0,50.4,NA,100,30.8,100,100,58.6,NA,32.9,42.2,27.2,81.3,99.4,97.3
6,State,Goa,0,63.6,0.5,NA,NA,NA,0,NA,98,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,98.8,77
7,State,Gujarat,8.2,42.9,67.6,33.3,65.7,37,10,NA,78.6,23.1,23.1,NA,0,7.3,NA,NA,NA,8.3,NA,15.3,NA,8.5,9,4.3,100,76.6,67
8,State,Haryana,44.4,58.3,83.5,67.8,NA,47.8,37.3,50,92.3,NA,NA,NA,0,35.1,NA,NA,NA,25,NA,25.5,NA,30.7,30.7,NA,NA,53.2,66.6
9,State,Himachal Pradesh,44.4,33.2,29.3,40.1,NA,0,NA,NA,100,50,100,0,NA,10,NA,NA,NA,0,NA,5,NA,18.8,14.3,50,11.7,67.8,38.1
10,State,Jammu & Kashmir,0.8,14.1,95.8,69.7,NA,0,NA,NA,77.8,0,0,NA,NA,59.7,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,45.2,40.5
11,State,Jharkhand,38.6,67.1,37.6,33.2,0,33.3,28.6,NA,NA,NA,NA,NA,NA,25.9,NA,0,26.1,NA,NA,31.3,NA,24.3,19.7,34.6,15.4,27.3,31.4
12,State,Karnataka,5.6,16.8,87.6,22.3,NA,15.1,83.8,NA,50,0,0,NA,76.5,2.1,NA,0,5.8,0,NA,1.7,NA,5.5,5.4,6.5,13.7,33.8,49.7
13,State,Kerala,13.5,71.5,95.1,NA,92.6,25.5,88.2,0,56.3,NA,NA,NA,50.8,15.4,NA,NA,0,NA,17.2,45.3,NA,0,0,NA,NA,92.7,92.2
14,State,Madhya Pradesh,50.3,65,94.2,95.5,NA,61.4,66.7,54.3,NA,0,0,0,100,45.3,NA,NA,47.5,0,0,54.8,NA,49.2,48.4,50.9,45.9,98.1,91.6
15,State,Maharashtra,4.4,28.2,10.5,NA,1,0,41.1,33.3,50,1.3,1.3,NA,75.6,2,NA,NA,6.7,0,NA,3.5,NA,0.4,0.5,0,2.8,65.7,20.6
16,State,Manipur,50,33.3,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,87
17,State,Meghalaya,45,0,0,NA,NA,28.6,NA,NA,97.4,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,57.3
18,State,Mizoram,95.5,98.9,NA,NA,94.4,100,100,NA,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,97.5
19,State,Nagaland,69.6,97,100,100,100,50,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9,89.9
20,State,Odisha,7.7,22.6,55,13.8,0,7.2,20,NA,NA,NA,NA,NA,NA,8.8,NA,NA,8.5,50,NA,0,NA,13.3,9.9,30.1,0,13.5,16.1
21,State,Punjab,75.8,70.8,90.7,80.4,42.9,46.7,35.7,37.5,NA,0,0,NA,90.5,19.2,NA,NA,0,40,NA,42.1,NA,19.4,19.4,NA,50,63.7,78.2
22,State,Rajasthan,87.1,70.6,99.3,90.8,NA,87.5,64,91.7,0,NA,NA,NA,72.7,56.1,NA,NA,NA,NA,62.5,63.1,NA,29.3,26.4,40.5,90.4,88.9,92.6
23,State,Sikkim,100,33.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8,92.2
24,State,Tamil Nadu,34.9,62.7,99.3,NA,81.6,73.7,57,33.3,100,0,0,NA,82.7,66.7,NA,NA,29.4,NA,100,85.4,NA,23.1,23.1,NA,0,87.6,85.4
25,State,Tripura,5.6,0,25,NA,NA,0,0,NA,NA,NA,NA,NA,95.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.3
26,State,Uttar Pradesh,86.3,81.5,91.4,92.1,NA,75.8,77.8,69.6,71.4,72.1,72.1,NA,77.8,69.7,NA,70,51.3,50,NA,71.1,NA,66.1,66.2,61.1,77.6,97.1,96.5
27,State,Uttarakhand,93.5,90.6,94.1,98.7,NA,100,100,85.7,100,NA,NA,NA,33.3,64.9,NA,NA,0,NA,NA,97.1,NA,44.7,44.7,NA,82.7,99.9,99.8
28,State,West Bengal,6.8,30.9,7.7,43.6,0,6.4,34.4,0,73.1,0,0,NA,27.3,20,NA,NA,21.2,NA,0,32.6,NA,0,0,NA,0,33,33.9
Total (States),Total (States),Total (States),75.6,73,84,83.5,59.4,57.8,54.6,76.4,78,21.8,23,0,65.7,35.3,0,34.5,20,14.8,93.1,51,0,37.4,38.4,26.6,79.6,96.2,91.8
29,Union Territories,Andaman & Nicobar Islands,NA,33.3,100,100,100,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,100,99.7
30,Union Territories,Chandigarh,12.5,35.2,97.9,94.1,NA,100,0,NA,100,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,65.5,76.4
31,Union Territories,Dadra Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,100,100
32,Union Territories,Daman & Diu,0,100,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,28.6
33,Union Territories,Delhi,53.5,66.3,81.9,71.9,NA,96.3,74.4,NA,100,NA,NA,NA,90.5,70,NA,NA,66.7,NA,NA,76.6,NA,38.9,38.9,NA,NA,73.7,67.8
34,Union Territories,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Union Territories,Puducherry,54,75,96.3,NA,NA,0,100,NA,100,5.6,5.6,NA,NA,100,NA,NA,20,NA,NA,8.3,NA,NA,NA,NA,NA,98.8,83.6
Total (UTs),Total (UTs),Total (UTs),53.4,60,88.1,75.6,100,93.3,70.2,0,100,5.6,5.6,0,90.5,84.4,0,0,37.5,0,0,60.7,0,40,42.1,0,0,87.7,72.4
Total (All-India),Total (All-India),Total (All-India),75,72.8,84,83.2,59.4,58.1,55,76.4,78.8,20.7,21.7,0,67,36.3,0,34.5,20,14.8,93.1,51.2,0,37.4,38.4,26.6,79.6,96.2,91.7
