Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act - for SCs,SC/ST (Prev of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,4,4,10,26,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,11,66
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
4,State,Bihar,16,5,3,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,13,49
5,State,Chhattisgarh,10,18,30,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,144,228
6,State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,State,Gujarat,0,4,55,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,150,395
8,State,Haryana,4,2,24,30,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,6,71
9,State,Himachal Pradesh,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7
12,State,Karnataka,0,2,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,23
13,State,Kerala,1,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,15
14,State,Madhya Pradesh,56,2,95,83,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,131,371
15,State,Maharashtra,17,3,85,0,119,0,2,0,0,0,0,0,2,6,0,0,0,1,0,5,0,4,4,0,0,161,405
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
18,State,Mizoram,0,1,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,23,38
19,State,Nagaland,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
20,State,Odisha,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
21,State,Punjab,2,7,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,16
22,State,Rajasthan,9,9,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,48,146
