Sr. No.,Category,States/ UTs,Estimated Mid Year Population (In Lakhs)#,Murder (Sec. 302 IPC) - I,Murder (Sec. 302 IPC) - R,Murder (Sec. 302 IPC) - P,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - I","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - R","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - P",Dacoity (Sec. 395-398 IPC) - I,Dacoity (Sec. 395-398 IPC) - R,Dacoity (Sec. 395-398 IPC) - P,"Robbery (Sec. 392-394, 397, 398 IPC) - I","Robbery (Sec. 392-394, 397, 398 IPC) - R","Robbery (Sec. 392-394, 397, 398 IPC) - P","Arson (Sec. 435, 436, 438 IPC) - I","Arson (Sec. 435, 436, 438 IPC) - R","Arson (Sec. 435, 436, 438 IPC) - P","Hurt (Sec. 323-333, 335-338 IPC) - I","Hurt (Sec. 323-333, 335-338 IPC) - R","Hurt (Sec. 323-333, 335-338 IPC) - P",Prot. of Civil Rights Act (1955) - I,Prot. of Civil Rights Act (1955) - R,Prot. of Civil Rights Act (1955) - P,SC/ST Prev. of Attrocities Act (1989) - I,SC/ST Prev. of Attrocities Act (1989) - R,SC/ST Prev. of Attrocities Act (1989) - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,841.29,43,0.1,7.5,100,0.1,7.4,18,0,3.5,0,0,0,1,0,1.3,17,0,11.3,709,0.8,16.2,50,0.1,35,1509,1.8,14.4,1874,2.2,12.5,4321,5.1,13.2
2,State,Arunachal Pradesh,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,309.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0
4,State,Bihar,971.84,24,0,4.2,16,0,1.2,20,0,3.9,0,0,0,6,0,8,15,0,10,351,0.4,8,0,0,0,2548,2.6,24.2,536,0.6,3.6,3516,3.6,10.7
5,State,Chhattisgarh,245.38,6,0,1.1,43,0.2,3.2,1,0,0.2,1,0,2.4,0,0,0,2,0,1.3,43,0.2,1,0,0,0,95,0.4,0.9,149,0.6,1,340,1.4,1
6,State,Goa,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0
7,State,Gujarat,581.93,15,0,2.6,34,0.1,2.5,28,0,5.5,6,0,14.3,20,0,26.7,4,0,2.7,291,0.5,6.6,0,0,0,220,0.4,2.1,390,0.7,2.6,1008,1.7,3.1
8,State,Haryana,245.9,13,0.1,2.3,37,0.2,2.7,23,0.1,4.5,0,0,0,3,0,4,2,0,1.3,39,0.2,0.9,0,0,0,131,0.5,1.2,132,0.5,0.9,380,1.5,1.2
9,State,Himachal Pradesh,66.87,0,0,0,5,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.7,72,1.1,0.7,21,0.3,0.1,101,1.5,0.3
10,State,Jammu & Kashmir,133.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,0,0,0,0,1,0,0
11,State,Jharkhand,309.37,4,0,0.7,10,0,0.7,5,0,1,7,0,16.7,1,0,1.3,0,0,0,135,0.4,3.1,0,0,0,245,0.8,2.3,170,0.5,1.1,577,1.9,1.8
12,State,Karnataka,587.99,16,0,2.8,27,0,2,16,0,3.1,3,0,7.1,4,0,5.3,1,0,0.7,214,0.4,4.9,33,0.1,23.1,1292,2.2,12.3,899,1.5,6,2505,4.3,7.7
13,State,Kerala,349.72,4,0,0.7,77,0.2,5.7,2,0,0.4,0,0,0,0,0,0,2,0,1.3,205,0.6,4.7,0,0,0,35,0.1,0.3,258,0.7,1.7,583,1.7,1.8
14,State,Madhya Pradesh,721.06,102,0.1,17.9,316,0.4,23.4,69,0.1,13.5,0,0,0,3,0,4,24,0,16,877,1.2,20,1,0,0.7,13,0,0.1,1969,2.7,13.1,3374,4.7,10.3
15,State,Maharashtra,1100.49,24,0,4.2,89,0.1,6.6,25,0,4.9,22,0,52.4,20,0,26.7,12,0,8,77,0.1,1.8,25,0,17.5,319,0.3,3,519,0.5,3.5,1132,1,3.5
16,State,Manipur,27.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,408.28,9,0,1.6,51,0.1,3.8,2,0,0.4,0,0,0,7,0,9.3,6,0,4,376,0.9,8.6,3,0,2.1,1224,3,11.6,32,0.1,0.2,1710,4.2,5.2
21,State,Punjab,272.68,4,0,0.7,18,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.3,0,0,0,50,0.2,0.5,30,0.1,0.2,115,0.4,0.4
22,State,Rajasthan,671.06,56,0.1,9.8,200,0.3,14.8,51,0.1,10,0,0,0,0,0,0,31,0,20.7,564,0.8,12.9,0,0,0,103,0.2,1,3974,5.9,26.5,4979,7.4,15.2
23,State,Sikkim,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,0.2,0,1,0.2,0,3,0.5,0
24,State,Tamil Nadu,676.32,20,0,3.5,11,0,0.8,0,0,0,0,0,0,3,0,4,4,0,2.7,149,0.2,3.4,3,0,2.1,1255,1.9,11.9,186,0.3,1.2,1631,2.4,5
25,State,Tripura,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,1,0,0,8,0.2,0.1,11,0.3,0
26,State,Uttar Pradesh,1990.28,229,0.1,40.2,311,0.2,23.1,248,0.1,48.5,3,0,7.1,6,0,8,29,0,19.3,323,0.2,7.4,0,0,0,1328,0.7,12.6,3795,1.9,25.3,6272,3.2,19.2
27,State,Uttarakhand,98.17,0,0,0,3,0,0.2,2,0,0.4,0,0,0,1,0,1.3,0,0,0,4,0,0.1,0,0,0,25,0.3,0.2,0,0,0,35,0.4,0.1
28,State,West Bengal,902.22,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,0,0,0,0,27,0,0.3,34,0,0.2,63,0.1,0.2
State,State,Total (States),11641.94,569,0,99.8,1349,0.1,100,510,0,99.8,42,0,100,75,0,100,150,0,100,4375,0.4,100,117,0,81.8,10495,0.9,99.8,14983,1.3,100,32665,2.8,99.9
29,Union Territory,A & N Islands,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,183.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.1,0.2,0,0,0,16,0.1,0
34,Union Territory,Lakshadweep,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,11.17,1,0.1,0.2,0,0,0,1,0.1,0.2,0,0,0,0,0,0,0,0,0,1,0.1,0,26,2.3,18.2,2,0.2,0,0,0,0,31,2.8,0.1
Union Territory,Union Territory,Total (UTs),215.62,1,0,0.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,26,0.1,18.2,18,0.1,0.2,0,0,0,47,0.2,0.1
Total (All-India),Total (All-India),Total (All-India),11857.56,570,0,100,1349,0.1,100,511,0,100,42,0,100,75,0,100,150,0,100,4376,0.4,100,143,0,100,10513,0.9,100,14983,1.3,100,32712,2.8,100
