Category (Col. 1),States/ UTs (Col. 2),Total No. of Persons Arrested (Col. 3),New Offenders - No. (Col. 4),New Offenders - Percentage to Total (Col. 5),Old Offenders Convicted in The Past - Once - No. (Col. 6),Old Offenders Convicted in The Past - Once - Percentage to Total (Col. 7),Old Offenders Convicted in The Past - Twice - No. (Col. 8),Old Offenders Convicted in The Past - Twice - Percentage to Total (Col. 9),Old Offenders Convicted in The Past - Thrice or More - No. (Col. 10),Old Offenders Convicted in The Past - Thrice or More - Percentage to Total (Col. 11),Old Offenders Convicted in The Past - Percentage of Recidivists (Col. 12) = Col. {(7)+(9) +(11)}
State,Andhra Pradesh,228605,209973,91.8,14579,6.4,3269,1.4,784,0.3,8.2
State,Arunachal Pradesh,2825,2707,95.8,114,4,4,0.1,0,0,4.2
State,Assam,69890,62013,88.7,4250,6.1,2569,3.7,1058,1.5,11.3
State,Bihar,196289,183653,93.6,10433,5.3,1128,0.6,1075,0.5,6.4
State,Chhattisgarh,72750,20899,28.7,18837,25.9,16075,22.1,16939,23.3,71.3
State,Goa,3332,3257,97.7,27,0.8,17,0.5,31,0.9,2.3
State,Gujarat,162043,149780,92.4,10932,6.7,1098,0.7,233,0.1,7.6
State,Haryana,64237,59404,92.5,3491,5.4,990,1.5,352,0.5,7.5
State,Himachal Pradesh,18768,18228,97.1,256,1.4,148,0.8,136,0.7,2.9
State,Jammu & Kashmir,31641,29495,93.2,1699,5.4,366,1.2,81,0.3,6.8
State,Jharkhand,51683,47804,92.5,3202,6.2,428,0.8,249,0.5,7.5
State,Karnataka,161618,152203,94.2,7121,4.4,1935,1.2,359,0.2,5.8
State,Kerala,197512,196397,99.4,878,0.4,191,0.1,46,0,0.6
State,Madhya Pradesh,343192,294222,85.7,37544,10.9,8307,2.4,3119,0.9,14.3
State,Maharashtra,305629,301091,98.5,3139,1,1024,0.3,375,0.1,1.5
State,Manipur,1306,1306,100,0,0,0,0,0,0,0
State,Meghalaya,1743,1579,90.6,150,8.6,14,0.8,0,0,9.4
State,Mizoram,2228,1762,79.1,284,12.7,131,5.9,51,2.3,20.9
State,Nagaland,1066,957,89.8,68,6.4,30,2.8,11,1,10.2
State,Odisha,89775,85488,95.2,3340,3.7,732,0.8,215,0.2,4.8
State,Punjab,49050,42912,87.5,4679,9.5,1180,2.4,279,0.6,12.5
State,Rajasthan,177537,160415,90.4,14219,8,2332,1.3,571,0.3,9.6
State,Sikkim,946,854,90.3,90,9.5,2,0.2,0,0,9.7
State,Tamil Nadu,211631,187448,88.6,17802,8.4,5365,2.5,1016,0.5,11.4
State,Tripura,6835,6805,99.6,25,0.4,5,0.1,0,0,0.4
State,Uttar Pradesh,292050,289905,99.3,1562,0.5,507,0.2,76,0,0.7
State,Uttarakhand,12792,10815,84.5,1712,13.4,224,1.8,41,0.3,15.5
State,West Bengal,146595,146115,99.7,381,0.3,84,0.1,15,0,0.3
State,Total (States),2903568,2667487,91.9,160814,5.5,48155,1.7,27112,0.9,8.1
Union Territory,A & N Islands,1028,998,97.1,17,1.7,6,0.6,7,0.7,2.9
Union Territory,Chandigarh,2583,1740,67.4,786,30.4,47,1.8,10,0.4,32.6
Union Territory,D & N Haveli,585,585,100,0,0,0,0,0,0,0
Union Territory,Daman & Diu,266,266,100,0,0,0,0,0,0,0
Union Territory,Delhi,33498,29975,89.5,2237,6.7,931,2.8,355,1.1,10.5
Union Territory,Lakshadweep,15,15,100,0,0,0,0,0,0,0
Union Territory,Puducherry,5579,5575,99.9,4,0.1,0,0,0,0,0.1
Union Territory,Total (UTs),43554,39154,89.9,3044,7,984,2.3,372,0.9,10.1
Total (All-India),Total (All-India),2947122,2706641,91.8,163858,5.6,49139,1.7,27484,0.9,8.2
