Sr. No.,Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11 – 20,Number of Police Stations (Sanctioned Strength) - 21 – 30,Number of Police Stations (Sanctioned Strength) - 31 – 40,Number of Police Stations (Sanctioned Strength) - 41 – 50,Number of Police Stations (Sanctioned Strength) - 51 and Above
1,State,Andhra Pradesh,91,863,261,181,108,157
2,State,Arunachal Pradesh,0,54,15,0,0,0
3,State,Assam,49,101,65,57,41,0
4,State,Bihar,279,358,160,42,0,13
5,State,Chhattisgarh,10,92,71,41,87,100
6,State,Goa,0,0,0,2,3,20
7,State,Gujarat,8,18,65,82,94,252
8,State,Haryana,19,32,44,48,50,49
9,State,Himachal Pradesh,0,16,23,32,14,17
10,State,Jammu & Kashmir,0,7,25,36,31,85
11,State,Jharkhand,99,106,50,133,11,26
12,State,Karnataka,0,4,94,339,201,262
13,State,Kerala,0,15,53,234,90,78
14,State,Madhya Pradesh,34,310,247,120,91,142
15,State,Maharashtra,1,15,146,164,140,546
16,State,Manipur,0,0,9,0,0,82
17,State,Meghalaya,1,28,10,0,0,0
18,State,Mizoram,3,15,13,0,3,4
19,State,Nagaland,2,6,8,10,8,16
20,State,Odisha,134,316,63,15,10,8
21,State,Punjab,14,36,58,74,55,122
22,State,Rajasthan,1,248,269,140,69,30
23,State,Sikkim,0,0,6,12,4,6
24,State,Tamil Nadu,17,305,404,179,156,235
25,State,Tripura,10,11,12,5,9,17
26,State,Uttar Pradesh,19,425,278,247,195,330
27,State,Uttarakhand,6,35,29,18,3,34
28,State,West Bengal,18,223,107,39,24,76
State,State,Total (States),815,3639,2585,2250,1497,2707
29,Union Territory,A & N Islands,9,11,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,0,1,0,1
32,Union Territory,Daman & Diu,0,0,0,1,1,1
33,Union Territory,Delhi,4,2,4,4,0,170
34,Union Territory,Lakshadweep,0,2,5,1,0,1
35,Union Territory,Puducherry,11,14,12,3,1,1
Union Territory,Union Territory,Total (UTs),24,29,21,10,2,186
Total (All-India),Total (All-India),Total (All-India),839,3668,2606,2260,1499,2893
