SL. No.,Category,States/UTs,Disposal of Cases - Murder (Sec.302 IPC) - Confession,Disposal of Cases -Murder (Sec.302 IPC) - Trial,Disposal of Cases - Murder (Sec.302 IPC) - Total,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) -Confession","Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) - Trial","Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) -Confession,Disposal of Cases - Rape (Sec. 376 IPC) -Trial,Disposal of Cases - Rape (Sec. 376 IPC) -Total,"Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Cofession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Confession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Total","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Confession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Total",Disposal of Cases -Dacoity (Sec.395-398 IPC) - Confession,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Trial,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Total,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) - Confession,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) -Trial,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) - Total,"Disposal of Cases -Robbery (Sec. 392-394,3,97,398 IPC) - Confession","Disposal of Cases -Robbery (Sec. 392-394,3,97,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394,3,97,398 IPC) - Total","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) - Confession","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Trial","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Total","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Confession","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Trial","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Total - Confession,Disposal of Cases - Total - Trial,Disposal of Cases - Total - Total
1,State,Andhra Pradesh,0,2299,2299,0,1224,1224,0,129,129,0,1031,1031,0,1161,1161,0,824,824,0,337,337,9,121,130,0,5,5,2,483,485,0,1706,1706,0,706,706,0,502,502,11,9367,9378
2,State,Arunachal Pradesh,0,11,11,0,2,2,0,0,0,0,6,6,0,4,4,0,4,4,0,0,0,0,5,5,0,0,0,0,22,22,0,6,6,0,2,2,0,0,0,0,58,58
3,State,Assam,29,378,407,4,108,112,1,11,12,21,505,526,63,637,700,63,552,615,0,85,85,6,78,84,0,5,5,9,129,138,59,942,1001,2,84,86,8,50,58,202,2927,3129
4,State,Bihar,0,2347,2347,0,2645,2645,0,193,193,0,873,873,0,1559,1559,0,689,689,0,870,870,0,670,670,0,85,85,0,672,672,0,4847,4847,0,275,275,0,582,582,0,14748,14748
5,State,Chhattisgarh,343,463,806,161,347,508,2,10,12,204,621,825,59,201,260,36,109,145,23,92,115,17,50,67,3,3,6,63,194,257,266,680,946,30,111,141,31,47,78,1179,2727,3906
6,State,Goa,0,42,42,0,16,16,0,8,8,0,27,27,1,11,12,0,9,9,1,2,3,0,5,5,0,0,0,0,6,6,0,50,50,0,17,17,0,2,2,1,184,185
7,State,Gujarat,32,414,446,12,189,201,0,12,12,7,180,187,18,420,438,18,383,401,0,37,37,6,114,120,0,4,4,18,270,288,60,798,858,2,212,214,0,8,8,155,2621,2776
8,State,Haryana,0,579,579,0,515,515,0,51,51,0,456,456,0,449,449,0,350,350,0,99,99,0,94,94,0,238,238,0,350,350,0,778,778,0,92,92,0,223,223,0,3825,3825
9,State,Himachal Pradesh,0,89,89,0,26,26,0,5,5,0,110,110,0,36,36,0,33,33,0,3,3,0,6,6,0,0,0,0,7,7,0,275,275,0,36,36,0,1,1,0,591,591
10,State,Jammu & Kashmir,0,158,158,0,225,225,0,16,16,0,143,143,0,278,278,0,255,255,0,23,23,0,8,8,0,0,0,0,19,19,4,500,504,0,41,41,0,8,8,4,1396,1400
11,State,Jharkhand,7,1084,1091,4,894,898,0,25,25,1,595,596,0,573,573,0,376,376,0,197,197,0,308,308,0,32,32,1,500,501,2,2290,2292,0,72,72,1,249,250,16,6622,6638
12,State,Karnataka,8,1123,1131,25,946,971,0,55,55,4,346,350,4,311,315,2,198,200,2,113,115,0,199,199,8,229,237,55,1686,1741,64,4018,4082,0,129,129,0,181,181,168,9223,9391
13,State,Kerala,0,196,196,0,198,198,0,47,47,0,256,256,0,106,106,0,76,76,0,30,30,0,45,45,0,170,170,0,397,397,22,5081,5103,0,124,124,0,13,13,22,6633,6655
14,State,Madhya Pradesh,0,2118,2118,0,1945,1945,0,180,180,0,2751,2751,0,832,832,0,641,641,0,191,191,0,119,119,0,119,119,0,1701,1701,0,3155,3155,0,777,777,0,665,665,0,14362,14362
15,State,Maharashtra,3,1841,1844,0,1147,1147,0,49,49,4,1044,1048,1,569,570,0,387,387,1,182,183,0,401,401,1,138,139,2,1096,1098,44,4548,4592,0,607,607,0,329,329,55,11769,11824
