Category (Col. 1),States/ UTs (Col. 2),No. of Police Personnel having Natural Death While in Service (Col. 3) - 18 to 25 - Years,No. of Police Personnel having Natural Death While in Service (Col. 4) - 25 to 35 - Years,No. of Police Personnel having Natural Death While in Service (Col. 5) - 35 to 45 - Years,No. of Police Personnel having Natural Death While in Service (Col. 6) - 45 to 55 - Years,No. of Police Personnel having Natural Death While in Service (Col. 7) - Above 55 - Years,No. of Police Personnel having Natural Death While in Service (Col. 8) - Total = Col. (3 to 7),No. of Police Personnel Committed Suicide While in Service (Col. 9) - 18 to 25 Years,No. of Police Personnel Committed Suicide While in Service (Col. 10) - 25 to 35 Years,No. of Police Personnel Committed Suicide While in Service (Col. 11) - 35 to 45 Years,No. of Police Personnel Committed Suicide While in Service (Col. 12) - 45 to 55 Years,No. of Police Personnel Committed Suicide While in Service (Col. 13) - Above 55 Years,No. of Police Personnel Committed Suicide While in Service (Col. 14) - Total = Col.(9 To 13)
State,Andhra Pradesh,2,25,63,84,25,199,1,1,3,2,0,7
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,9,7,2,18,0,0,1,0,0,1
State,Bihar,0,3,23,38,30,94,0,0,0,0,0,0
State,Chhattisgarh,7,15,18,24,4,68,1,2,0,1,0,4
State,Goa,0,2,3,3,2,10,0,0,0,0,0,0
State,Gujarat,4,15,36,92,19,166,2,2,3,7,1,15
State,Haryana,0,3,20,30,2,55,3,4,10,10,1,28
State,Himachal Pradesh,0,0,4,7,1,12,0,0,0,0,0,0
State,Jammu & Kashmir,0,7,10,11,3,31,0,0,0,2,1,3
State,Jharkhand,1,12,17,26,9,65,1,0,3,6,1,11
State,Karnataka,1,15,31,56,33,136,3,1,3,4,2,13
State,Kerala,0,3,6,49,0,58,0,1,3,5,0,9
State,Madhya Pradesh,0,13,33,79,28,153,0,1,1,3,0,5
State,Maharashtra,5,33,106,140,21,305,1,10,6,10,3,30
State,Manipur,1,1,6,0,6,14,0,0,0,0,0,0
State,Meghalaya,0,12,8,10,0,30,0,0,0,1,0,1
State,Mizoram,0,0,4,3,2,9,0,2,0,0,0,2
State,Nagaland,0,2,0,1,1,4,0,0,0,0,0,0
State,Odisha,0,4,17,21,9,51,0,0,0,0,0,0
State,Punjab,0,21,99,62,19,201,0,0,4,6,0,10
State,Rajasthan,3,13,37,37,12,102,0,2,3,0,0,5
State,Sikkim,1,3,5,7,1,17,0,0,0,0,0,0
State,Tamil Nadu,2,31,47,137,30,247,3,7,6,2,1,19
State,Tripura,0,0,10,8,7,25,0,2,0,1,0,3
State,Uttar Pradesh,4,18,90,213,131,456,0,2,1,3,0,6
State,Uttarakhand,0,1,3,8,1,13,0,0,0,0,0,0
State,West Bengal,0,7,19,50,86,162,0,7,2,1,1,11
State,Total (States),31,259,724,1203,484,2701,15,44,49,64,11,183
Union Territory,A & N Islands,0,2,13,3,1,19,0,0,2,0,0,2
Union Territory,Chandigarh,0,1,6,7,1,15,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,12,50,83,35,180,0,0,3,1,0,4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,11,1,12,0,0,0,0,0,0
Union Territory,Total (UTs),0,15,69,104,38,226,0,0,5,1,0,6
Total (All-India),Total (All-India),31,274,793,1307,522,2927,15,44,54,65,11,189
