Sr. No.,Category,States/ UTs/ Cities,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
33,Union Territory,Delhi,4,3,0,2,0,12,8,12,41,5,3,0,2,4,27,41
34,Union Territory,Lakshadweep @,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),4,3,0,5,0,12,8,12,44,5,3,0,2,4,30,44
Total (All-India),Total (All-India),Total (All-India),42,164,24,41,13,278,221,539,1322,33,51,58,63,121,996,1322
36,City,Agra,0,1,1,1,0,0,2,8,13,0,1,1,2,4,5,13
37,City,Ahmedabad,3,0,0,0,0,5,0,18,26,0,0,0,0,0,26,26
38,City,Allahabad,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,2
39,City,Amritsar,0,2,0,0,0,0,2,6,10,0,1,2,0,2,5,10
40,City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Bengaluru,3,4,0,0,1,12,10,19,49,2,2,0,3,6,36,49
42,City,Bhopal,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,10
43,City,Chennai,8,8,9,0,0,0,0,0,25,1,4,3,2,2,13,25
44,City,Coimbatore,1,0,1,0,0,10,5,0,17,0,2,0,0,2,13,17
45,City,Delhi,4,3,0,2,0,12,8,12,41,5,3,0,2,4,27,41
46,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,City,Hyderabad,0,10,0,0,0,5,5,36,56,12,0,0,3,0,41,56
49,City,Indore,0,1,0,0,0,2,1,5,9,0,0,0,0,0,9,9
50,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,City,Jaipur,0,27,0,0,0,0,0,0,27,0,0,0,0,0,27,27
52,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,City,Kanpur,0,0,1,0,0,2,0,1,4,0,0,2,0,2,0,4
54,City,Kochi,0,4,0,0,0,2,3,1,10,0,1,1,0,3,5,10
55,City,Kolkata,0,0,0,0,0,0,0,13,13,0,0,0,0,0,13,13
56,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,City,Ludhiana,0,0,0,2,2,2,1,4,11,0,0,0,0,2,9,11
58,City,Madurai,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
59,City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,City,Mumbai,1,19,0,1,0,16,0,12,49,0,7,1,12,5,24,49
61,City,Nagpur,0,0,0,0,0,2,2,1,5,0,0,0,0,1,4,5
62,City,Nasik,3,0,1,2,0,1,5,2,14,0,3,3,0,1,7,14
63,City,Patna,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
64,City,Pune,0,14,0,6,0,23,12,3,58,1,4,0,3,14,36,58
65,City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,City,Surat,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3
67,City,Vadodara,0,8,0,0,0,0,0,2,10,0,0,0,0,0,10,10
68,City,Varanasi,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,2
69,City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,City,Vishakhapatnam,0,2,0,0,0,0,20,9,31,0,0,1,7,0,23,31
City,City,Total (Cities),23,108,14,14,3,105,77,153,497,21,28,17,34,49,348,497
