Sr. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,"Percentage
Recovery"
1,2000,159323,39815,25
2,2001,151723,44733,29.5
3,2002,246723,47742,19.4
4,2003,173504,44759,25.8
5,2004,236170,46947,19.9
6,2005,240900,57600,23.9
7,2006,240395,60723,25.3
8,2007,268078,69655,26
9,2008,385296,76815,19.9
10,2009,449501,87611,19.5
11,2010,626636,180963,28.9
12,Percentage Change In 2010 Over 2000,293.3,354.5,15.6
