Sr. No.,Event,No. of Occasions of Poilce Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,722,97,623,2,3324
2,Anti-dacoity Operations,94,37,6,1,15
3,Against Extremists and Terrorists,172,48,38,147,60
4,Against Others,433,57,46,16,73
5,Total,1421,239,713,166,3472
