Sr. No.,Category,States/ UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,807,13.7,841.29,1,7,3
2,State,Arunachal Pradesh,54,0.9,12.35,4.4,1,12
3,State,Assam,3,0.1,309.78,0,20,16
4,State,Bihar,71,1.2,971.84,0.1,16,11
5,State,Chhattisgarh,507,8.6,245.38,2.1,2,5
6,State,Goa,0,0,17.43,0,NA,NA
7,State,Gujarat,155,2.6,581.93,0.3,11,9
8,State,Haryana,0,0,245.9,0,NA,NA
9,State,Himachal Pradesh,2,0,66.87,0,19,18
10,State,Jammu & Kashmir,0,0,133.64,0,NA,NA
11,State,Jharkhand,234,4,309.37,0.8,8,8
12,State,Karnataka,294,5,587.99,0.5,10,6
13,State,Kerala,88,1.5,349.72,0.3,13,10
14,State,Madhya Pradesh,1384,23.5,721.06,1.9,4,1
15,State,Maharashtra,292,5,1100.49,0.3,12,7
16,State,Manipur,0,0,27.02,0,NA,NA
17,State,Meghalaya,0,0,26.09,0,NA,NA
18,State,Mizoram,0,0,10.08,0,NA,NA
19,State,Nagaland,0,0,22.5,0,NA,NA
20,State,Odisha,556,9.4,408.28,1.4,5,4
21,State,Punjab,0,0,272.68,0,NA,NA
22,State,Rajasthan,1319,22.4,671.06,2,3,2
23,State,Sikkim,1,0,6.1,0.2,15,20
24,State,Tamil Nadu,33,0.6,676.32,0,18,15
25,State,Tripura,35,0.6,36.1,1,6,14
26,State,Uttar Pradesh,0,0,1990.28,0,NA,NA
27,State,Uttarakhand,0,0,98.17,0,NA,NA
28,State,West Bengal,47,0.8,902.22,0.1,17,13
State,State,Total (States),5882,99.9,11641.94,0.5,NA,NA
29,Union Territory,A & N Islands,1,0,4.32,0.2,14,19
30,Union Territory,Chandigarh,0,0,11.25,0,NA,NA
31,Union Territory,D & N Haveli,2,0,2.83,0.7,9,17
32,Union Territory,Daman & Diu,0,0,2,0,NA,NA
33,Union Territory,Delhi,0,0,183.33,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.72,0,NA,NA
35,Union Territory,Puducherry,0,0,11.17,0,NA,NA
Union Territory,Union Territory,Total (UTs),3,0.1,215.62,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),5885,100,11857.6,0.5,NA,NA
