Sl. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec.304 , 308 IPC)","Kidnapping & Abductin (Sec.363-369,371-373 IPC)","Hurt (Sec.323-333,335-338 IPC)",Causing Death by Negligence (Sec. 304A IPC),Total IPC Crimes Against Body,Percentage share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,2538,1953,155,2053,46777,14085,67561,13.5,80.31,37.24
2,State,Arunachal Pradesh,75,34,3,67,439,106,724,0.14,58.62,29.68
3,State,Assam,1223,431,46,3250,5744,2847,13541,2.71,43.71,21.96
4,State,Bihar,3362,2915,344,3674,15328,5615,31238,6.24,32.14,24.51
5,State,Chhattisgarh,1065,756,30,359,10188,2907,15305,3.06,62.37,27.85
6,State,Goa,35,27,3,25,177,256,523,0.1,30.01,15.88
7,State,Gujarat,1048,462,44,1447,10131,5907,19039,3.81,32.72,16.35
8,State,Haryana,1005,836,63,963,3733,1595,8195,1.64,33.33,13.86
9,State,Himachal Pradesh,132,74,12,194,1374,610,2396,0.48,35.83,18.36
10,State,Jammu & Kashmir,217,711,26,896,278,494,2622,0.52,19.62,11.29
11,State,Jharkhand,1689,1028,82,978,4271,1745,9793,1.96,31.65,25.18
12,State,Karnataka,1805,1850,94,1374,21835,471,27429,5.48,46.65,19.27
13,State,Kerala,363,361,86,261,18532,47,19650,3.93,56.19,13.25
14,State,Madhya Pradesh,2423,2277,123,1187,39193,7038,52241,10.44,72.45,24.38
15,State,Maharashtra,2744,1926,152,1508,29696,13508,49534,9.9,45.01,23.8
16,State,Manipur,92,258,1,199,227,1,778,0.16,28.79,28.66
17,State,Meghalaya,134,60,8,71,154,53,480,0.1,18.4,19.16
18,State,Mizoram,48,27,7,9,116,44,251,0.05,24.9,11.55
19,State,Nagaland,45,35,13,50,36,22,201,0.04,8.93,18.98
20,State,Odisha,1308,1436,31,1016,7181,3450,14422,2.88,35.32,25.54
21,State,Punjab,907,994,120,789,4873,3350,11033,2.21,40.46,30.11
22,State,Rajasthan,1421,1557,104,2985,19247,7978,33292,6.65,49.61,20.43
23,State,Sikkim,17,6,2,6,73,47,151,0.03,24.75,27.36
24,State,Tamil Nadu,1875,2641,32,1720,21309,14644,42221,8.44,62.43,22.74
25,State,Tripura,150,63,8,114,1136,237,1708,0.34,47.31,29.42
26,State,Uttar Pradesh,4401,4004,1401,6321,10336,14472,40935,8.18,20.57,23.5
27,State,Uttarakhand,176,219,60,286,974,738,2453,0.49,24.99,26.55
28,State,West Bengal,2398,2111,630,3345,12764,2847,24095,4.82,26.71,18.59
Total (States),Total (States),Total (States),32696,29052,3680,35147,286122,105114,491811,98.29,42.24,22.72
29,Union Territory,Andaman & Nicobar Islands,9,7,4,10,80,9,119,0.02,27.55,12.14
30,Union Territory,Chandigarh,21,30,9,38,65,6,169,0.03,15.02,5.01
31,Union Territory,Dadra Nagar Haveli,6,0,1,18,11,20,56,0.01,19.79,14.81
32,Union Territory,Daman & Diu,5,2,1,2,12,38,60,0.01,30,29.56
33,Union Territory,Delhi,565,311,71,3208,1925,914,6994,1.4,38.15,13.64
34,Union Territory,Lakshadweep,0,0,0,0,1,0,1,0,1.39,2.38
35,Union Territory,Pondicherry,33,19,16,17,806,242,1133,0.23,101.43,28.79
Total (UTs),Total (UTs),Total (UTs),639,369,102,3293,2900,1229,8532,1.71,39.57,14.17
Total (All-India),Total (All-India),Total (All-India),33335,29421,3782,38440,289022,106343,500343,100,42.2,22.49
